CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	70884	58008	65042	64498	51676	68494	63193	58108	53862	63844	85472	69399	62043	62069	59926	82829	63468	50315	51326	64848	89546	73974	75012	75994	56104	69168	74381	71712	71712	66292	73137	62856	66750	65187	63398	78252	66680	70871	74323	71547	78549	74541	70005	72746	72144	78529	77407	47093	47093	66232	41745	17437	7987	7987	15010	13066	11062	17362	17362	73374	41460	46430	44070	44070	44813	43289	39571	39345	39345	39345	18823
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3023	1231	20620	8320	2499	6880	19618	5428	13928	16955	30727	30197	16549	16549	21537	30192	21376	6882	1339	10238	26444	24222	19763	19764	559	2254	12025	6986	6986	5039	5264	7827	11075	11075	9125	14595	13468	14410	14408	15097	11271	12118	12472	12475	14220	12266	5338	17593	5043	9712	11762	8211	1961	1961	882	3118	1876	3548	3548	2195	1061	1409	8628	8628	1073	5099	5512	10198	10198	0	3054
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	29500	7300	0	12300	12300	12400	9600	8500	0	0	0	0	0	0	0	0	0	0	5500	0	0	0	0	24700	24700	0	24748	57	24957	26041	26058	26127	26427	26424	26621	27071	27413	28663	28731	32521	33177	35654	35654	36125	36805	38497	38098	2678	15228	5317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	25527	18435	11062	28542	15545	27269	12305	18391	5895	16482	27838	11784	16078	16138	11245	24368	13906	15950	17017	54145	62680	48682	54214	29755	30223	66293	27400	53370	28226	26841	33004	23330	25775	25772	24354	34101	21362	25672	25737	15301	26555	15440	15221	17488	14443	17938	16329	12099	12098	33709	21659	2579	3758	4065	10749	8721	5358	10843	10782	70114	39847	41050	34017	34017	42521	36931	31773	27901	27901	0	15736
Hàng tồn kho###Inventory	12569	30794	31327	12923	19505	19162	19012	18631	30715	29269	26787	27118	28006	27972	26422	28180	27719	27413	27413	418	402	328	807	806	602	602	9492	11026	11026	4176	5083	4397	2878	483	1675	1027	1180	136	136	184	1024	5890	1462	1462	2654	3776	10619	4939	3626	9292	1357	838	276	276	146	70	213	73	73	42	45	46	58	58	74	46	46	53	53	0	31
Tài sản ngắn hạn khác###Other Current Assets	264	248	2034	2414	1827	2783	2658	7158	3323	1139	120	301	1410	1410	722	88	467	69	57	47	20	743	227	969	19	19	716	273	517	4195	3728	1175	595	1433	1621	1457	3257	1990	5311	8445	6522	5440	5197	5197	4021	6052	7024	9784	11097	8202	6968	5809	1992	1684	3234	1157	3614	2897	2958	1023	506	3925	1368	1368	1145	1214	2240	1193	1193	0	1
Tài sản dài hạn###Non-current Assets	334276	343557	349231	349521	346964	356129	364393	374044	374044	378840	387513	396060	405459	397696	407324	417929	426212	435689	435584	445292	453032	462469	471801	471946	481092	490435	500001	516659	516821	530099	539987	548891	557847	562547	569417	578382	588001	593596	598379	598924	592645	575642	553281	550253	543650	531520	505435	497250	501808	462354	454454	445225	415527	415527	412589	393396	390404	380248	380248	294697	274674	253215	243217	243217	215945	208666	203919	199709	199709	0	179846
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	333737	342766	330799	330799	344355	352948	360888	369460	369460	378032	386065	394612	403373	392608	402049	410306	418489	427808	427808	437127	446446	455768	465100	465100	474678	484021	493364	510498	510498	523281	532960	541554	551771	552272	561316	569745	579191	582206	592226	592771	586490	569500	433081	547743	537618	525797	501172	452114	499481	460279	452454	443225	413527	413527	410589	391396	388404	378248	378248	294697	274674	253215	243217	243217	215945	208666	203919	199709	199709	0	179846
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-370003	-360974	-351944	-351944	-351630	-343037	-334457	-325885	-325885	-317313	-308750	-300202	-291442	-302206	-292766	-283189	-273507	-264188	-264188	-254869	-245550	-236227	-226895	-226895	-217318	-207975	-198632	-195580	-195580	-185868	-176104	-167043	-156796	-156980	-148343	-139940	-130943	-123358	-123608	-115112	-110061	-105572	-100494	-101334	-95582	-90491	-82913	-80964	-79159	-74158	-66732	-64964	-64047	0	-56687	0	0	-48719	-48719	0	0	0	-38064	-38064	-35400	-32735	-30071	-27407	-27407	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
