CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	93420	77768	85474	85474	88293	86267	86339	103443	101991	196335	166811	165334	195925	195925	151101	122686	88875	112756	112756	65793	100825	43929	100714	100714	63317	49561	63480	113698	113706	110158	27232	23511	41040	41040	40816	42807	50083	43595	62714
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7826	12024	13602	13602	17655	12354	5045	17093	17093	127398	81760	97037	127942	127942	80452	43509	21795	20758	20758	6322	16403	19450	67095	67095	35930	28784	13625	15006	97006	83889	849	713	20293	20293	26975	27829	27338	16937	46922
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34000	82000	0	0	0	0	0	0	0	0	4500	4500	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	78047	52922	62723	62723	55884	55148	18954	47710	46258	66145	82189	65410	65683	65683	68063	76633	64734	89642	89642	57116	81827	21906	31255	31255	25035	18385	13272	14106	14106	23817	23881	20838	18897	18897	11970	13257	16654	21492	9496
Hàng tồn kho###Inventory	2183	2799	2165	2165	2090	2095	2104	2073	2073	2230	2385	2283	2283	2283	2546	2513	2149	2285	2285	2310	2492	2540	2302	2302	2293	2314	2523	2460	2460	2085	2121	1804	1794	1794	1750	1655	1526	443	107
Tài sản ngắn hạn khác###Other Current Assets	5364	10023	6983	6983	12664	16670	60237	36567	36567	563	478	604	17	17	39	31	197	71	71	46	103	33	62	62	58	78	60	125	134	368	381	155	56	56	122	66	64	223	1689
Tài sản dài hạn###Non-current Assets	1023658	1024102	1042614	1043886	1058314	1033912	632056	359646	359646	206197	208593	213428	219386	219386	221899	238504	244544	250086	250086	255760	261443	310951	316299	316299	329365	336246	313818	313899	313902	322067	306205	310328	312407	312407	308293	321098	336804	349753	310910
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1004331	1022490	1040763	1042823	1056702	1032450	192932	198697	198697	201569	206957	212634	218347	218347	220649	225493	231486	237098	237098	242711	248309	252953	258192	258192	263623	269191	273889	278633	278633	282181	287592	293004	298416	298416	306225	319751	336135	348978	310876
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-292708	-274717	-256613	-256746	-238613	-220965	-208180	-202417	-202417	-196733	-191065	-185355	-179644	-179644	-174065	-168518	-164180	-158571	-158571	-152960	-147408	-141816	-136239	-136239	-130671	-125105	-119354	-113851	-113851	-108440	-103031	-97621	-92212	-92212	-87179	-71101	-50656	-29772	-17784
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1061	-892	-724	-724	-506	-253	-75	-73	-73	-70	-68	-66	-64	-64	-62	-60	-58	-55	-55	-53	-51	-49	-47	-47	-45	-42	-40	-38	-38	-36	-34	-32	-29	-29	-27	-66	-44	-20	-2
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
