CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	3382889	3454026	3274204	3276295	2979761	2959346	2871233	2794481	2794481	2352559	2975477	2724519	2490639	2488875	2241461	2189096	2057757	1986982	1986678	1664866	1747283	1473024	1776615	1459377	620003	1465658
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	328193	600232	621106	621106	487356	624736	274727	534794	534794	260698	177147	171229	319788	319788	306337	327801	175852	300617	300617	290738	376061	45711	69886	317713	10202	606555
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	431500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2032533	2338645	2203462	2203481	2057245	1985471	2305376	1959737	1959737	1671086	2378579	2226444	1669286	1669284	1621024	1554684	1606374	1398538	1398538	1155774	1144764	1185781	1474812	875770	311159	620856
Hàng tồn kho###Inventory	582834	495993	447680	449753	433222	346654	289222	298164	298164	419231	418207	325346	500066	499803	314100	306611	275531	287827	287524	218354	226459	241532	231918	265170	246098	217442
Tài sản ngắn hạn khác###Other Current Assets	7829	17656	455	455	438	985	409	286	286	44	44	0	0	0	0	0	0	0	0	0	0	0	0	724	52544	20805
Tài sản dài hạn###Non-current Assets	6745450	7218043	7691316	7691316	8169120	8628357	9104921	9590329	9590329	10139910	10570915	11068011	11558124	11559745	12029644	12486516	12987944	13472321	13472321	13935441	14413628	14930676	15411220	18509140	19665219	16749838
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	6666176	7138947	7612262	7612262	8086955	8559488	9035315	9518370	9518370	10004736	10493772	10985900	11475814	11475936	11908951	12397406	12883351	13371368	13371368	13862308	14339561	14826157	15309799	17231486	18391665	8168262
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14814467	-14341426	-13868233	-13868233	-13394697	-12921161	-12447554	-11962563	-11962563	-11472897	-10983422	-10494798	-10005257	-10005254	-9516429	-9030747	-8542008	-8053313	-8053313	-7566001	-7077569	-6589358	-6101147	-4151385	-2455995	-1577101
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-5489	-5425	-5303	-5303	-5180	-5032	-4809	-4542	-4542	-4260	-3922	-3577	-3248	-2946	-2610	-2285	-1991	-1756	-1756	-1521	-1312	-1177	-1086	-921	-809	-688
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	1500	5000	5000	5000	5000	5000	5000	0	0	5000	5000	5000
Tài sản dài hạn khác###Other long term assets	75215	75037	74994	74994	75635	64463	64970	67900	67900	67638	73094	76675	76871	76871	73500	76122	93874	93558	93558	68133	69067	98670	101422	1272654	1268555	1264348
