CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	298161	396372	402362	402349	503294	450400	406956	526511	526511	534926	336750	350457	335565	335565	271495	294290	242776	236452	236452	221810	230636	228694	258699	258302	344167	336533	430941	391941	389857	435111	392412	425937	430945	430945	401110	429162	401061	336225	291684
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	11679	15250	13058	13058	9232	9574	13390	8870	8870	8937	19159	23039	58894	58894	82635	27848	61163	46456	46456	52677	13277	88858	70869	70869	29654	28834	18112	32084	32084	7149	6109	13683	56376	56376	50476	72527	17560	23908	16033
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	126360	93307	114311	114299	204113	158247	157464	140677	140677	235479	128648	133792	138649	138649	31461	112896	35544	66547	66547	51551	72900	56021	21810	21414	142620	154322	222662	122901	122938	158572	215744	200546	119004	119016	105096	117383	92000	85940	46113
Hàng tồn kho###Inventory	157178	278484	263139	263139	275632	267650	225766	359059	359059	277474	184100	190183	137274	137274	149588	151392	144010	121348	121348	116477	142445	83581	164173	164173	170570	151069	189272	215379	213244	240241	147187	185514	230883	230883	218028	215092	265416	213499	224835
Tài sản ngắn hạn khác###Other Current Assets	2944	9331	11853	11852	14316	14929	10335	17905	17905	13035	4843	3443	748	748	7812	2155	2059	2100	2100	1105	2013	233	1846	1846	1322	2308	895	21576	21591	29149	23372	26194	24681	24669	27510	24160	26085	12878	4703
Tài sản dài hạn###Non-current Assets	96345	98541	105076	104967	105069	110400	111664	84496	84496	77676	80789	85951	86710	86710	85652	83583	87085	85824	85824	81761	76210	79664	88409	88409	88856	95539	99427	102191	102191	103831	108285	111928	109364	109364	106537	118217	104654	92601	72010
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-160	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	75882	81148	86513	86513	87854	62402	67756	73362	73362	72673	77658	79506	84213	84213	73386	78971	76402	82557	82557	67639	71903	77019	85277	85277	86765	90677	94794	100217	98779	97844	102993	107957	104841	104841	104261	115526	102228	86666	72010
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-316085	-310820	-305454	-305454	-314296	-326404	-323656	-318051	-318051	-315195	-309419	-303825	-297473	-297473	-313693	-308109	-302310	-298113	-298113	-296766	-293428	-288312	-279685	-279685	-275071	-272473	-267937	-263392	-263392	-260455	-255767	-250424	-247515	-247515	-243899	-228355	-214274	-218548	-196698
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	10800	11969	14084	14084	8274	8062	6886	6775	6775	3413	1998	2483	2497	2497	1818	2377	2231	2415	2415	1357	1482	1693	2179	2179	674	813	1394	1974	1974	2407	3096	3971	4522	4522	2276	2691	2325	591	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	394507	494912	507438	507316	608362	560800	518620	611006	611006	612602	417539	436407	422275	422275	357148	377874	329861	322276	322276	303571	306845	308358	347107	346710	433023	432073	530368	494132	492049	538942	500697	537865	540309	540309	507648	547379	505715	428825	363694
Nợ phải trả ###Liabilities	181369	260894	281316	281104	387387	342487	274276	361183	361183	368442	178250	203969	154705	154705	112078	151636	110040	93447	93447	79494	86316	105875	122395	122293	214936	225045	335809	302763	302296	351844	313532	356039	353930	353930	321073	357371	315488	201894	167888
Nợ ngắn hạn###Short term Liabilities	181369	260894	281316	281104	387387	342487	274276	361183	361183	368442	178250	203969	154705	154705	112078	151636	110040	93447	93447	79494	86316	105875	122395	122293	214936	223400	333804	300758	300291	349119	310807	352774	353930	353930	320881	357151	309291	175185	120704
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1645	2005	2005	2005	2725	2725	3265	0	0	192	220	6197	26710	47184
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	213138	234018	226121	226212	220976	218313	244344	249823	249823	244160	239290	232438	267570	267570	245070	226238	219821	228829	228829	224077	220530	202483	224712	224418	218087	207028	194559	191370	189752	187098	187165	181826	186379	186379	186574	190008	190227	226931	195806
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
