CAN DOI KE TOAN	 2019	 2018	 2017	 2016
Tài sản ngắn hạn###Current Assets	40266	37515	11020	42925
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	943	1512	2917	2720
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	33975	18045	3288	40000
Hàng tồn kho###Inventory	5053	17356	4626	205
Tài sản ngắn hạn khác###Other Current Assets	295	602	190	0
Tài sản dài hạn###Non-current Assets	2108	15905	10194	0
Các khoản phải thu dài hạn###Long term Account Receivable	50	0	0	0
Tài sản cố định ###Fixed assets	1089	1313	10087	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-260	-35	-5	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0
Lợi thế thương mại	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	9994	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0
Tài sản dài hạn khác###Other long term assets	851	220	107	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	42374	53419	21215	42925
Nợ phải trả ###Liabilities	24412	36386	7543	39900
Nợ ngắn hạn###Short term Liabilities	24412	36386	7543	39900
Nợ dài hạn###Long term Liabilities	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0
No khac	0	0	0	0
Vốn chủ sở hữu ###Owners equity	17963	17033	13671	3024
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0
Vốn chủ sở hữu ###Owners equity	17963	17033	13671	3024
Lợi ích của cổ đông thiểu số	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	66853	120434	80361	0
Các khoản giảm trừ doanh thu###Deduction revenues	39	416	0	0
Doanh thu thuần###Net Sales	66814	120017	80361	0
Giá vốn hàng bán###Cost of goods sold	61103	111878	80008	0
Lợi nhuận gộp###Gross profit	5711	8139	353	0
Doanh thu hoạt động tài chính###Financial activities Revenues	143	0	2231	381
Chi phí tài chính###Financial Expenses	983	0	765	0
Chi phí bán hàng###Selling Expenses	828	1138	595	86
Chi phí quản lý doanh nghiệp###Managing Expenses	2751	2647	531	265
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1291	4354	694	30
Thu nhập khác###Other incomes	0	37	0	0
Chi phí khác###Other Expenses	130	7	0	0
Lợi nhuận khác###Other profits	-130	30	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1161	4385	694	30
Chi phí thuế TNDN###Corporate Income Tax Expenses	232	870	139	6
Chi phí thuế TNDN###Corporate Income Tax Expenses	232	870	139	6
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	938	3518	555	24
---Cac Chi So Tai Chinh---				
EBITDA	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.00	14.80	0.00	0.00
