CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	4178407	4452968	4910143	4916745	4878638	5590805	5455901	6002446	5986951	5592299	5373537	4854670	4760183	4738324	4377389	3932264	4140713	4270434	4270434	3949200	3969944	4545425	4108757	3422855
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	409323	298475	126712	126712	150855	243730	131017	151166	154382	183472	295053	318795	116333	116333	180391	164993	263585	278936	278936	225634	120964	190192	176111	244687
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	11500	13649	10649	16649	5149	5649	3000	0	20000	27801	28508	27542	27302	27302	30346	26106	0	25000	25000	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	796062	1188664	2117578	2118209	2135086	2606633	2028643	2594290	2619996	2101071	2501725	1869831	2381392	2361646	1631194	1740064	1623696	1733263	1733263	1359791	1215566	1525882	2043547	1506121
Hàng tồn kho###Inventory	2803042	2781427	2491657	2491657	2439552	2597274	3134638	3095850	3031334	3177543	2447323	2554886	2148496	2147062	2455501	1934133	2182612	2170131	2170131	2262938	2493272	2684124	1776474	1593281
Tài sản ngắn hạn khác###Other Current Assets	158479	170753	163546	163517	147997	137520	158603	161140	161239	102413	100927	83617	86661	85981	79956	66969	70820	63105	63105	100838	140142	145227	112626	78766
Tài sản dài hạn###Non-current Assets	1569067	1577986	1615581	1609285	1641673	1665279	1693135	1705255	1704575	1723875	1740885	1773065	1827442	1839607	1867995	1859845	1906002	1888670	1888670	1882368	1881300	1860584	1593897	1269754
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1280719	1309892	1336096	1336096	1405897	1396667	1425038	1445498	1446546	1435708	1460579	1496506	1556365	1564962	1542408	1515912	1552856	1562659	1562659	1542922	1537352	1557717	1312568	1150350
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-936087	-904649	-868781	-869063	-823747	-792355	-759622	-723036	-723972	-695016	-660137	-628709	-593264	-592972	-561233	-526803	-501871	-468240	-468240	-439451	-407502	-348007	-250881	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-22713	-16951	-15721	-15439	-16341	-14900	-13463	-12036	-12036	-10673	-9384	-8203	-7162	-7162	-6435	-5079	-4380	-3733	-3733	-3699	-3321	-3158	-1954	0
Lợi thế thương mại	155	0	186	186	0	217	232	247	247	263	278	294	309	309	325	340	356	371	371	541	402	433	1495	2619
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	45330	42616	45272	39272	37683	36867	35633	35553	35553	36611	32521	33146	33186	28186	33186	202	202	202	202	10232	10372	9220	10350	46197
Tài sản dài hạn khác###Other long term assets	149093	156759	163246	162950	122422	125853	131059	126135	123893	123611	124987	123381	128279	134602	132695	151526	146862	149509	149509	84387	78481	90461	87269	73206
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5747473	6030954	6525724	6526030	6520311	7256084	7149036	7707701	7691526	7316175	7114422	6627735	6587625	6577931	6245384	5792108	6046715	6159105	6159105	5831568	5851244	6406009	5702654	4692609
Nợ phải trả ###Liabilities	3163513	3441812	3899481	3900331	3915877	4694513	4582798	5192635	5180482	4971425	4816949	4217909	4244380	4251856	4062200	3689070	3754942	3983093	3983093	3731069	3855692	4301547	3693734	3050858
