CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013
Tài sản ngắn hạn###Current Assets	373083	332561	393168	393686	407200	344454	298881	333005	332708	372909	339701	296249	370076	369495	326344	280702	264101	328782	327417	341817	295203	277092	346701	251161	274255	274255	162843	162843
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	17685	29806	24391	24384	16256	16964	21700	36777	36772	11030	13591	14249	44741	44741	11931	6232	8688	12679	30206	14260	13724	17796	40129	755	44934	44934	16304	16304
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	29736	29736	29736	29736	29541	21541	26541	26666	26666	31708	31708	31608	30483	30483	25080	26205	26533	26533	9006	22755	35155	29927	31052	22527	22527	22527	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	196048	179198	261671	256600	219648	159097	143292	172425	172419	193894	131385	134537	192398	192022	183572	126025	130325	189546	188176	189397	129258	140164	171661	95957	103186	103186	75317	75317
Hàng tồn kho###Inventory	122499	89596	68107	68236	115765	125853	85094	76262	76079	112923	141678	94056	82180	81794	84069	102418	74713	79186	79192	101115	106823	80592	89604	120289	97323	97323	61433	61433
Tài sản ngắn hạn khác###Other Current Assets	7114	4225	9262	14729	25990	20999	22255	20875	20771	23355	21340	21800	20274	20455	21694	19823	23843	20838	20838	14290	10242	8613	14254	11633	6285	6285	9790	9790
Tài sản dài hạn###Non-current Assets	104467	106154	93985	94630	175504	181254	177822	185641	185743	181068	180849	176539	178895	178636	186269	176984	163515	144538	149243	105350	97329	88713	80025	65238	52017	52017	55040	55040
Các khoản phải thu dài hạn###Long term Account Receivable	69320	67884	52874	52874	256	174	252	6797	6797	5326	5524	5792	6022	6022	6230	7030	6896	6676	9671	6554	6541	6835	6507	0	0	0	0	0
Tài sản cố định ###Fixed assets	25145	28165	28846	28846	117145	118017	119878	122567	122567	123363	121370	115712	117815	117819	119481	99504	98123	27954	27956	28969	29766	30162	31141	33679	35483	35316	34338	33088
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-54924	-54920	-55085	-55085	-68659	-66244	-65753	-62892	-62892	-59982	-57105	-54386	-51785	-51782	-49401	-47016	-44610	-42193	-42191	-41288	-39934	-38107	-36755	-33949	-30273	-30273	-23270	-23270
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-138	-91	-43	-43	-84	-63	-43	-22	-22	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-355	-354	-352	-352	-422	-410	-392	-373	-373	-355	-336	-318	-299	-299	-281	-262	-244	-226	-226	-214	-203	-197	-190	-176	-161	-161	-133	-133
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	5445	5784	7780	8421	0	5000	0	0	0	0	0	0	1125	1125	6353	5228	4900	4900	4900	1125	1125	6353	5228	12504	12526	12526	17060	17060
Tài sản dài hạn khác###Other long term assets	4088	4311	4466	4470	40608	41144	41410	41032	41134	41330	5675	5186	5252	4990	5723	6101	5708	4731	6462	6488	6186	6522	6434	5153	4008	4008	3642	3642
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	477549	438714	487153	488316	582704	525708	476703	518646	518451	553977	520551	472788	548971	548131	512613	457687	427616	473319	476660	447167	392532	365806	426726	316399	326272	326272	217883	217883
Nợ phải trả ###Liabilities	275510	235206	278814	279047	381274	334766	281628	313535	313440	353199	329076	275009	339311	338337	310725	270497	234080	271612	273202	246359	205734	165134	221968	217347	246072	246072	165576	165576
