CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	926658	860353	948102	948103	925705	1143814	1041855	1121768	1121891	1118909	1180391	882341	1073493	1073764	1081452	1205331	1073711	1062382	1062361	920093	981246	791217	791217	789404	900105	675992	810620	558086	550633
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18346	48673	30304	30304	34372	26651	20023	25052	25052	33493	36743	26413	30218	30218	53184	29817	16155	32185	32185	19062	37642	33085	33085	21520	52478	51733	48335	19318	28075
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	24033	16038	15283	15283	14378	14091	14091	14091	14091	14091	13826	14191	14191	14191	13945	13945	37822	45008	45008	46935	38783	24375	24375	13163	4200	4200	3300	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	238583	306606	247341	247341	344094	425650	410396	256473	256596	459049	385602	360877	295520	295760	440030	418033	475714	360667	360917	359527	336736	246070	246070	381779	312454	244909	299301	188445	134033
Hàng tồn kho###Inventory	609306	458653	616188	616188	492057	639457	566237	795741	795740	552230	701407	433783	665120	665120	500666	652388	483657	560129	559857	441088	507179	436462	436462	331302	496521	333446	419442	324581	361958
Tài sản ngắn hạn khác###Other Current Assets	36389	30382	38986	38986	40805	37965	31108	30411	30411	60046	42812	47078	68444	68475	73627	91148	60363	64393	64393	53481	60906	51224	51224	41641	34451	41703	40242	25742	26567
Tài sản dài hạn###Non-current Assets	818431	838191	824399	824312	811394	825001	846349	872316	871018	921142	929096	931634	888212	888184	881212	926508	904016	855064	858281	793162	730026	578139	578139	509787	492890	486394	473222	416837	423929
Các khoản phải thu dài hạn###Long term Account Receivable	3935	4423	4384	4384	4710	4268	1896	1597	1597	2087	2634	3051	3270	3270	1570	1570	2039	1609	1609	2377	1926	1468	1468	2120	2194	2345	0	0	0
Tài sản cố định ###Fixed assets	727842	760844	743070	743070	755438	776500	799200	828730	825949	876601	858203	833655	825853	825853	816465	863603	784011	790277	790654	546181	538795	536743	536743	436800	443166	432282	437202	384737	385195
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-995423	-968694	-931082	-931082	-894956	-860873	-804463	-768961	-768961	-790601	-751522	-723495	-731670	-731670	-702164	-676500	-641676	-608282	-608358	-580057	-553227	-509337	-509337	-486286	-467306	-450077	-435924	-355998	-322362
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-9572	-9248	-8928	-8928	-8613	-8298	-7984	-7671	-7671	-7582	-7261	-6937	-6612	-6612	-6288	-6003	-5708	-5409	-5409	-5103	-4796	-4171	-4171	-3918	-3621	-3460	-3274	-2565	-1967
Lợi thế thương mại	140	175	210	210	245	280	315	350	350	385	420	455	490	490	525	0	3386	3500	4498	4640	4783	770	770	805	841	876	0	0	1191
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	13633	14651	14008	13921	14170	13896	13988	13592	13494	2334	2334	6334	6334	6334	6361	2361	1461	3061	5022	5472	5472	5834	5834	11867	11867	14261	15611	19472	12005
Tài sản dài hạn khác###Other long term assets	28306	28835	27889	27889	27207	26812	25615	27224	27224	29108	30348	29975	28999	28971	28033	31564	28180	26645	27524	24172	24217	29808	29037	24988	22370	14388	19498	11578	15393
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1745088	1698543	1772501	1772415	1737100	1968815	1888205	1994083	1992908	2040051	2109487	1813976	1961705	1961947	1962663	2131839	1977727	1917445	1920642	1713255	1711272	1369356	1369356	1299192	1392995	1162386	1283842	974923	974561
Nợ phải trả ###Liabilities	1300840	1191466	1291041	1291041	1292339	1553375	1419621	1549454	1547102	1595888	1695272	1355536	1524073	1524308	1561746	1764489	1558621	1562189	1562918	1375374	1398365	1038793	1038793	992504	1118095	862762	994683	717917	735212
Nợ ngắn hạn###Short term Liabilities	940208	807824	911788	911788	869322	1128370	979290	1108310	1105958	1102132	1204813	859082	1027372	1027558	1029206	1217140	998003	1040409	1041137	834818	886600	769463	769463	729134	899370	666615	823935	562976	571514
Nợ dài hạn###Long term Liabilities	360632	383643	379253	379253	423017	425005	440331	441144	441144	493756	490459	496454	496700	496750	532539	547348	560618	521780	521780	540556	511765	269330	269330	263370	218725	196147	170748	154941	163699
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	444248	507077	481460	481374	444761	415440	468584	444629	445807	444163	414215	458440	437632	437640	400918	367350	419106	355256	357724	337881	312907	330563	330563	306688	274899	299625	261691	238766	239349
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	444248	507077	481460	481374	444761	415440	468584	444629	445807	444163	414215	458440	437632	437640	400918	367350	419106	355256	357724	337881	312907	330563	330563	306688	274899	299625	261691	238766	239349
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27467	18239	0
