CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q2 2014	 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	730410	838302	879672	877656	937069	990321	854397	804312	796338	949940	831994	631320	613148	615856	729661	753876	670351	593658	587209	504477	441790	398647	466641	418634	405432	396120	360550	463417	463417	337729	404294	312434	289642	221757
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	133246	199576	150026	150026	144385	274910	157017	153072	198074	239924	261457	89579	116616	116616	141327	159443	147873	86637	86636	14127	16809	18116	6583	6583	2829	61160	82609	148164	148164	32668	75562	24099	69234	36061
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	45000	65000	80000	80000	60000	15000	30000	45000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	45531	122306	98415	98302	151403	122236	113326	65397	68507	166947	75859	167447	62927	64560	163532	139661	150581	84742	87658	95484	137301	96368	74185	30246	68526	73450	72089	111723	111723	78951	102610	84653	58032	93940
Hàng tồn kho###Inventory	478759	432357	524958	522572	555845	554992	507882	509769	498721	512753	453992	352275	399379	398105	398617	424759	349389	402420	398538	362687	264357	270245	356170	355875	280455	221201	158675	183507	183507	207818	210312	194752	143264	73482
Tài sản ngắn hạn khác###Other Current Assets	27874	19063	26273	26757	25435	23183	46172	31074	31036	30317	40686	22019	34226	36574	26185	30012	22509	19858	14377	32178	23322	13918	29703	25930	53623	40309	47177	20024	20024	18292	15810	8930	19112	18274
Tài sản dài hạn###Non-current Assets	1126486	1162029	1191601	1191288	1225628	1256343	1278743	1315122	1308351	1329300	1272570	1336874	1365395	1359089	1344473	1384592	1392471	1430895	1436115	1457277	1477010	1276923	1252418	1301500	1288442	1222011	961520	781535	781535	579840	621177	704145	584940	434273
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	800	1000	0
Tài sản cố định ###Fixed assets	980488	1014026	1048021	1048187	1075069	1108609	1142669	1178792	1146487	1099311	1135052	1171075	1207761	1207836	1244216	1281140	1313829	1349914	1345860	1108133	840451	807104	607360	607360	438490	458744	478550	744113	498795	535719	577642	647333	461588	219510
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1074518	-1041007	-1008087	-1007921	-974578	-941065	-907668	-871576	-871501	-837160	-801458	-765395	-729246	-729171	-692415	-655658	-618928	-582235	-582055	-549556	-516862	-488939	-463020	-463020	-440559	-420990	-401421	-381863	-381863	-301413	-268262	-199492	-149245	-103779
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-41805	-35687	-23451	-11216	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-14119	-14092	-14064	-14064	-14037	-14009	-13982	-13950	-13950	-13911	-13871	-13817	-13652	-13652	-13477	-13311	-13084	-12858	-12858	-12171	-11485	-10799	-10113	-10113	-9427	-8741	-8055	-7369	-7369	-5997	-4629	-2072	-113	-1127
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	6913	6913	1698	1885	1885	1885	1885	1885	2387	2387	2175	27050	27050	27050	67042	67042	39992	39992	39992	39992	39992	39994	39992	85952	67168	7469	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	137809	139814	140606	139940	141080	139207	132526	132783	145619	126676	127987	126791	128970	110397	32133	35637	35951	39718	49318	43324	40543	42309	41627	44718	42079	40163	39149	37422	37422	41883	43035	43714	46951	11882
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1856896	2000330	2071273	2068945	2162697	2246665	2133140	2119434	2104689	2279240	2104564	1968194	1978543	1974945	2074134	2138468	2062822	2024553	2023324	1961754	1918800	1675571	1719058	1720134	1693875	1618131	1322070	1244953	1244953	917569	1025471	1016578	874582	656030
Nợ phải trả ###Liabilities	863556	865176	988154	985693	1132843	1268385	1172198	1210381	1194883	1417156	1289456	1149677	1199892	1198319	1328504	1410327	1342679	1329444	1331620	1256061	1220334	982896	1029281	1029844	1013580	944847	621844	570135	570135	366101	522408	547331	484404	326880
Nợ ngắn hạn###Short term Liabilities	775791	743893	823669	821208	922927	1012326	865398	862133	846600	993004	899472	730085	732355	730783	824388	857312	739800	677575	676881	534983	462362	322672	401462	401492	340225	285501	173912	207534	207534	184954	306047	267042	315005	153341
Nợ dài hạn###Long term Liabilities	87764	121282	164485	164485	209916	256058	306800	348248	348283	424152	389984	419592	467537	467537	504116	553015	602879	651869	654739	721078	757971	660224	627819	628352	673355	659345	447932	362601	362601	181147	216360	280288	169399	173539
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	993341	1135155	1083120	1083252	1029854	978280	960942	909053	909806	862084	815108	818517	778651	776626	745629	728141	720143	695109	691704	705693	698467	692675	689777	690290	680295	673285	700227	674817	674817	551468	503063	469248	390179	329150
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	993341	1135155	1083120	1083252	1029854	978280	960942	909053	909806	862084	815108	818517	778651	776626	745629	728141	720143	695109	691704	705693	698467	692675	689777	690290	680295	673285	700227	674817	674817	551468	503063	469248	390179	329150
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q3 2014	Q2 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	253005	616739	2231826	575748	555904	494300	605867	2408319	626817	589163	603347	588992	2008604	560591	531571	470275	447842	1379413	410940	309300	401347	262343	1035487	110165	294929	312996	317396	1457929	371311	352804	1454452	1099307	935783	505959
Các khoản giảm trừ doanh thu###Deduction revenues	824	0	2841	237	1646	316	642	616	1	261	348	6	19551	1043	18097	123	288	21128	18709	2243	114	63	50	0	4	46	0	412	0	253	1405	96	875	0
Doanh thu thuần###Net Sales	252182	616739	2228985	575512	554258	493984	605225	2407703	626816	588903	602999	588986	1989053	559548	513474	470152	447554	1358285	392231	307057	401233	262280	1035436	110165	294925	312949	317396	1457517	371311	352551	1453047	1099210	934908	505959
