CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	1814593	1174151	1074100	1071266	1235064	1175331	966593	1046867	1036192	1189598	1363337	1175239	1368801	1406160	1232721	1360629	1256446	1581105	1564546	1467274	1393037	1553283	1967132	1967132	2114506	2491219	1377054	1409963
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	60915	107350	117005	117005	54801	57195	28988	52899	52899	120042	89924	112185	71198	71198	105806	253994	265224	295896	295896	175336	242672	304693	500420	500420	892383	1069594	572341	480461
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	434670	467070	522070	522070	512070	492070	499470	509470	509470	509470	544470	512470	517470	517470	419800	369800	206400	206400	206400	206400	156400	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1135002	477036	343209	341581	617473	541599	339194	392596	381928	466838	582730	431781	602255	644672	581033	613149	618219	937468	935974	983856	887416	1103714	1311210	1311210	1114365	1227896	668412	915689
Hàng tồn kho###Inventory	153113	69597	57570	56570	24735	24082	22714	22018	22018	21500	57058	28532	90605	89262	33856	26073	51125	45823	30758	18506	19772	83816	119540	119540	107757	180401	131317	11560
Tài sản ngắn hạn khác###Other Current Assets	30892	53097	34246	34039	25985	60385	76227	69883	69876	71747	89155	90271	87273	83559	92226	97613	115478	95518	95518	83175	86777	61060	35962	35962	0	13328	4983	2253
Tài sản dài hạn###Non-current Assets	95959	80315	41162	40913	32883	28225	32921	35429	35429	37165	39635	43083	46376	48282	47102	82828	103291	147264	145536	173458	199582	230907	270367	270367	295744	341249	456294	516963
Các khoản phải thu dài hạn###Long term Account Receivable	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	2095	5478	5678	5678	5678	0	0	0
Tài sản cố định ###Fixed assets	54335	48417	26890	26890	21108	19714	21928	24406	24406	23073	25679	28265	31230	31230	34070	59475	86519	113883	113883	139202	164960	193653	222801	222801	247792	332207	407883	501436
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-806493	-803181	-800576	-800576	-799393	-797515	-797162	-797319	-797319	-794995	-792403	-789518	-786515	-786515	-785431	-760540	-734397	-707893	-707893	-680813	-653532	-625536	-597080	-597080	-568737	-482564	-367402	-257875
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-13513	-13066	-12620	-12620	-12171	-11716	-11391	-11067	-11067	-10946	-10933	-10905	-10864	-10864	-10811	-9919	-9018	-8112	-8112	-7206	-6301	-5395	-4489	-4489	-3640	-1337	-582	-489
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	39528	29802	12176	11928	9680	6416	8898	8928	8928	11997	11862	12723	13051	14957	10937	21258	13619	30228	28500	31102	31511	31776	41888	41888	42274	9042	48410	15527
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1910551	1254465	1115262	1112179	1267946	1203556	999513	1082296	1071621	1226763	1402973	1218322	1415177	1454442	1279824	1443457	1359737	1728369	1710083	1640731	1592619	1784189	2237499	2237499	2410249	2832468	1833347	1926926
Nợ phải trả ###Liabilities	1177649	507047	368182	363835	531628	482127	249188	333895	323136	490091	632535	453164	652346	686169	521832	685792	505369	876241	857165	826603	784008	908489	1366265	1366265	1630946	1901473	1155751	1449152
Nợ ngắn hạn###Short term Liabilities	1165151	500063	361175	355826	525390	475761	234184	318891	299497	471509	593526	402632	601814	676623	477931	645300	462364	833235	809762	814284	771689	898644	1319906	1319906	1555883	1780901	980352	1207326
Nợ dài hạn###Long term Liabilities	12497	6984	7007	8010	6238	6365	15004	15004	23639	18583	39008	50532	50532	9546	43901	40491	43006	43006	47403	12319	12319	9845	46360	46360	75062	120572	175399	241826
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	732903	747418	747080	748344	736319	721429	750326	748401	748485	736672	770438	765158	762830	768273	757992	757665	854368	852128	852918	814128	808611	875701	871234	871234	779304	930995	677596	477775
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	732903	747418	747080	748344	736319	721429	750326	748401	748485	736672	770438	765158	762830	768273	757992	757665	854368	852128	852918	814128	808611	875701	871234	871234	779304	930995	677596	477775
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	791689	288480	1424402	375650	543458	367184	136272	1222296	298071	241865	460196	221767	1005765	409898	187428	302454	151481	1860774	646355	601303	411203	202575	4318447	1068715	1251630	5230936	4063701	3753011
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	791689	288480	1424402	375650	543458	367184	136272	1222296	298071	241865	460196	221767	1005765	409898	187428	302454	151481	1860774	646355	601303	411203	202575	4318447	1068715	1251630	5230936	4063701	3753011
Giá vốn hàng bán###Cost of goods sold	742259	277233	1336615	341780	514094	344468	130503	1161230	270238	235698	436561	223138	937406	381428	186424	264719	145274	1724261	561405	580468	393324	189486	4058863	945951	1193433	4598644	3616105	3532375
Lợi nhuận gộp###Gross profit	49430	11247	87787	33870	29364	22716	5769	61066	27832	6167	23635	-1370	68359	28470	1004	37734	6207	136513	84949	20835	17879	13088	259584	122763	58198	632292	447596	220636
Doanh thu hoạt động tài chính###Financial activities Revenues	8298	8708	38066	11071	9448	9537	8010	43582	9522	13526	7266	13268	32093	6997	9110	9310	6610	31444	8399	6037	7715	9292	50261	9312	22150	21738	21914	13532
Chi phí tài chính###Financial Expenses	306	318	2039	155	328	968	589	2002	409	312	719	562	6322	259	653	3918	1425	15999	4474	783	1077	9665	36699	8510	16795	18973	23587	32358
Chi phí bán hàng###Selling Expenses	4364	3649	17063	6773	4251	4233	1807	13881	5951	1545	4868	1453	10329	3129	1459	4206	1100	14405	6396	3085	2450	2277	17850	6412	3705	24992	23685	16478
Chi phí quản lý doanh nghiệp###Managing Expenses	23161	15505	63135	21534	16212	16414	8963	58645	21625	12116	17977	6812	48241	17268	7575	15262	7707	60780	29936	15856	10919	4529	93803	44632	19560	84044	68418	78726
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	29897	482	43616	16479	18022	10637	2421	30119	9370	5720	7337	3070	35560	14810	427	23657	2585	76773	52542	7148	11148	5909	161493	72522	40287	526020	353819	106605
Thu nhập khác###Other incomes	1	6	9049	4619	21	2042	89	1853	759	0	2308	149	667	294	91	14	268	875	326	1	798	-249	3056	947	880	7925	124	2786
Chi phí khác###Other Expenses	67	66	6088	2243	61	3718	66	5161	1412	78	194	271	335	74	109	99	53	190	45	45	55	45	231	82	45	5132	534	1838
Lợi nhuận khác###Other profits	-66	-60	2961	2376	-41	-1676	23	-3308	-653	-78	2114	-122	332	219	-18	-85	215	685	281	-44	743	-294	2825	865	835	2793	-410	948
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	29830	422	46577	18855	17981	8962	2444	26811	8718	5643	9450	2948	35891	15029	409	23573	2800	77458	52824	7104	11890	5615	164319	73386	41122	528813	353409	107553
Chi phí thuế TNDN###Corporate Income Tax Expenses	6008	84	12498	6830	3092	2458	519	12275	8439	-1724	4804	620	9689	4748	82	4776	560	20564	14034	1586	2981	1148	42589	22216	9075	120314	95587	33533
Chi phí thuế TNDN###Corporate Income Tax Expenses	7169	84	11074	7326	3901	-519	519	7932	6160	1636	0	0	9429	8768	-2872	4281	560	26983	20694	254	2715	776	40517	23694	9075	81457	129180	38989
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1161	0	1424	-496	-809	2977	0	4344	2279	-3360	4804	620	260	-4020	2954	495	0	-6419	-6660	1332	265	372	2071	-1478	0	38857	-33593	-5456
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	23822	338	34079	12025	14890	6504	1925	14536	278	7367	4646	2328	26202	10281	327	18797	2240	56894	38790	5518	8910	4467	121730	51170	32048	408499	257822	74020
---Cac Chi So Tai Chinh---																												
