CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	29933	34056	24879	19892	23574	23776
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4914	2521	5191	1166	1875	3458
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	21372	24413	15470	14514	17880	16986
Hàng tồn kho###Inventory	3647	6971	4163	4134	3819	3330
Tài sản ngắn hạn khác###Other Current Assets	0	151	55	77	0	2
Tài sản dài hạn###Non-current Assets	14390	16479	18501	22522	28501	28311
Các khoản phải thu dài hạn###Long term Account Receivable	1701	1377	1074	614	614	614
Tài sản cố định ###Fixed assets	12688	14872	16700	19011	20046	20732
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-55802	-53791	-54835	-52642	-50520	-48489
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-863	-690	-518	-345	-173	0
Lợi thế thương mại	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	230	726	2896	7841	6964
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	44322	50535	43380	42414	52075	52087
Nợ phải trả ###Liabilities	21325	28659	27766	24879	37090	37895
Nợ ngắn hạn###Short term Liabilities	19736	26154	24982	21332	33345	33711
Nợ dài hạn###Long term Liabilities	1588	2505	2785	3547	3744	4183
Dự phòng nghiệp vụ	0	0	0	0	0	0
No khac	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	22998	21876	15613	17535	14985	14192
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	22998	21876	15613	17535	14985	14192
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	110149	92240	83541	84886	62173	50797
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0
Doanh thu thuần###Net Sales	110149	92240	83541	84886	62173	50797
Giá vốn hàng bán###Cost of goods sold	90575	75558	72773	71023	53341	43992
Lợi nhuận gộp###Gross profit	19574	16682	10767	13863	8832	6805
Doanh thu hoạt động tài chính###Financial activities Revenues	5	4	6	8	40	12
Chi phí tài chính###Financial Expenses	1124	1795	1731	2193	2715	2728
Chi phí bán hàng###Selling Expenses	1406	1284	1367	1521	966	798
Chi phí quản lý doanh nghiệp###Managing Expenses	7119	5898	5282	5480	3951	3195
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	9931	7709	2393	4677	1239	95
Thu nhập khác###Other incomes	39	458	0	13	8	102
Chi phí khác###Other Expenses	2	119	1318	487	142	58
Lợi nhuận khác###Other profits	37	338	-1318	-474	-134	44
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	9968	8047	1076	4203	1105	139
Chi phí thuế TNDN###Corporate Income Tax Expenses	2084	1285	531	985	311	51
Chi phí thuế TNDN###Corporate Income Tax Expenses	2084	1285	531	985	311	51
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	7884	6762	545	3218	794	89
---Cac Chi So Tai Chinh---						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	17.95	3.49	6.85	0.00	0.00	0.00
