CAN DOI KE TOAN	 2019	 2018	 2017	 2016
Tài sản ngắn hạn###Current Assets	117819	134984	89325	85672
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9090	8401	4148	6545
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	400	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	86829	95650	61240	53116
Hàng tồn kho###Inventory	21353	30717	23641	25901
Tài sản ngắn hạn khác###Other Current Assets	147	216	296	110
Tài sản dài hạn###Non-current Assets	63661	44968	33003	33792
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0
Tài sản cố định ###Fixed assets	21899	23980	23459	23024
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-26567	-24222	-23403	-20754
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-65	-65	-66	-57
Lợi thế thương mại	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	7956	11818	7956	7956
Tài sản dài hạn khác###Other long term assets	4217	5014	771	845
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	181481	179952	122328	119465
Nợ phải trả ###Liabilities	99299	104291	54554	64280
Nợ ngắn hạn###Short term Liabilities	99059	101777	39554	49280
Nợ dài hạn###Long term Liabilities	240	2514	15000	15000
Dự phòng nghiệp vụ	0	0	0	0
No khac	0	0	0	0
Vốn chủ sở hữu ###Owners equity	82182	75661	67774	55185
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	89	14	22	6
Vốn chủ sở hữu ###Owners equity	82094	75647	67752	55179
Lợi ích của cổ đông thiểu số	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	135407	192553	130077	179324
Các khoản giảm trừ doanh thu###Deduction revenues	23	14	22	14
Doanh thu thuần###Net Sales	135385	192538	130055	179310
Giá vốn hàng bán###Cost of goods sold	107164	169170	107478	148400
Lợi nhuận gộp###Gross profit	28221	23368	22577	30909
Doanh thu hoạt động tài chính###Financial activities Revenues	16980	19681	21233	14443
Chi phí tài chính###Financial Expenses	2383	2459	1364	1286
Chi phí bán hàng###Selling Expenses	2661	5135	3985	5375
Chi phí quản lý doanh nghiệp###Managing Expenses	19810	21350	19024	21933
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	16486	9225	19438	16758
Thu nhập khác###Other incomes	335	305	2916	513
Chi phí khác###Other Expenses	92	12	1034	122
Lợi nhuận khác###Other profits	243	293	1882	391
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	16729	9519	21320	17150
Chi phí thuế TNDN###Corporate Income Tax Expenses	1058	-737	232	630
Chi phí thuế TNDN###Corporate Income Tax Expenses	596	215	195	690
Chi phí thuế TNDN###Corporate Income Tax Expenses	462	-952	37	-60
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	15670	10256	21087	16520
---Cac Chi So Tai Chinh---				
EBITDA	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.39	11.35	0.00	0.00
