CAN DOI KE TOAN	 2019	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	5025	6384	14779	13467	13287	13489	13306	14158	12688	12884	14650	15154	14508	13081	14463	29348	28172	27903	27592	27927	27927	22592	25008	24530	25131	25131	29669	28463	27047	27076	26013	19326	19003	17605	17499	18429	19383	17297	18143	16535	13451	16141	15366	25388	26643	1061
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2334	1577	573	1062	824	824	788	832	953	1154	1154	1066	430	690	819	819	312	335	632	822	822	667	1277	633	569	569	570	1408	2767	3550	853	937	1029	34	554	554	727	512	344	1816	1766	1209	414	8752	5096	119
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	10	460	460	768	768	11093	11093	11093	11093	11093	11093	10993	10993	11293	11293	11293	12538	12008	9020	9020	1122	1122	1122	1122	1122	1122	1122	1122	1122	1122	1122	1122	1122	1122	1122	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2579	4745	14151	12244	12204	8290	8334	13260	7589	7586	9341	9320	9309	9486	9533	16111	15447	15176	14094	14687	14687	9354	10877	10585	11264	11264	14219	12854	13032	12306	21937	15233	14175	13444	12929	11794	12563	12631	12795	11818	10117	11858	13143	14813	17850	815
Hàng tồn kho###Inventory	0	0	0	90	188	188	0	0	0	0	0	172	172	172	172	172	172	155	157	161	161	378	479	573	655	655	670	704	682	668	734	700	691	1068	523	523	737	230	630	385	385	87	0	0	1136	0
Tài sản ngắn hạn khác###Other Current Assets	112	62	56	71	71	4187	4184	66	4145	4144	4145	4135	4137	1966	3172	1153	1148	1145	1617	1164	1164	1199	1381	1445	1350	1350	1672	1489	1546	1531	1367	1333	1986	1937	2370	4436	4234	2802	3252	1394	60	1865	687	701	1439	127
Tài sản dài hạn###Non-current Assets	44989	42961	39433	54706	55782	55369	55796	56595	57016	57453	57793	58268	59976	62192	61347	55359	57225	58326	58698	59636	59683	65474	63196	64120	64363	64363	59187	60102	62033	62820	64896	71128	48506	48679	49234	48586	49006	49120	49937	51741	53308	48919	51147	41601	41363	20485
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	4356	6196	7130	7208	7422	7418	7793	8168	8543	10368	8929	9337	9745	13159	12047	12047	12605	13212	13714	14364	14364	14728	15017	15596	15908	16254	15778	16420	17012	17163	17608	16841	17309	17654	18195	18829	19249	19362	20179	20179	20572	20987	21342	21492	21888	19636
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14983	-13143	-12209	-11433	-11238	-11240	-11042	-10844	-10646	-10448	-10437	-10259	-10058	-9852	-9621	-9621	-9280	-8889	-9050	-8618	-8618	-8378	-7936	-7398	-6957	-6957	-6497	-6151	-5759	-5364	-5364	-5216	-4936	-4764	-4355	0	0	-3914	0	-3018	0	0	0	-1529	-1229	-186
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-6722	-6722	-6722	-6711	-6693	-6694	-6517	-6341	-6164	-5987	-5987	-5758	-5550	-5342	-5134	-5134	-4918	-4702	-4503	-4285	-4285	-4067	-3850	-3632	-3414	-3414	-3196	-2995	0	-2594	-2594	-2393	-2192	-1990	-1790	0	0	-798	0	-798	-3817	0	0	-997	-798	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	40367	36367	31773	46240	46650	46240	46240	46650	46650	46650	46829	46829	47951	47951	47951	41943	42943	42943	42943	42943	42991	47941	44991	44891	45178	45178	41759	41759	43410	43410	45430	52967	29732	29732	29732	29757	29757	29757	29757	29757	30932	27932	27932	18182	16988	0
Tài sản dài hạn khác###Other long term assets	0	132	264	203	260	260	313	326	372	435	586	652	830	1082	1349	1368	1677	2170	2040	2328	2328	2804	3187	3634	2930	2930	1650	1923	1611	1802	1859	1320	1465	1293	1306	0	0	0	0	1804	1804	0	1873	1928	2487	849
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	50014	49344	54212	68173	69069	68858	69102	70753	69704	70337	72443	73422	74484	75273	75810	84707	85397	86229	86290	87563	87611	88066	88203	88650	89494	89494	88855	88565	89079	89895	90909	90453	67510	66284	66733	67015	68390	66417	68079	68276	66759	65060	66513	66990	68006	21546
