CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	491721	455221	361472	348860	366819	289905	299764
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	84777	68752	106119	114669	87661	90661	55480
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6641	4000	8178	1928	25636	800	2000
Các khoản phải thu ngắn hạn###Short term Account Receivables	375689	367490	212563	211180	233303	187507	236520
Hàng tồn kho###Inventory	2868	1160	1632	998	840	1550	244
Tài sản ngắn hạn khác###Other Current Assets	21747	13819	32980	20085	19380	9386	5520
Tài sản dài hạn###Non-current Assets	107233	101318	102982	59890	54958	48769	54520
Các khoản phải thu dài hạn###Long term Account Receivable	18642	17528	20192	3515	4554	0	0
Tài sản cố định ###Fixed assets	76709	72074	69204	46664	39719	39871	45079
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-101756	-84095	-73698	-64703	-59705	-53136	-45843
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-7226	-6664	-6103	-6007	-6175	-6175	-6037
Lợi thế thương mại	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1130	700	0	0	320	0	0
Tài sản dài hạn khác###Other long term assets	5609	5936	8664	4837	4784	8898	9441
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	598954	556539	464454	408750	421777	338674	354284
Nợ phải trả ###Liabilities	374185	341134	268494	229749	252011	164236	167957
Nợ ngắn hạn###Short term Liabilities	374185	340347	267723	228977	249442	160587	164473
Nợ dài hạn###Long term Liabilities	0	788	770	772	2570	3650	3485
Dự phòng nghiệp vụ	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	224769	215405	195960	179001	169766	174437	186327
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	224769	215405	195960	179001	169766	174437	186327
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1802398	1512890	1238251	936302	741752	599062	457180
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	9136	6218	4081	1737
Doanh thu thuần###Net Sales	1802398	1512890	1238251	927167	735534	594980	455443
Giá vốn hàng bán###Cost of goods sold	1526372	1270889	1032885	760214	580505	480490	347732
Lợi nhuận gộp###Gross profit	276026	242002	205367	166952	155029	114491	107711
Doanh thu hoạt động tài chính###Financial activities Revenues	2132	2615	3288	2531	6048	2242	3294
Chi phí tài chính###Financial Expenses	1111	2257	784	1460	3455	2794	651
Chi phí bán hàng###Selling Expenses	23303	27610	33522	48682	55885	23322	11394
Chi phí quản lý doanh nghiệp###Managing Expenses	187715	157778	121770	82162	73432	63370	49954
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	66029	56971	52578	37179	28305	27246	49007
Thu nhập khác###Other incomes	805	1119	1244	659	807	928	32394
Chi phí khác###Other Expenses	226	291	1817	37	49	1309	17720
Lợi nhuận khác###Other profits	579	828	-573	621	758	-381	14674
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	66608	57799	52006	37800	29063	26865	63680
Chi phí thuế TNDN###Corporate Income Tax Expenses	13376	11958	11041	7712	6563	6387	21821
Chi phí thuế TNDN###Corporate Income Tax Expenses	13376	11958	11041	7712	6563	6596	21798
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	-209	23
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	53232	45841	40965	30088	22500	20478	41859
---Cac Chi So Tai Chinh---							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	39.78	41.14	0.00	0.00	0.00	0.00	0.00
