CAN DOI KE TOAN	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	163924	158221	180107	181861	217397	231409	243827	230566	209288	209971	218331	220996	235585	229782	209898	209382	231497	230781	288428	274587	281704	307054	260119	249433	227872	232827	243895	257353	237968	238350	231121	245821	247474	257414	258293	258781	237522	211177	181151	189538	202721	173547	186241	176733	205530	209177	188042	173584	172968	179229	183067	191074	150461	129553	136115	136115	150837	122326	104864	124084	124084	169963	146277	169963
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18285	6319	11665	8090	28908	28910	31180	17389	5854	6032	6302	4343	3543	1202	1116	1455	2731	4150	2378	6906	6871	4571	5957	4588	11712	11712	3941	1063	3473	4188	4188	747	444	6166	5624	5624	2463	2599	3246	19175	13975	1207	3621	5970	3199	3199	5148	3885	1722	7413	7413	2306	23552	5271	9099	9099	13187	14699	3169	6984	6984	28277	16734	28277
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	21573	23365	12342	21933	20885	34018	34219	31099	26906	26762	25256	30106	21864	25158	26559	27111	27511	30319	32453	24084	24706	41683	29507	24482	25422	32165	36536	37346	34435	43059	45425	54920	51705	54828	52510	53708	72887	66947	73624	51323	62171	61914	54058	53108	57982	59182	50218	44456	36814	34429	34634	31322	39262	40296	35150	35150	33961	32012	34374	42950	42950	71736	70068	71736
Hàng tồn kho###Inventory	113690	121057	137941	130604	148502	149378	163317	164377	162350	168409	178592	178263	194810	188146	169341	167935	186891	187448	224489	226747	233175	243971	214350	210936	181264	180172	192566	203234	187448	184378	174927	184359	186598	190914	184592	183752	150225	125621	94043	111291	113625	104898	115022	107944	133341	135788	125923	120524	129558	133032	136591	148462	75991	75944	83868	83868	92452	63479	63055	71403	71403	63376	56692	63376
Tài sản ngắn hạn khác###Other Current Assets	10376	7480	18158	21234	19103	19103	15110	17701	14178	8768	8181	8285	15367	15276	12882	12882	14364	8864	29108	16849	16952	16830	10305	9426	9474	8779	10852	15711	12612	6726	6581	5796	8727	5506	15567	15697	11947	16009	10238	7750	7750	5528	13540	9711	11008	11008	6752	4718	4874	4354	4429	8984	11656	8042	7998	7998	11237	6136	4266	2747	2747	6573	2783	6573
Tài sản dài hạn###Non-current Assets	74629	83796	88073	89942	94160	94160	99203	95567	94255	95382	93480	97961	100774	105841	110094	110094	113970	117545	101858	115688	116365	110752	108123	96476	96786	96397	92954	93803	97947	99113	99699	102335	106761	111578	117727	118243	124697	130263	127363	134960	124207	131322	133998	146651	142795	142496	142701	141552	150964	151383	151251	148813	152401	151453	143179	143179	111192	105316	100282	101857	101857	105153	109177	105153
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	65977	74051	78541	78661	80534	80534	83415	79263	81539	83010	83324	85977	88900	91691	94636	94636	97367	96876	98990	101281	101638	94297	80141	86183	88851	88462	86383	87906	92409	92835	92979	96474	101239	104837	108014	109373	115475	119803	116532	113084	114876	120348	123342	132715	129695	129695	130105	132109	143465	141998	141998	139275	143591	142449	134692	134692	104891	102380	99887	101535	101535	104867	108811	104867
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-269131	-259951	-254414	-251680	-249009	-249009	-246032	-244001	-241239	-238465	-238963	-236174	-233250	-230309	-227364	-227364	-224418	-221511	-218634	-215694	-215337	-212709	-210859	-213056	-210014	-210014	-207200	-203421	-200299	-196394	-196394	-192488	-188544	-184483	-180741	-180741	-176539	-170511	-164319	-158016	-158016	-151679	-145439	-134445	-132441	-132441	-126710	-120410	-115088	-110386	-110386	-105660	-101005	-96338	-91679	-91679	-87510	0	-79377	0	-75446	0	-67647	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	8652	9744	9532	11281	13626	13626	15789	16303	12717	12372	10156	11984	11874	14150	15351	15351	16603	18100	0	14016	14016	14535	11572	9257	7935	7935	6571	5896	5538	6133	6719	5860	5522	6741	8354	8870	9222	10460	10830	10239	9332	10974	10656	13936	13100	12801	12596	9443	7499	9386	9254	9537	8810	9005	8487	8487	6300	2936	395	322	322	286	366	286
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	238553	242017	268180	271804	311557	325570	343031	326132	303544	305353	311811	318957	336359	335623	319991	319476	345467	348326	390287	390275	398068	417807	368242	345909	324658	329224	336849	351156	335916	337463	330819	348156	354234	368993	376019	377024	362219	341440	308514	324498	326928	304869	320239	323384	348325	351673	330743	315136	323932	330613	334319	339887	302862	281006	279294	279294	262028	227642	205146	225941	225941	275116	255454	275116
Nợ phải trả ###Liabilities	261936	250873	256353	244286	267979	267159	284715	270142	248015	248674	244190	250491	269654	269288	254389	247868	256867	254867	292517	287182	287332	304088	255905	230361	208121	210067	223493	237088	227945	230538	220768	238136	251188	268040	271234	272876	258860	238247	206222	220839	218337	202320	200283	203199	228943	227465	211837	196234	201873	208416	205371	208201	175659	165884	169114	169114	154105	120825	98622	119447	119447	169869	153285	169869
