CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	806857	619081	602132	604220	588639	504419	424941	431091	431930	400139	341972	430489	339760	388196	308420	334397	432524	396745	402878	558780	501542	558126	572105	406959	404423
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	133079	1265	44555	2017	11598	14018	9724	9178	10679	5392	33702	4490	9295	9295	6688	5434	4345	8583	8567	7393	8354	8773	23098	11897	15229
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	560001	519085	474857	516857	475872	387378	311429	308477	306739	272168	183040	310200	216236	216236	149928	163442	220759	287866	144700	149150	100200	100963	100663	21584	574
Các khoản phải thu ngắn hạn###Short term Account Receivables	65175	68496	52473	55701	61381	56939	41208	34874	35546	43993	46455	36909	35573	84265	73440	86757	129243	21404	169559	324454	315473	370891	370803	21059	25471
Hàng tồn kho###Inventory	47537	29029	29004	29004	38422	45129	61862	77171	77171	77176	77185	77195	77217	77217	77213	77196	77191	77188	77188	76242	76186	76192	76192	351008	361759
Tài sản ngắn hạn khác###Other Current Assets	1065	1206	1242	640	1367	954	719	1390	1794	1409	1590	1696	1440	1184	1151	1568	986	1704	2863	1541	1329	1307	1350	1410	1389
Tài sản dài hạn###Non-current Assets	242525	243096	243584	243580	243559	244241	244846	247569	247442	247443	247971	230645	230390	230390	233831	232223	190706	248154	247810	230956	234323	239570	240010	177716	166506
Các khoản phải thu dài hạn###Long term Account Receivable	95968	95968	95994	95994	95994	96036	95968	95978	95978	95968	95968	95968	95968	95968	95968	96225	54296	167451	167106	144554	157084	163105	163105	46502	0
Tài sản cố định ###Fixed assets	63343	63906	64516	64516	65190	65778	66409	67203	67076	67727	68379	69030	69684	69684	72236	70641	72403	16821	16821	17128	17434	17746	18090	19316	20715
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-20592	-20349	-20060	-20060	-19706	-19438	-19127	-19223	-19350	-19019	-18688	-18357	-18023	-18023	-17689	-17363	-17053	-16746	-16746	-16439	-16133	-15821	-15476	-14214	-12893
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-5831	-5511	-5191	-5191	-4870	-4550	-4230	-3910	-3910	-3589	-3269	-2949	-2628	-2628	-410	-1983	-407	-407	-407	-407	-407	-407	-407	-401	-394
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	11904	11955	12006	12006	12057	12108	12159	12211	12211	12262	12313	12364	12415	12415	12466	12518	12569	12620	12620	12671	12722	12773	12824	13029	25175
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	3000	3000	3000	3000	3103	3103	3103	3103	3103	3103	3103	3103	3000	3000	3000	3000	3000	3000	3000	8300	3000	3000	3000	49150	49150
Tài sản dài hạn khác###Other long term assets	76	92	110	109	520	933	1357	1787	1787	2072	2509	2966	3423	3423	318	355	333	254	254	110	119	169	221	195	767
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1049382	862177	845717	847800	832198	748660	669788	678660	679372	647582	589943	661134	570150	618585	542251	566621	623230	644899	650687	789736	735865	797696	812115	584676	570929
Nợ phải trả ###Liabilities	582161	546568	528837	520353	513710	434003	360390	367405	367488	338072	281668	346994	252790	299292	227581	251488	308660	327653	329135	492238	438564	493175	505972	280734	267572
Nợ ngắn hạn###Short term Liabilities	582063	546470	528739	520255	513613	433818	360164	367179	367261	337845	281441	346767	252563	299065	227354	251261	308433	327469	328951	492054	438260	492871	505667	280429	266495
Nợ dài hạn###Long term Liabilities	98	98	98	98	98	185	227	227	227	227	227	227	227	227	227	227	227	185	185	185	305	304	305	305	1078
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	467222	315609	316880	327447	318488	314657	309398	311255	311884	309510	308275	314140	317360	319294	314670	315133	314570	317246	321552	297498	297301	304520	306143	303942	303357
