CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	668426	679507	763224	790093	657370	752194	694648	790083	790114	661171	615332	682438	557048	554641	601750	1117456	1039180	1122879	1128792	1066185	1033702	995034	844591	844591	696568	696568	721730	721730	714507	792249
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	30140	48001	66733	58688	39084	37784	26856	63978	62478	55274	58184	99311	74446	73446	87308	581315	233485	154618	194573	135735	174271	347364	312152	312152	320298	320298	409258	409258	406120	386957
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	327861	307160	291531	316531	265260	368760	387257	369857	371357	362557	362952	360949	248853	249850	355650	334650	353650	333571	293571	340571	300871	198616	173064	173064	152109	152109	155000	155000	151135	100000
Các khoản phải thu ngắn hạn###Short term Account Receivables	188846	167366	177458	186491	206659	168831	160388	197163	196941	108075	121710	167088	161323	158988	102979	146894	341514	524320	530141	508644	461244	402493	264112	264112	169177	161268	112360	112360	145475	62354
Hàng tồn kho###Inventory	78777	89564	155181	155801	109317	92223	101343	132583	132511	112545	53781	51979	52895	52830	53364	48134	105598	101446	101446	80122	96242	40989	88709	88709	52790	52790	38500	38500	9353	202456
Tài sản ngắn hạn khác###Other Current Assets	42802	67416	72321	72582	37049	84595	18804	26501	26827	22720	18704	3110	19530	19526	2449	6463	4933	8924	9060	1113	1075	5571	6553	6553	2194	10103	6612	6612	2424	40483
Tài sản dài hạn###Non-current Assets	74728	75928	94816	69787	67109	40309	40534	41732	40092	41492	41345	41485	153207	152081	44229	47670	55061	55923	57521	55370	49983	91045	59278	59278	55317	55317	58016	58016	58657	35874
Các khoản phải thu dài hạn###Long term Account Receivable	2954	3776	4053	4024	2421	2555	2423	2829	2077	2756	2756	1231	1226	1226	1620	1620	1799	1799	1799	1829	1829	1829	1829	1829	1858	0	0	0	0	0
Tài sản cố định ###Fixed assets	6328	5546	5340	5340	4746	3204	2594	2608	22958	23209	23030	27636	28809	28821	30066	31348	37477	37246	37246	34760	34192	35786	38106	38106	30782	30782	33513	33513	4831	6955
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-32461	-31834	-31249	-31249	-32199	-31810	-31587	-31326	-37159	-36657	-37464	-36819	-35653	-35641	-34402	-33127	-37746	-35709	-35709	-33703	-31572	-28980	-25903	-25903	-26333	-26333	-20931	-20931	-16927	-11613
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3806	-3797	-3788	-3788	-3778	-3768	-3759	-3747	-3747	-3729	-3722	-3716	-3709	-3709	-3703	-3696	-5639	-5621	-5621	-5608	-5605	-5602	-5602	-5602	-5587	-5587	-5533	-5533	-5365	-4958
