CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015
Tài sản ngắn hạn###Current Assets	61031	162593	483745	121098	138455
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18164	17364	8682	13514	10133
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	13000	0	0	10000	10000
Các khoản phải thu ngắn hạn###Short term Account Receivables	10393	49331	126631	85006	92331
Hàng tồn kho###Inventory	19473	95898	348432	10695	25982
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	1882	9
Tài sản dài hạn###Non-current Assets	41481	40903	42832	212432	111649
Các khoản phải thu dài hạn###Long term Account Receivable	8880	6553	6553	6553	6553
Tài sản cố định ###Fixed assets	8245	12445	13158	11944	12569
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4713	-5199	-4601	-4257	-3730
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-587	-791	-676	-543	-444
Lợi thế thương mại	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	24143	21402	22359	23315	24272
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	213	254	522	51	72
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	102512	203496	526577	333530	250104
Nợ phải trả ###Liabilities	31001	111684	437250	250546	172186
Nợ ngắn hạn###Short term Liabilities	27561	111458	406973	64955	140627
Nợ dài hạn###Long term Liabilities	3441	226	30277	185592	31559
Dự phòng nghiệp vụ	0	0	0	0	0
No khac	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	71511	91812	89327	82984	77918
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	71511	91812	89327	82984	77918
Lợi ích của cổ đông thiểu số	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	82804	461561	67967	26693	53257
Các khoản giảm trừ doanh thu###Deduction revenues	0	34	0	0	0
Doanh thu thuần###Net Sales	82804	461527	67967	26693	53257
Giá vốn hàng bán###Cost of goods sold	76627	426495	50933	17072	33490
Lợi nhuận gộp###Gross profit	6177	35032	17034	9620	19767
Doanh thu hoạt động tài chính###Financial activities Revenues	1274	921	3069	4131	-104
Chi phí tài chính###Financial Expenses	0	3	26	2355	4051
Chi phí bán hàng###Selling Expenses	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	5279	4878	10631	3098	4837
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2172	31073	9445	8298	10775
Thu nhập khác###Other incomes	94	53	6818	872	19
Chi phí khác###Other Expenses	409	6120	795	614	1746
Lợi nhuận khác###Other profits	-315	-6067	6023	259	-1727
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1856	25006	15469	8557	9048
Chi phí thuế TNDN###Corporate Income Tax Expenses	1786	11844	2926	1272	3804
Chi phí thuế TNDN###Corporate Income Tax Expenses	1786	11844	2926	1272	3804
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	71	13162	12542	7285	5244
---Cac Chi So Tai Chinh---					
EBITDA	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.90	7.01	7.15	0.00	0.00
