CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	364743	399673	354773	354773	322133	275320	373610	338326	338326	310363	334571	384415	324957	324957	281932	331628	432841	350255	349920	412882	334079	313510	351402	348292	296453	347552	369507	366896	366844	311073	396766	288579	288579	266082	266082	220993	216936
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	80030	127347	48575	48575	28864	46900	52335	14582	14582	55203	30758	95297	28134	28134	38720	34982	280114	17044	17044	145995	36598	11325	21260	21260	7932	20781	20113	137751	164791	87072	63323	32516	32516	15315	15315	5818	41784
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	227208	216420	238065	238065	215196	149660	214557	248500	248500	162880	217795	228105	235990	235990	185780	250438	80400	275050	275050	178750	220095	216920	272238	272238	194902	226208	230550	140700	113660	120412	213294	177420	0	212871	0	191788	154336
Các khoản phải thu ngắn hạn###Short term Account Receivables	51892	48378	63593	63593	63374	73141	98918	70711	70711	84915	81360	53127	54055	54055	49832	39641	66754	53496	53161	80129	70842	55407	52841	49731	79528	78895	89624	79732	79732	89045	112529	74532	74532	32378	32378	20815	19598
Hàng tồn kho###Inventory	3765	3368	2832	2832	3371	3412	4134	3203	3203	3463	3185	4124	3007	3007	3774	3877	3771	3426	3426	4740	4822	5741	5063	5063	4233	7900	7252	7411	7411	3696	3281	3844	3844	2352	2352	1881	1134
Tài sản ngắn hạn khác###Other Current Assets	1848	4159	1706	1706	11327	2207	3666	1330	1330	3902	1473	3763	3772	3772	3826	2690	1802	1239	1239	3269	1721	24116	0	0	9858	13768	21969	1302	1249	10847	4338	266	266	3166	3166	691	83
Tài sản dài hạn###Non-current Assets	202249	216474	230449	230449	228859	205047	168757	167107	167107	153594	159378	171190	184037	184037	173372	118853	126756	139126	139461	135623	146886	132300	167741	167741	155048	155010	148161	167851	167851	150209	86983	56697	56697	55209	55209	47120	45922
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	409	409	409	409	409	409	409	2241	2241	2241	2241	2241	2241	2241	2241	2241	2576	2576	2576	2576	2576	2576	2576	2576	2576	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	113925	122003	126046	126046	129684	138171	97629	89709	89709	69857	69704	75736	81268	81268	86444	91421	90679	97078	97078	77801	84193	90624	97185	97185	85896	86387	80047	68185	68185	63623	41062	40246	40246	36825	36825	31848	30979
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-189500	-181643	-173571	-173571	-166028	-163550	-156665	-150320	-150320	-144439	-138760	-132985	-127065	-127065	-122607	-115618	-108915	-102248	-102248	-95932	-92769	-86523	-80148	-80148	-75119	-69427	-69841	-64921	-64921	-60609	-56433	-52648	-52648	-48144	-48144	-37354	-28217
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-7633	-7412	-7191	-7191	-6969	-6748	-6534	-6337	-6337	-6165	-5908	-5650	-5401	-5401	-5938	-5730	-5530	-5330	-5330	-5147	-4961	-4776	-4590	-4590	-4416	-4242	-4084	-3926	-3926	-3763	-3598	-3268	-3268	-2754	-2754	-1763	-1283
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	65050	65050	65050	65050	65050	65050	65050	65050	65050	65050	65050	65050	65050	65050	44722	24394	24394	24394	24394	24394	24394	24394	24394	24394	24394	24394	24394	24394	24394	14520	14520	14520	14520	14520	14520	14520	14520
Tài sản dài hạn khác###Other long term assets	23274	29421	38945	38945	33718	1418	5670	11940	11940	16446	22384	28164	35479	35479	39965	798	9442	15413	15413	22704	27574	14021	42901	42901	41564	41096	41144	75272	75272	72066	31401	1931	1931	3864	3864	752	423
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	566992	616147	585222	585222	550992	480367	542367	505433	505433	463956	493949	555605	508994	508994	455304	450481	559597	489381	489381	548506	480964	445810	519143	516033	451501	502561	517668	534747	534694	461282	483749	345275	345275	321291	321291	268113	262858
Nợ phải trả ###Liabilities	68866	47809	70945	71568	83564	72433	50918	71122	71213	78360	69003	52343	69888	69888	83304	56958	56844	52807	52495	72360	67628	62892	81968	81086	72557	66882	66999	77999	78101	66588	62125	58341	58341	54924	54924	41758	22307
Nợ ngắn hạn###Short term Liabilities	61502	41055	64289	64912	77318	66502	45322	65546	65637	72823	63665	47229	64762	64762	78758	53971	53765	49970	49658	69793	65374	60936	80051	79169	70656	65418	65494	76391	76493	65086	60926	57082	57082	53935	53935	40469	21117
Nợ dài hạn###Long term Liabilities	7364	6754	6656	6656	6246	5931	5596	5576	5576	5536	5338	5114	5126	5126	4546	2987	3079	2837	2837	2567	2254	1956	1917	1917	1901	1464	1506	1608	1608	1502	1199	1259	1259	989	989	1289	1191
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	498126	568338	514277	513654	467429	407934	491449	434311	434220	385597	424946	503262	439106	439106	371999	393524	502753	436574	436886	476146	413336	382919	437175	434947	378944	435679	450669	456748	456594	394693	421624	286934	286934	266367	266367	226355	240550
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	498126	568338	514277	513654	467429	407934	491449	434311	434220	385597	424946	503262	439106	439106	371999	393524	502753	436574	436886	476146	413336	382919	437175	434947	378944	435679	450669	456748	456594	394693	421624	286934	286934	266367	266367	226355	240550
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q3 2013	 2012	 2011	 2010
