CAN DOI KE TOAN	 2019	 2018	Q1 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	29451	15808	1618929	14209	21941	20521	15042	17903	11232
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8108	2785	16045	5524	8498	4087	1183	5861	2964
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10000	4000	108	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	10550	7057	503925	8231	13124	16220	12546	10486	6466
Hàng tồn kho###Inventory	343	618	1089505	402	319	214	1313	1535	921
Tài sản ngắn hạn khác###Other Current Assets	450	1348	9347	52	0	0	0	21	881
Tài sản dài hạn###Non-current Assets	67071	73826	183573	81333	89839	96557	102253	110419	109551
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	211	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	66230	72976	174599	80418	88837	95355	102253	110419	109551
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-80545	-73654	-200959	-66012	-57527	-49199	-41496	-33330	-25372
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	-743	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	841	850	3400	915	1003	1147	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	96522	89634	1802502	95542	111781	117078	117296	128323	120783
Nợ phải trả ###Liabilities	5077	6270	1389773	5579	5960	18623	30506	37098	36697
Nợ ngắn hạn###Short term Liabilities	5077	6270	1344850	5579	5960	18623	19406	17119	17835
Nợ dài hạn###Long term Liabilities	0	0	44923	0	0	0	11100	19979	18861
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	91445	83364	412728	89963	105821	98455	86790	91225	84087
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	28603	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	91445	83364	384125	89963	105821	98455	86790	91225	84087
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	Q1 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	54987	55730	484954	63102	59822	56214	44884	44504	33684
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	54987	55730	484954	63102	59822	56214	44884	44504	33684
Giá vốn hàng bán###Cost of goods sold	22363	23261	405187	26956	22697	21404	20109	18364	12860
Lợi nhuận gộp###Gross profit	32623	32469	79766	36145	37125	34810	24775	26140	20825
Doanh thu hoạt động tài chính###Financial activities Revenues	778	549	25	254	180	103	37	74	202
Chi phí tài chính###Financial Expenses	0	0	17826	0	606	1537	2844	3864	0
Chi phí bán hàng###Selling Expenses	0	0	8957	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	4049	4439	26754	4099	3895	3562	3187	2637	2852
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	29352	28578	26256	32301	32804	29814	18781	19713	18175
Thu nhập khác###Other incomes	760	0	1	0	9	1376	0	0	33
Chi phí khác###Other Expenses	0	0	159	0	0	0	0	60	18
Lợi nhuận khác###Other profits	760	0	-158	0	9	1376	0	-60	14
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	30112	28578	26097	32301	32814	31190	18781	19653	18189
Chi phí thuế TNDN###Corporate Income Tax Expenses	1681	1528	5382	1635	1670	1585	1492	1744	699
Chi phí thuế TNDN###Corporate Income Tax Expenses	1681	1528	5382	1635	1670	1585	1492	1744	699
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	28431	27050	20715	30666	31144	29605	17290	17909	17490
---Cac Chi So Tai Chinh---									
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	32.83	32.12	33.93	29.04	0.00	0.00	0.00	0.00	0.00
