CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	3974151	4462922	3655210	3655210	3360889	3501132	3153766	3021215	2928762	2835432	2956791	3107116	2557169	2556293	2551489	2501121	2554056	2425572	2426133	1984806	3148275	2504393	2235997	2169195	1888511	1065441	1079488
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1066354	927692	778548	778548	744918	635072	989736	692439	692439	1276999	224607	35559	23441	23441	818211	8299	19889	623691	623691	617320	321379	759039	33138	33138	114832	164137	267351
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000
Các khoản phải thu ngắn hạn###Short term Account Receivables	2204189	2816612	2277896	2277896	1974930	2442256	1813933	1967016	1875438	969556	2248858	2449340	1818210	1818210	1153256	1942636	1966695	1187494	1206564	818740	2290200	1270361	1688166	1621358	1212592	486811	552600
Hàng tồn kho###Inventory	703572	715804	597827	597827	640103	423804	332070	356484	355688	588877	483326	622218	715519	714642	580022	550186	567472	601420	582912	547295	536590	474670	514661	514668	559772	400532	183797
Tài sản ngắn hạn khác###Other Current Assets	36	2814	938	938	938	0	18027	5276	5197	0	0	0	0	0	0	0	0	12966	12966	1451	106	324	31	31	1315	13962	35741
Tài sản dài hạn###Non-current Assets	8125283	8571507	9008397	9008397	9248253	9832353	10281012	10748217	10748608	11044479	11635648	12117107	12597376	12597376	13204187	13647591	14208058	14677436	14677436	15013491	15589800	16063153	16551393	16541332	18685421	20364411	19740113
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	7674146	8118426	8559733	8559733	8988183	9432363	9874477	10328252	10328252	10792977	11257736	11721161	12185910	12185910	12685814	13144972	13681260	14140437	14140437	14734518	15206807	15681999	16154100	16154100	18087410	19469444	8721215
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14409977	-13965250	-13520489	-13520489	-13075161	-12630494	-12185833	-11731433	-11731433	-11266777	-10802087	-10337823	-9873143	-9873143	-9407136	-8940511	-8471768	-8001668	-8001668	-7531361	-7055512	-6580226	-6104531	-6104531	-4206573	-2493539	-1640490
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1936	-1851	-1769	-1769	-1687	-1593	-1524	-1456	-1456	-1387	-1318	-1250	-1181	-1181	-1112	-1045	-986	-928	-928	-888	-848	-809	-769	-769	-632	-550	-475
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
Tài sản dài hạn khác###Other long term assets	207024	212558	217228	217228	211709	222299	234132	251771	251771	222789	233841	250774	267648	267648	290001	307296	318780	331828	331828	172373	180076	187609	191503	181458	593011	889967	1521978
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	12099434	13034429	12663606	12663606	12609142	13333485	13434779	13769432	13677370	13879911	14592438	15224223	15154545	15153668	15755676	16148712	16762114	17103008	17103569	16998297	18738075	18567546	18787390	18710527	20573932	21429852	20819601
Nợ phải trả ###Liabilities	5749416	6645224	6433897	6433897	6725235	7542334	7892943	8077150	7978239	8602927	9210328	9847024	9968933	9956172	10682696	11261690	11861213	12393988	12275836	12387581	13984111	13621660	13951755	13856074	15005902	15902787	15823082
Nợ ngắn hạn###Short term Liabilities	3259179	3493693	2851723	2851723	2684261	3055675	2934372	2686558	2587646	2603582	2852114	2999665	2768623	2755862	2973123	3125608	3217351	3369816	3251664	2880213	4078523	3334987	3243253	3018281	3051301	3607839	3515929
Nợ dài hạn###Long term Liabilities	2490236	3151530	3582173	3582173	4040974	4486659	4958571	5390593	5390593	5999345	6358215	6847358	7200310	7200310	7709573	8136082	8643861	9024171	9024171	9507368	9905588	10286673	10708501	10837793	11954601	12294948	12307153
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	6350018	6389205	6229710	6229710	5883908	5791151	5541836	5692282	5699131	5276984	5382110	5377199	5185612	5197496	5072980	4887022	4900901	4709020	4827733	4610716	4753963	4945886	4835635	4854453	5568029	5527065	4996518
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	6350018	6389205	6229710	6229710	5883908	5791151	5541836	5692282	5699131	5276984	5382110	5377199	5185612	5197496	5072980	4887022	4900901	4709020	4827733	4610716	4753963	4945886	4835635	4854453	5568029	5527065	4996518
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	 2013	 2012
