CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	139217	127233	120920	127179	182238	232326	134810	154700	154688	95521	111037	127670	102601	104175	129458	149469	166523	165621	165956	170036	231239	194761	113597	117961	177962	149578	196223	251842	252416	288346	215230	256402	197164	197237	218468	188494	139255	202362	202172	159299	174697	151164	144732	144825	163646	183873	163442	162975	164122	167311	175343	190664	174482	176125	216673	293233	262823	270040	271624	212089	219071	110269	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2067	11875	6554	6584	1503	2541	6127	2525	2523	6647	4708	36643	36486	36486	51896	46127	96676	94032	93909	111547	117935	44279	31065	31093	17694	26221	15682	42708	19432	8091	12324	48130	79675	12857	34625	46912	11926	92215	9025	3814	17299	4203	38590	3588	6286	11824	16536	22495	18495	3600	2919	1769	9491	9491	3223	6528	24167	8491	8491	2730	2231	4620	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7896	3608	7902	7902	7885	8782	9328	9838	9838	13394	13872	18000	18000	17190	0	16550	0	0	0	0	0	0	0	0	0	0	0	0	23143	10000	0	1500	0	66850	2000	0	61100	0	83200	18500	0	21000	0	35000	9400	18500	26100	300	4300	5780	930	5600	1400	1400	42400	1400	1400	1400	1400	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	36306	21652	29804	32717	93885	139556	32089	67017	69760	24215	25904	24135	18548	20701	14724	18325	14848	19774	20504	18260	25081	34971	29520	33854	33706	34986	20449	19503	20198	82849	29327	88875	16862	16055	28851	26820	17758	13380	13071	24627	31045	12473	13314	13348	56441	11366	17892	22105	25699	9184	11066	19233	24627	28874	15716	86189	55351	120942	120942	46511	71349	21973	34411
Hàng tồn kho###Inventory	85294	84542	72129	72072	74132	76268	81267	70115	67632	48417	62449	46918	29467	29697	61915	66312	54033	50848	50596	39495	88106	104259	52952	52499	122368	88289	146692	175766	175535	169250	154672	94877	82998	83847	136698	98078	38751	82640	82749	97467	117406	101374	83205	83205	86345	134809	94091	115452	112870	142897	155172	156401	137121	134518	150026	189878	168473	133350	134934	161105	145312	76647	0
Tài sản ngắn hạn khác###Other Current Assets	7653	5555	4530	7903	4833	5179	5999	5206	4934	2848	4104	1974	100	100	923	2154	966	966	947	733	117	11252	61	515	4194	82	13400	13865	14108	18156	18907	23020	17628	17628	16294	16684	9721	14127	14127	14891	8947	12115	9624	9685	5175	7374	8822	2622	2759	5849	5256	7661	1842	1842	5307	9237	13433	5857	5857	1743	180	7029	0
Tài sản dài hạn###Non-current Assets	11881	12268	12833	12945	13499	14028	14566	15465	15250	14583	14469	14001	14056	14056	10646	11255	11955	12706	12486	13392	13001	13630	12259	12260	12347	12589	10857	11368	11381	11174	9025	9474	9248	9248	9198	9610	9378	9962	9962	6047	6621	7164	7784	7784	13249	11808	12646	12040	12026	12803	13587	14395	15185	12461	12703	31114	21620	24863	23279	59045	59293	62597	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	76	76	76	0
Tài sản cố định ###Fixed assets	8680	9147	9674	9786	10305	10860	11415	12065	7788	8299	8811	9325	9839	9839	10356	10969	11585	12242	12242	12199	12629	11386	11964	11965	11998	12067	10575	11061	11121	10950	8861	9282	9095	9095	9034	9458	9275	5115	9827	5900	6486	7019	7628	7628	13065	11421	12168	9109	11295	11920	12587	13279	13879	10555	10797	9691	10756	14192	12576	10374	10934	13801	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-27481	-27044	-26548	-26548	-26030	-25475	-24920	-25113	-25477	-24996	-24515	-24032	-23549	-23549	-23062	-22480	-21895	-21267	-21267	-21245	-20835	-20225	-19677	-19677	-19140	-18618	-18141	-17686	-17676	-17215	-16846	-17038	-16668	-16668	-16552	-16108	-16058	-15492	-15492	-16991	-16422	-15849	-15401	-15401	-16001	-15413	-15887	-15258	-15258	-14649	-14029	-13381	-12699	-12188	0	0	-10625	-10116	-10116	-9558	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-529	-529	-529	-529	0	0	-1490	-1410	-1410	-1330	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1596	-1565	-1535	-1423	-1423	-1423	-1423	-1412	-1412	-1382	-1351	-1321	-1290	-1290	-1259	-1229	-1198	-1167	-1167	-1127	-1106	-1076	-1045	-1045	-1014	-984	-953	-923	-923	-892	-861	-831	-800	-824	-787	-715	-661	-644	-644	-627	-610	-593	-576	-576	-559	-542	-525	-508	-508	-491	-473	-454	-435	-435	0	0	-378	-360	-360	-341	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	600	19608	8885	8285	8317	46300	45640	45640	0
Tài sản dài hạn khác###Other long term assets	201	120	159	159	194	168	151	152	152	200	105	131	151	151	218	287	370	464	244	284	371	230	295	295	349	316	282	307	260	189	164	192	153	153	164	152	103	134	134	147	134	145	156	156	184	387	478	745	731	883	1000	1115	1306	1306	1305	1815	1979	2386	2309	2295	2642	3079	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	151097	139501	133753	140124	195738	246354	149376	170165	169938	110104	125506	141671	116656	118231	140104	160724	178478	178327	178442	183428	244240	208392	125857	130220	190309	162167	207080	263209	263797	299520	224254	265876	206412	206485	227666	198104	148633	212323	212133	165346	181318	158328	152516	152609	176895	195680	176088	175014	176149	180114	188930	205059	189667	188587	229375	324346	284444	294903	294903	271134	278365	172866	146161
Nợ phải trả ###Liabilities	93015	81137	70546	76910	129859	178434	81358	101915	101663	37136	51392	54484	33447	35465	61460	86157	101884	85519	86030	95538	161565	143812	71758	76075	131383	92086	131838	178831	179133	212878	139297	185159	122492	122493	147505	122977	68213	135001	134817	92999	109445	77259	72806	72815	99939	108191	83330	89929	91272	99555	108009	119931	105260	104828	149919	245435	242920	240004	240004	187958	201832	98942	9839
Nợ ngắn hạn###Short term Liabilities	93015	81137	70546	76910	129859	178434	81358	101915	101663	37136	51392	54484	33447	35465	61460	86157	101884	85519	86030	95538	161565	143812	71758	76075	131383	92086	131838	178831	179133	212878	139297	185159	122492	122493	147505	122977	68213	135001	134709	92892	109337	77151	72699	72707	99275	107527	82666	89127	90480	98764	107217	119150	103882	103449	148562	244079	241564	238050	238050	186536	199987	96426	9832
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	108	108	108	108	108	664	664	664	802	792	792	792	781	1378	1378	1356	1356	1356	1954	1954	1422	1845	2517	7
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	58082	58363	63207	63214	65879	67920	68018	68249	68274	72969	74114	87186	83210	82765	78644	74567	76594	92808	92412	87890	82675	64580	54099	54145	58926	70081	75242	84379	84663	86642	84957	80717	83920	83993	80161	75127	80420	77323	77316	72347	71873	81070	79710	79794	76956	87490	92758	85085	84877	80559	80921	85129	84406	83759	79456	78911	41524	54898	54898	83176	76533	73923	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	523	537	584	591	591	965	1014	154	0
Vốn chủ sở hữu ###Owners equity	58082	58363	63207	63214	65879	67920	68018	68249	68274	72969	74114	87186	83210	82765	78644	74567	76594	92808	92412	87890	82675	64580	54099	54145	58926	70081	75242	84379	84663	86642	84957	80717	83920	83993	80161	75127	80420	77323	77316	72347	71873	81070	79710	79794	76956	87490	92758	85085	84877	80559	80921	85129	84406	83259	78933	78374	40939	54307	54307	82212	0	73769	53168
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224254	265876	206412	206485	227666	198104	148633	212323	212133	165346	181318	0	152609	152609	176895	195680	176088	175014	176149	180114	188930	205059	189667	188587	229375	324346	284444	294903	294903	271134	278365	172866	146161



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	86872	61713	543855	94104	171150	204173	74428	346520	94027	60333	111642	80517	306495	66040	74208	70911	95336	488548	98920	124234	144644	120751	492473	130827	104897	145114	111635	539868	152649	109223	129208	148788	440793	155385	140743	65472	79192	407075	163713	83692	109188	51545	333052	90188	74277	54911	113676	350851	108381	71998	103546	66926	480359	63085	105517	223478	88278	679203	219040	126789	333374	408245	325461
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	86872	61713	543855	94104	171150	204173	74428	346520	94027	60333	111642	80517	306495	66040	74208	70911	95336	488548	98920	124234	144644	120751	492473	130827	104897	145114	111635	539868	152649	109223	129208	148788	440793	155385	140743	65472	79192	407075	163713	83692	109188	50482	333052	90188	74277	54911	113676	350851	108381	71998	103546	66926	480359	63085	105517	223478	88278	679203	219040	126789	333374	408245	325461
Giá vốn hàng bán###Cost of goods sold	87012	59699	534271	93699	169321	200265	71188	331585	93046	58244	106522	73799	273437	56346	65490	69692	81678	424127	88600	111545	118081	106183	496004	131952	110931	144407	109166	500048	147226	100993	117247	134996	407968	145366	130038	58137	73578	384423	154275	80911	102455	46522	296794	81255	70547	45802	99190	315127	99284	64556	89587	61526	461084	48184	97788	218671	96526	610414	212120	107552	290773	370594	307101
