CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	195645	193355	295079	295039	248063	195445	175825	236804	236320	229251	196196	174317	301611	301652	220675	241237	230962	168364	99425
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	48435	29943	59166	59166	1061	26040	5143	73492	73492	236	64408	14645	104352	104413	30111	58990	38884	34496	58951
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	141537	148119	221308	221268	231971	162077	164676	161986	161502	225959	129795	150664	189359	189359	182058	172966	184288	124567	33636
Hàng tồn kho###Inventory	3471	14110	14210	14210	13997	976	1025	953	953	950	984	984	899	899	661	683	676	414	186
Tài sản ngắn hạn khác###Other Current Assets	2201	1182	395	395	1034	6352	4981	372	372	2105	1009	8024	7002	6982	7845	8599	7114	8888	6652
Tài sản dài hạn###Non-current Assets	1458856	1496305	1513381	1513381	1535464	1553163	1569898	1585167	1585167	1599397	1616557	1618736	1634371	1634371	1643244	1659829	1694256	1760311	1823539
Các khoản phải thu dài hạn###Long term Account Receivable	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54
Tài sản cố định ###Fixed assets	1372037	1409290	1425816	1425816	1442857	1459914	1476544	1493597	1493597	1510650	1527663	1519928	1536639	1536639	1547778	1564343	1597890	1664188	1730812
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-469987	-422379	-406068	-406068	-389031	-371978	-354923	-337874	-337874	-320825	-303776	-286768	-269836	-269836	-252956	-236229	-202509	-135127	-68040
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-98	-94	-90	-90	-87	-83	-79	-75	-75	-72	-68	-64	-60	-60	-57	-53	-45	-30	-15
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	84454	84650	85200	85200	85702	86245	86139	86631	86631	86846	87303	87570	86340	86340	85987	86323	87203	90996	92673
