CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	863367	862255	912797	915337	891882	842751	777303	741767	740624	702325	835970	883677	859480	869968	841766	850191	889465	827990	897859	847151	1066507
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	90502	90459	98106	107853	116959	126754	99704	109360	94215	89492	130706	141600	145292	150028	144049	152836	194477	142056	140286	127356	111088
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	155963	168663	176663	166663	183200	153650	164774	144558	160724	138701	149178	153671	141995	149995	161061	161061	168748	196931	255743	240465	263193
Các khoản phải thu ngắn hạn###Short term Account Receivables	326133	305394	328727	329524	308140	299883	272861	258122	257468	262048	287610	301536	283975	275290	277499	295812	284816	254830	272222	278505	301498
Hàng tồn kho###Inventory	260715	265452	283394	282962	259838	240780	218059	210648	209942	193619	245093	265202	266022	271697	237726	219793	222713	219816	215227	183078	268802
Tài sản ngắn hạn khác###Other Current Assets	30054	32286	25907	28334	23745	21684	21905	19080	18275	18465	23383	21668	22195	22958	21430	20689	18711	14357	14381	17747	121926
Tài sản dài hạn###Non-current Assets	289351	293569	295937	298535	298568	300270	306495	317669	316723	318494	323549	323534	313198	300989	262247	227728	214817	214984	193503	209862	212758
Các khoản phải thu dài hạn###Long term Account Receivable	1262	448	448	448	448	448	421	1721	421	396	465	383	388	388	570	374	374	374	233	1022	0
Tài sản cố định ###Fixed assets	144995	146898	150009	149993	151562	166103	168847	171057	170433	173305	185441	186625	175905	175905	77666	78178	79077	80361	87951	109984	136108
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-131865	-130405	-126680	-126698	-124762	-121646	-118558	-115589	-115678	-113687	-144312	-141500	-137009	-137009	-132642	-130708	-126934	-124106	-119121	-106773	-127064
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-8952	-8791	-8522	-8522	-8503	-8351	-8199	-8063	-8060	-7985	-11860	-11746	-11621	-11621	-11518	-11352	-11142	-11018	-10672	-9855	-8988
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	111949	112625	110974	113363	112178	109954	112851	119427	120713	119123	109878	108358	109343	98170	78210	72674	71905	72363	75121	63389	63191
Tài sản dài hạn khác###Other long term assets	27942	30434	32679	32904	33223	22608	22999	24355	24048	24564	26824	27228	27250	26214	25864	24374	26884	29383	27949	29353	13458
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1152717	1155824	1208735	1213872	1190450	1143021	1083798	1059436	1057347	1020819	1159519	1207211	1172678	1170957	1104012	1077920	1104282	1042973	1091361	1057014	1279264
Nợ phải trả ###Liabilities	673986	676499	733276	735593	724021	666703	625643	603696	599456	569780	691667	731803	700215	693510	630693	613766	649804	593868	621005	603953	854345
Nợ ngắn hạn###Short term Liabilities	653048	654966	712818	694969	683424	625467	584281	562251	558569	528385	649019	689473	655594	648890	606317	589807	626351	570543	618467	590924	831385
Nợ dài hạn###Long term Liabilities	20938	21532	20458	40625	40597	41236	41362	41444	40887	41395	42648	42330	44621	44621	24375	23959	23454	23325	2537	13028	22960
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	478731	479326	475458	478279	466429	476318	458155	455740	457891	451039	467852	475408	472463	477447	473319	464154	454478	449105	470357	453061	333538
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	49	49	49	49	34	34	34	34	34	34	34	17	17	17	221	-195	-195	-195	-190	-186	-38
Vốn chủ sở hữu ###Owners equity	478682	479277	475409	478230	466395	476283	458121	455706	457857	451005	467818	475390	472446	477430	473098	464349	454672	449300	470546	453247	333576
Lợi ích của cổ đông thiểu số	49	0	0	49	34	34	0	34	34	0	0	0	0	0	0	0	0	-212	-212	0	91382
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	213343	176741	812503	282383	185905	156027	187609	885625	203566	164059	235367	282772	972425	266383	209442	248693	247906	901725	855915	1086597	1015629
Các khoản giảm trừ doanh thu###Deduction revenues	550	0	7	0	0	7	0	83	52	30	0	0	621	369	0	122	130	1639	430	520	41
Doanh thu thuần###Net Sales	212793	176741	812496	282383	185905	156021	187609	885543	203513	164029	235367	282772	971803	266014	209442	248571	247777	900086	855485	1086077	1015588
Giá vốn hàng bán###Cost of goods sold	177575	152181	678096	240429	159961	130666	151793	732814	165657	135168	199712	233444	812974	225097	171608	205598	208419	753025	705897	909922	848925
Lợi nhuận gộp###Gross profit	35218	24560	134400	41954	25944	25355	35816	152728	37857	28861	35655	49327	158829	40917	37834	42973	39357	147061	149588	176155	166663
Doanh thu hoạt động tài chính###Financial activities Revenues	5387	2700	33168	3269	4359	19298	3839	18664	1919	4609	8653	2128	16171	-4606	15197	1798	3317	22638	27208	28458	38004
Chi phí tài chính###Financial Expenses	348	412	1824	679	449	406	324	3620	1949	523	826	323	2678	2508	260	-266	175	8616	939	-1798	800
Chi phí bán hàng###Selling Expenses	2	12	359	44	65	151	99	578	202	160	114	102	788	189	267	177	154	711	4589	8466	4643
Chi phí quản lý doanh nghiệp###Managing Expenses	24671	20924	102615	28464	21664	21429	25150	107242	20067	21034	28892	35763	131644	39436	31478	30052	32446	113959	115669	134340	142157
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	18658	7564	55485	17221	10899	11928	15965	64357	19530	15745	10781	16755	51548	-4455	26936	15961	12952	54986	60479	64236	57066
Thu nhập khác###Other incomes	615	89	8070	3409	4257	227	178	5931	2156	396	805	120	8436	5406	1494	1070	597	7369	4955	9742	21927
Chi phí khác###Other Expenses	2685	1880	9688	3865	4546	336	940	13876	8145	3702	1076	1148	5130	2248	1178	1041	390	4852	1388	4499	11408
Lợi nhuận khác###Other profits	-2070	-1791	-1618	-457	-290	-109	-763	-7944	-5990	-3306	-271	-1028	3306	3158	316	29	207	2517	3568	5243	10519
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	16588	5772	53867	16764	10610	11819	15203	56413	13540	12439	10510	15727	54854	-1297	27252	15990	13160	57504	64047	69479	67585
Chi phí thuế TNDN###Corporate Income Tax Expenses	3854	1312	9623	4275	1593	1187	2668	11501	4052	2375	1811	2846	8061	962	2254	2975	1767	9218	12429	15583	16486
Chi phí thuế TNDN###Corporate Income Tax Expenses	3854	1312	9623	4275	1593	1187	2668	11501	4052	2375	1811	2846	8061	962	2254	2975	1767	9218	12429	15583	16486
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
