CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	410508	357286	367344	365364	358337	397367	456192	410398	410398	404158	460581	507052	457624	457058	426780	404960	446502	420409	420589	604344	472824	490845	411324	410555	369506	371545	327794	292334	289596	301685	228954	329975	303748	306408	288649	281350	275279	260613	258313	303326	329901	397499	347131	347131	257058	246384	229553	232260	232260	138312	94879
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	32890	40816	53229	53229	54629	113067	100744	24902	24902	87135	125324	77822	87553	87553	111537	120643	88718	119548	119554	72507	83967	88385	70788	69288	75802	38966	32044	36446	36446	88969	131469	38853	49175	49175	165882	182984	187961	123850	123850	103818	48305	58006	167693	167693	161786	116819	90194	75118	75118	111974	72377
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	197000	160970	153970	153970	163500	160000	160000	185000	185000	165000	220000	230000	230000	230000	220000	180000	250000	205000	205000	250000	240000	220000	210000	211500	161500	210000	196500	176500	176500	106500	40750	165750	155000	155000	5000	5000	5000	75000	75000	65000	123000	123000	5000	5000	0	45000	65000	85000	85000	0	4929
Các khoản phải thu ngắn hạn###Short term Account Receivables	133940	100558	98996	96082	106035	92589	154341	149010	149010	123396	97440	182345	119526	119118	83393	91331	98478	82570	82745	275928	136772	167544	112212	111443	110309	105616	77888	55615	52886	84671	29141	97165	81351	84011	81852	80815	70371	38743	38127	106396	123728	191641	153939	153939	75186	59369	53403	50541	50541	19878	3046
Hàng tồn kho###Inventory	10389	15377	17159	17159	18190	12029	17759	24298	24298	19080	10746	6050	12068	11545	4248	5561	6388	11550	11550	4753	8532	11766	15601	15601	17951	14957	18334	19616	19616	16488	21328	23435	15075	15075	14995	8658	8803	18764	17269	22571	30103	19922	19281	19281	16942	20994	17810	19552	19552	5822	6917
Tài sản ngắn hạn khác###Other Current Assets	36289	39565	43990	44924	15983	19682	23348	27187	27187	9547	7071	10835	8477	8841	7603	7425	2917	1740	1740	1156	3553	3150	2723	2723	3943	2006	3028	4158	4149	5058	6266	4771	3147	3147	20920	3893	3144	4256	4067	5541	4765	4929	1218	1218	3144	4201	3146	2048	2048	638	7610
Tài sản dài hạn###Non-current Assets	509371	521883	535173	535173	525999	264822	276762	280338	280338	265403	47375	56745	53917	57843	66925	66909	67929	72684	72684	86290	237811	242476	255745	255745	280554	292335	300746	315462	315462	350160	372593	387389	397699	397682	411862	242437	252907	254502	252641	249769	250694	262207	276546	276546	276105	285876	299347	306880	306880	104600	119564
Các khoản phải thu dài hạn###Long term Account Receivable	1071	1071	1071	1071	1030	1030	1030	1030	1030	1010	1147	1147	1147	1147	1147	1147	1147	1147	1147	931	1643	1632	1632	1632	1632	1632	1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	507524	520812	534102	534102	256046	263791	271545	279308	279308	43163	46228	49429	52638	52638	57354	62083	66782	71537	71537	70246	219689	230446	242031	242031	253364	265051	276802	288579	288579	302722	316929	330751	344866	344866	358432	183478	198208	202518	204383	219737	222819	231691	241873	241873	253935	262152	272872	282224	282294	101082	112181
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-302204	-288915	-275625	-275625	-264923	-257177	-249425	-241674	-241674	-233895	-230811	-228152	-224889	-224889	-220938	-216223	-211487	-206746	-206746	-202137	-333013	-322129	-310459	-310459	-298794	-287107	-275356	-263579	-263579	-249291	-235052	-220813	-206585	-206585	-192840	-182201	-171660	-161376	-161376	-151084	-140820	-130618	-120445	-120445	-110266	-100084	-89295	-79723	-79723	-32062	-15702
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-436	-436	-436	-436	-436	-436	-434	-422	-422	-410	-396	-382	-367	-367	-353	-338	-324	-309	-309	-295	-281	-268	-265	-265	-262	-262	-262	-262	-262	-262	-262	-262	-262	-262	-252	-241	-231	-217	-217	-195	-173	-152	-130	-130	-108	-86	-64	-42	-42	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	355	532	0	710	887	1065	1242	0	1420	1597	1597	1775	2130	1952	2130	2307	2485	2840	2840	3195	3195	3549	3549	3549	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	0	0	0	0	0	0	0	73	131	131	184	184	0	0	0	0	11427	9546	12081	12081	25295	25296	21779	26173	26173	46550	49567	55395	51414	51397	51833	58959	52747	49854	46129	27725	25390	27853	31833	31833	18976	20529	22925	21037	21037	3519	7384
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	919879	879169	902517	900538	884335	662189	732954	690736	690736	669561	507957	563797	511541	514901	493682	471870	514431	493093	493273	690634	710635	733321	667069	666300	650060	663880	628540	607797	605059	651845	601547	717364	701447	704090	700511	525562	528186	515114	510954	553095	580595	659706	623677	623677	533163	532260	528899	539140	539140	242912	214443
Nợ phải trả ###Liabilities	442945	413784	450320	448289	448647	300435	317467	287126	286887	281420	133292	162804	123905	127954	122391	110869	124156	116208	116479	320246	267718	269626	219653	219259	209075	243646	192426	178025	176422	228494	191735	267669	267284	270081	280284	144824	121293	120394	116195	170886	213816	259600	236656	236656	160579	169491	145688	167776	167776	24406	13453
Nợ ngắn hạn###Short term Liabilities	214602	172805	204045	202013	191693	182436	187099	157937	157697	119036	128789	153287	117560	126631	113948	104095	119586	113006	113730	306100	210933	219053	162925	163475	139618	166821	107355	83076	81473	124081	72968	135525	127754	130550	113341	100409	77361	69397	59035	113583	149223	192207	161973	161973	70942	79854	55565	72350	72350	24285	13453
