CAN DOI KE TOAN	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q1 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	62357	62472	62472	62584	62606	62830	72778	85478	57105	213882	220350	220193	227844	240499	262659	245250	196167	191428	84046	91452	271636	84575	81347	29064	66316	69661	62681	62681	56544	51515	40555	33901	8740	2379
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	91	55	55	28	68	69	257	257	993	119	69	171	171	5480	489	3974	285	295	371	470	82673	774	774	902	3419	1314	397	397	703	1064	88	521	244	284
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	15200	20810	24049	0	0	0	9997	33300	7360	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	61149	61299	61299	61439	61396	61671	71241	81416	52088	209614	210180	209455	215003	221856	239652	231054	185893	92331	78036	86319	83583	78444	75887	25000	3073	10928	9683	9683	20617	38929	27552	0	1050	334
Hàng tồn kho###Inventory	1102	1102	1102	1102	1121	1067	1236	3761	3949	4067	10007	10411	12514	12946	21408	10038	9771	8455	5606	4602	5248	5248	4536	3122	44379	36516	28474	28474	21708	6319	1584	80	80	521
Tài sản ngắn hạn khác###Other Current Assets	15	15	15	15	22	23	43	43	75	82	94	155	155	217	1110	184	218	90347	33	61	131	108	151	39	245	93	78	78	6	68	1334	0	6	80
Tài sản dài hạn###Non-current Assets	259325	259325	259325	259325	259325	259325	259325	260664	260664	180664	182003	182003	183340	183342	183342	184681	154681	156163	286163	286092	155575	255575	256287	136287	147681	151907	156334	156334	161733	169420	170151	0	331	368
Các khoản phải thu dài hạn###Long term Account Receivable	210000	210000	210000	210000	210000	210000	210000	0	0	130000	130000	130000	0	0	130000	91000	100000	0	0	130000	0	100000	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	29325	29325	29325	29325	29325	29325	29325	30664	30664	30664	32003	32003	33342	33342	33342	34681	34681	36020	36020	36020	35432	35432	36055	36055	106568	109743	114042	114042	119271	126899	127630	0	331	368
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14694	-14694	-14694	-14694	-14694	-14694	-14694	-13355	-13355	-13355	-12016	-12016	-10677	-10677	-10677	-9338	-9338	-7999	-7999	-7999	-6707	-6707	-6085	-6085	-30399	-27224	-22925	-22925	-17701	-10429	-8124	0	-38	-1
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-1	-1	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	47	0	47	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
