CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	 2010
Tài sản ngắn hạn###Current Assets	803572	782232	904736	903520	746131	573874	548272	608973	608220	596100	521594	553556	553886	282647	316750	330109	513260	514668	510448	381949	466861	474701	474544	411832	511032	511032	358777	358777	224584	224584	208577	208577	229563
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	24227	35731	21787	20402	85629	15089	29248	20480	22980	36358	31672	7029	7029	84617	128599	155060	271267	271266	337904	222324	306553	228008	227937	258936	319868	319868	176879	176879	57785	57785	14437	14437	16029
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	2500	2500	2500	0	0	0	49000	49000	0	3800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
Các khoản phải thu ngắn hạn###Short term Account Receivables	603131	587791	773410	774424	576518	416695	387210	454894	454780	419934	406366	378095	378090	113433	88361	75778	95976	97390	82330	59143	62387	69048	67718	64012	84217	84217	36520	36520	57173	57173	72527	72527	102849
Hàng tồn kho###Inventory	139348	120322	98263	98263	66432	110513	96737	110732	110732	122176	59965	104130	104210	76022	89040	95128	140733	140603	86889	92485	90099	164904	164939	82986	99664	99664	136997	136997	105864	105864	118018	118018	108280
Tài sản ngắn hạn khác###Other Current Assets	36867	38389	11276	10430	17552	29077	32577	20366	19727	17633	23591	15301	15557	8575	6950	4143	5283	5409	3324	7997	7822	12741	13949	5898	7283	7283	8382	8382	3762	3762	3595	3595	2247
Tài sản dài hạn###Non-current Assets	853340	833057	522311	523142	512581	458835	469769	462245	462245	410080	318003	331831	327253	357055	271065	196135	193348	193324	195842	199386	187050	200185	200260	139182	150072	150072	141599	141599	155014	155014	171832	171832	195635
Các khoản phải thu dài hạn###Long term Account Receivable	12791	12291	12291	12291	12291	12319	11961	11933	11933	12051	11933	10002	10002	10012	10002	10002	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	1846
Tài sản cố định ###Fixed assets	230275	237087	157471	157471	156089	159679	156489	156826	224068	120783	138957	136844	136844	138545	137212	142478	148505	148520	152127	155415	71627	83401	83401	83223	102565	102256	137850	135461	150774	150774	166382	166382	186109
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-222296	-219322	-229771	-229771	-254228	-248439	-250621	-246120	-246120	-252011	-252683	-249102	-249102	-242484	-237815	-199620	-192739	-192739	-188011	-183090	-181483	-172532	-172532	-164516	-152477	-152477	-115634	-115634	-93218	-93218	-82535	-82535	-68992
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-6430	-5647	-5247	-5247	-4464	-3685	-3060	-2435	-2435	-1810	-2300	0	0	0	0	-31967	-31014	-31014	-30475	-28992	-28275	-25451	-25451	-31968	-25684	-25684	-40621	-40621	-39328	-39328	-29074	-29074	-19151
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	49000	49000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000
Tài sản dài hạn khác###Other long term assets	177462	240239	228701	229533	227585	228742	233662	226243	226243	231219	124573	143223	142968	137989	74770	43655	44827	44802	43714	43955	44152	45700	45778	46096	47507	47507	3749	3749	2687	2687	3890	3890	5071
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1656911	1615290	1427047	1426662	1258712	1032709	1018041	1071218	1071130	1006181	839597	885386	881139	639702	587815	526244	706608	707992	706290	581335	653911	674886	674804	551014	661103	661103	500377	500377	379598	379598	380409	380409	425198
Nợ phải trả ###Liabilities	1200024	1257666	1070206	1069454	988174	769460	760877	819016	818951	754697	581686	584196	579265	347624	290050	237437	424251	425646	432299	315879	375287	402397	402401	290047	398113	398113	337655	337655	233107	233107	267652	267652	325852
Nợ ngắn hạn###Short term Liabilities	618148	778322	589398	743807	679496	469548	441753	501507	476291	464963	512993	549433	544503	334532	277233	219517	408803	410227	413831	297188	353871	380938	380942	266566	375010	375010	307928	307928	197398	197398	197383	197383	232771
Nợ dài hạn###Long term Liabilities	581875	479344	480808	325648	308678	299912	319124	317508	342660	289734	68694	34763	34763	13092	12817	17920	15448	15418	18468	18691	21416	21459	21459	23480	23104	23104	29727	29727	35708	35708	70269	70269	93082
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	456888	357624	356841	357207	270537	263249	257164	252202	252179	251483	257910	301191	301874	292078	297765	288808	282357	282347	273991	265456	278625	272488	272403	260967	262990	262990	162722	162722	146491	146491	112758	112758	99346
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	456888	357624	356841	357207	270537	263249	257164	252202	252179	251483	257910	301191	301874	292078	297765	288808	282357	282347	273991	265456	278625	272488	272403	260967	262990	262990	162722	162722	146491	146491	112758	112758	99346
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q2 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	295939	345322	1852365	586401	623861	299282	346862	1792657	545131	517095	325956	406680	1455889	412951	416121	262605	357972	1436624	385281	411792	257120	389113	1277489	351788	372339	242928	357628	1242408	197336	1113033	962522	1090747	1041164
Các khoản giảm trừ doanh thu###Deduction revenues	20072	29321	112883	38490	33332	28202	39339	131849	61615	16460	31046	23498	59848	22123	12181	1939	17144	81360	15703	32426	11876	20720	74791	17108	24283	17105	16295	57518	6094	29148	13253	9781	2832
Doanh thu thuần###Net Sales	275867	316001	1739482	547911	590529	271080	307523	1660808	483516	500635	294911	383182	1396041	390828	403940	260665	340828	1355265	369578	379366	245244	363181	1202698	334679	348056	225823	341332	1184890	191242	1083885	949269	1080965	1038333
Giá vốn hàng bán###Cost of goods sold	203295	234917	1340528	429775	455927	191962	240435	1291873	395521	376836	213422	306509	1063380	306143	274959	208027	274171	1050597	296723	265918	196949	291558	960266	252692	265155	175485	269156	928351	154822	860401	760516	900574	873832
Lợi nhuận gộp###Gross profit	72572	81085	398954	118136	134602	79118	67089	368935	87995	123799	81488	76674	332662	84685	128981	52638	66657	304668	72856	113448	48295	71623	242433	81987	82901	50338	72176	256540	36421	223484	188753	180392	164500
Doanh thu hoạt động tài chính###Financial activities Revenues	75	472	611	1188	155	141	128	2705	301	1071	447	1035	4835	423	711	1491	2036	8694	7271	41	970	492	16452	3044	5294	6070	1964	7028	1580	6496	1465	1332	1699
Chi phí tài chính###Financial Expenses	9570	8007	39369	18428	10210	7051	4255	39197	14699	10548	8426	5723	8108	2425	1393	937	3179	11770	2796	2006	2625	4255	12765	2625	2257	3290	4476	15366	2091	13372	15191	24694	31389
Chi phí bán hàng###Selling Expenses	50559	55514	270315	65674	98851	56325	49464	245961	61632	73794	54848	56707	231129	60965	86483	34791	48513	217988	54352	88149	27769	51851	173712	65348	65441	38498	49712	187540	27588	153843	120363	104167	82256
Chi phí quản lý doanh nghiệp###Managing Expenses	9777	11155	51449	18571	16980	8587	7285	38655	13674	9634	7229	8200	35869	9623	10815	7068	9096	42707	12629	12544	8029	8499	38494	12462	9233	8610	7906	32712	5732	33065	26330	23902	27673
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2741	6881	38432	16651	8717	7295	6213	47827	-1709	30894	11432	7079	62390	12095	31001	11333	7906	40896	10350	10790	10841	7510	33915	4597	11263	6009	12045	27949	2590	29700	28334	28961	24882
Thu nhập khác###Other incomes	300	333	14416	10088	448	3374	519	4252	3404	522	-17355	18365	1146	319	386	171	271	848	388	99	155	205	1098	418	219	492	731	40087	855	1106	1795	1024	1349
Chi phí khác###Other Expenses	741	6204	844	686	54	-348	530	116	710	2	-17519	17525	621	11	270	12	329	2607	774	221	176	45	2000	1155	451	1148	2	35329	1378	991	1027	1639	416
Lợi nhuận khác###Other profits	-441	-5870	13572	9402	393	3723	-11	4136	2694	520	164	840	525	308	116	160	-58	-1760	-386	-121	-21	160	-902	-737	-232	-656	729	4758	-523	115	768	-615	934
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2299	1011	52004	26053	9110	11018	6202	51963	985	31414	11596	7919	62915	12403	31117	11493	7848	39137	9965	10668	10820	7671	33013	3860	11032	5354	12774	32706	2067	29815	29102	28346	25816
Chi phí thuế TNDN###Corporate Income Tax Expenses	460	202	11158	5745	1822	2364	1240	10598	289	6283	2413	1586	13582	2607	6304	2535	1397	7485	1609	2134	2206	1534	7363	1010	2427	1178	2810	7461	455	7600	7332	7140	3263
Chi phí thuế TNDN###Corporate Income Tax Expenses	460	202	11158	5745	1822	2364	1240	10598	289	6283	2413	1586	13582	2607	6304	2535	1397	7485	1609	2134	2206	1534	7363	1010	2427	1178	2810	7461	455	7600	7332	7128	3275
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	-12
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1839	809	40846	20307	7288	8654	4962	41365	695	25131	9182	6333	49334	9796	24813	8957	6451	31651	8356	8535	8614	6136	25649	2850	8605	4176	9964	25245	1612	22215	21770	21206	22552
---Cac Chi So Tai Chinh---																																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	23.00	27.90	39.90	39.90	39.90	58.00	125.40	63.40	63.40	55.50	56.39	33.79	39.10	39.10	49.24	29.52	23.18	18.39	18.39	15.63	15.45	9.36	9.10	9.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
