CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012
Tài sản ngắn hạn###Current Assets	2101246	1793960	2287554	2306641	1941470	2037464	1734590	2118333	2122916	1563637	1360990	1298056	1501889	1503219	1386711	1221116	1083417	1218476	1219276	1215405	1190159	1232859	1171265	1170848	1144371	1454087	1263254	1207162	1207162	889596	889596	771548
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	266466	91485	131057	131040	69152	60308	97315	71264	71264	39113	107951	25151	34097	34097	50240	42682	23274	32823	32823	167655	16092	20672	31669	31669	124016	43385	125282	68267	68267	151492	151492	20766
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4900	4900	4900	4900	4900	4900	4900	4900	4900	4900	4900	4900	4900	4900	4900
Các khoản phải thu ngắn hạn###Short term Account Receivables	714469	786426	584638	570090	941523	880980	622377	600826	601220	761275	485342	582008	482229	481976	640003	442304	426201	360886	361686	442673	407239	417606	348988	348674	379299	655718	368510	314510	307994	280020	280020	219885
Hàng tồn kho###Inventory	1028064	835895	1453646	1484433	838606	978995	901366	1314175	1313695	668012	666402	597005	883035	879135	597611	641280	535978	714276	714276	496977	645915	664206	669576	669576	527485	662552	657079	731943	731943	385816	385816	462940
Tài sản ngắn hạn khác###Other Current Assets	92246	80154	118213	121078	92189	117181	113532	132067	136737	95237	101295	93892	102527	108012	98857	94850	97964	105592	105592	103200	116013	125475	116133	116030	108672	87532	107483	87543	94059	67368	67368	63058
Tài sản dài hạn###Non-current Assets	123218	115652	117501	112378	104893	110705	104484	105004	98922	97847	98957	98604	92060	93386	93052	94418	86594	87736	87736	88861	86697	87694	84243	84243	85103	84538	84792	85559	85559	86949	86949	84449
Các khoản phải thu dài hạn###Long term Account Receivable	4163	4378	4244	4206	4546	4540	4595	4405	4120	3947	5914	5447	2340	2340	2384	2384	2324	2324	2324	2324	2324	2324	2324	2324	0	0	1705	1705	0	0	0	0
Tài sản cố định ###Fixed assets	83002	80304	81415	81680	82459	83227	83430	84395	84395	84350	83779	83916	83693	83693	83668	84817	83673	84786	84786	85901	83757	84745	81295	81295	81984	81786	82574	83374	83374	80097	80097	77325
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-30060	-28845	-27804	-33219	-32187	-30487	-30128	-28481	-29136	-27955	-26140	-25770	-24730	-24730	-25324	-24223	-21040	-19975	-19975	-20661	-19681	-18742	-17917	-17917	-17154	-16409	-15699	-14975	-14975	-12327	-12327	-9216
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3123	-2979	-2829	-2975	-2733	-2529	-2406	-2232	-2258	-2124	-2008	-1934	-1859	-1885	-1837	-1763	-1714	-1666	-1666	-1618	-1570	-1522	-1474	-1474	-1396	-1319	-1241	-1164	-1164	-858	-858	-552
Lợi thế thương mại	4027	3208	0	0	5565	0	5709	4890	4890	5034	5178	5321	5465	5470	6472	6638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	6850	7281	6126	6665	8104	6922	5498	4143	3553	3507	3019	3002	0	355	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	5100	5100	5100
Tài sản dài hạn khác###Other long term assets	29204	23689	25717	19826	9784	16017	10961	12062	6854	6044	6245	6240	6026	6997	7000	7217	598	626	626	636	616	625	624	624	2719	2752	514	480	2185	1752	1752	2024
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2224464	1909612	2405055	2419018	2046363	2148169	1839075	2223336	2221838	1661484	1459947	1396660	1593949	1596605	1479763	1315534	1170011	1306212	1307013	1304265	1276856	1320553	1255508	1255092	1229474	1538624	1348046	1292722	1292722	976544	976544	855997
Nợ phải trả ###Liabilities	1194495	939564	1480207	1496430	1155874	1311146	1032132	1456857	1455680	927072	760453	687724	904514	907102	815992	678902	531846	676633	676721	685444	681805	737027	646964	645990	638977	950379	818537	957962	957962	726494	726494	559508
Nợ ngắn hạn###Short term Liabilities	1190137	935036	1475740	1491971	1151385	1306647	1027142	1451893	1450729	922228	757352	685075	901914	903894	812383	675443	528258	672580	672668	681423	657382	709143	619269	622330	609716	923918	789276	928032	928032	692100	692100	519735
Nợ dài hạn###Long term Liabilities	4359	4529	4466	4459	4489	4499	4991	4963	4951	4844	3100	2649	2600	3208	3608	3458	3588	4053	4053	4020	24423	27885	27695	23660	29260	26460	29260	29930	29930	34394	34394	39773
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
