CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	634046	589618	598439	598439	715926	641752	626395	633377	633377	628752	624379	667619	673760	673760	503330	516299	522197	549264	549264	615320	659143	639590	634421	634421	620306	697656	678409	704480	704480	624331	658478	616749	585812	585812	590732	638851	726109	773204	773639	963342	930027	1035457	470072
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	183902	173597	223855	223855	152917	79596	65070	76451	76451	40779	74302	151359	91083	91083	57358	104196	86891	83790	83790	151384	205956	186359	216017	216017	190327	169856	8684	120580	120580	53526	96187	70525	94626	94626	107484	107897	7557	4434	4434	17177	13755	433	7383
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	88674	88674	9074	9074	9074	9074	9074	9074	9074	25074	35074	50074	40074	40074	8074	22074	22074	28628	28628	34652	34652	31652	31394	31394	25074	25074	146329	0	0	0	0	0	0	0	0	0	62700	86200	86200	57800	64200	33430	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	245125	301022	347606	347606	472510	433029	426776	449917	449917	447461	411908	371429	480473	480460	218422	185009	212946	239944	239934	212933	204561	186195	179863	179807	179108	277346	251993	247460	247460	187424	223564	212596	152995	138150	164132	214644	263772	267328	267713	199348	226799	282136	9205
Hàng tồn kho###Inventory	115911	18468	17903	17903	81426	117684	120275	97935	97935	114957	100713	87497	60769	60769	199896	198382	194589	193433	193433	216279	213943	233504	206778	206778	223922	223845	271351	336395	336395	380842	337065	333024	336048	336048	317553	316264	391227	415202	415252	689017	625273	698799	431229
Tài sản ngắn hạn khác###Other Current Assets	435	7858	0	0	0	2370	5200	0	0	481	2383	7261	1361	1374	19581	6637	5697	3470	3480	72	31	1880	368	424	1874	1536	52	45	45	2539	1663	604	2142	16988	1563	46	853	40	40	0	0	20659	22255
Tài sản dài hạn###Non-current Assets	125800	128312	130860	130860	133475	135926	138610	141283	141283	150785	153721	156589	159517	159517	164666	164415	151680	137023	137023	116993	110163	105231	102589	102589	106426	24150	5389	5453	3265	6581	5698	5219	5377	5377	5718	5843	6001	6226	6176	4009	3991	4049	2084
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	48316	49859	51415	51415	53021	54521	56187	57853	57853	34702	35665	36581	37548	37548	38678	38934	4848	5112	5112	1257	1358	1513	1668	1668	1827	2004	2183	2335	2335	2164	2334	2507	2679	2679	2879	3044	3209	3387	3387	2381	2467	2450	1462
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-26377	-24782	-23183	-23183	-22463	-20809	-19152	-17495	-17495	-10655	-9700	-8793	-7773	-7773	-6033	-5776	-4245	-3987	-3987	-3823	-3685	-3535	-3386	-3386	-3232	-3060	-2887	-2688	-2688	-2792	-2621	-2449	-2277	-2277	-2077	-1912	-1747	-1568	-1568	-1382	-1014	-518	-278
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-151	-143	-134	-134	-125	-116	-108	-99	-99	-90	-81	-69	-66	-66	-65	-65	-60	-54	-54	-49	-43	-38	-32	-32	-27	-22	-16	-11	-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	74510	75404	76299	76299	77194	78089	78984	79879	79879	112608	114529	116450	118371	118371	122213	122213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	312	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	1250	1250	0	0
Tài sản dài hạn khác###Other long term assets	277	351	449	449	562	619	742	854	854	778	829	861	892	892	697	767	507	491	491	354	343	409	478	478	22694	19646	706	618	618	1916	864	212	198	198	339	299	293	338	288	378	274	1600	621
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	759846	717930	729299	729299	849401	777679	765005	774660	774660	779538	778100	824208	833276	831402	667996	680713	673877	686287	686287	732313	769306	744821	737010	737010	726732	721806	683798	709933	707745	630912	664176	621968	591188	591188	596450	644694	732110	779430	779815	967351	934019	1039506	472156
Nợ phải trả ###Liabilities	287715	250960	271492	271319	448494	359638	351040	366648	366270	419897	423033	486334	336000	334118	229619	242364	204954	220854	220854	272268	328053	282419	283457	283457	290415	292528	229588	271465	271712	245984	283503	221707	206822	206822	242233	304728	381696	446685	446976	674954	671751	874611	431863
