CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	110299	94000	51979	48064	40856	55777
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9135	7377	1752	1893	1639	1099
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	30967	33000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	32589	19307	16377	2126	1964	17408
Hàng tồn kho###Inventory	34272	31086	31397	42071	34077	37125
Tài sản ngắn hạn khác###Other Current Assets	3336	3230	2454	1974	3176	145
Tài sản dài hạn###Non-current Assets	43904	48289	44950	48632	48454	54808
Các khoản phải thu dài hạn###Long term Account Receivable	30	30	30	0	0	0
Tài sản cố định ###Fixed assets	43096	46164	44434	47106	45651	48826
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-152401	-147327	-142241	-136850	-130408	-122463
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-578	-368	-159	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-245	-245	-233	-194	-155	-128
Lợi thế thương mại	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	403	826	181	1526	1281	5020
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	154203	142289	96929	96696	89310	110585
Nợ phải trả ###Liabilities	57576	46567	61154	65995	61941	88189
Nợ ngắn hạn###Short term Liabilities	54815	42442	59265	65938	57884	88132
Nợ dài hạn###Long term Liabilities	2761	4125	1889	57	4057	57
Dự phòng nghiệp vụ	0	0	0	0	0	0
No khac	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	96627	95722	35775	30701	27369	22397
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	96627	95722	35775	30701	27369	22397
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	231437	244499	248263	217863	197014	201970
Các khoản giảm trừ doanh thu###Deduction revenues	346	0	3	533	226	204
Doanh thu thuần###Net Sales	231091	244499	248259	217330	196788	201767
Giá vốn hàng bán###Cost of goods sold	195321	203108	215332	185281	172718	169031
Lợi nhuận gộp###Gross profit	35770	41391	32927	32049	24070	32736
Doanh thu hoạt động tài chính###Financial activities Revenues	2251	2157	11	12	20	27
Chi phí tài chính###Financial Expenses	2551	2921	2594	3023	3920	5177
Chi phí bán hàng###Selling Expenses	3248	2233	2639	2745	2070	1813
Chi phí quản lý doanh nghiệp###Managing Expenses	7317	7365	10746	5354	12340	18393
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	24904	31028	16958	20939	5759	7380
Thu nhập khác###Other incomes	195	152	670	219	642	122
Chi phí khác###Other Expenses	91	87	8038	12241	101	571
Lợi nhuận khác###Other profits	104	65	-7369	-12022	541	-449
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	25008	31093	9590	8917	6300	6931
Chi phí thuế TNDN###Corporate Income Tax Expenses	5220	6237	3598	5119	658	145
Chi phí thuế TNDN###Corporate Income Tax Expenses	5220	6237	3598	5119	658	145
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	19788	24856	5992	3798	5641	6786
---Cac Chi So Tai Chinh---						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.02	11.83	11.51	0.00	0.00	0.00
