CAN DOI KE TOAN	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	1493798	1403480	1285031	1276696	671600	646317	560281	613656	613660	674668	602495	698390	716525	669452	813142	736449	884923	884923	984288	880511	936371	645802
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	120757	119382	151496	201096	196562	192881	169447	166254	166263	162823	65760	11685	8354	8253	3261	15729	4735	4735	2542	11812	169301	392276
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	93100	49600	49600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524837	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	549315	535915	568303	559950	313551	319118	305737	300264	299643	348857	384382	593256	547006	500312	632971	536870	738183	213346	756962	604794	537760	127524
Hàng tồn kho###Inventory	661056	639415	470108	470108	146909	121549	80276	140867	140870	136082	122863	75867	136861	136589	140929	152955	114200	114200	205800	224785	190440	109028
Tài sản ngắn hạn khác###Other Current Assets	69571	59168	45524	45543	14578	12769	4821	6270	6884	26906	29491	17582	24305	24298	35981	30895	27805	27805	18984	39119	38869	16974
Tài sản dài hạn###Non-current Assets	2032997	2001171	2044578	2044578	812189	754832	746353	760255	760715	750189	694764	697186	695271	695577	583148	586993	566268	566268	467334	447588	317958	234284
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1887344	1926750	1970053	1970053	542574	521120	532116	546204	523447	479676	484052	473174	508508	507747	478132	490261	449314	449314	123354	133077	264690	183574
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-803410	-755050	-706348	-706348	-320478	-308879	-296167	-289789	-289780	-276997	-263942	-250293	-236428	-237188	-223034	-208928	-181502	-181502	-163209	-152466	-131214	-88869
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-13986	-13261	-12522	-12522	-7659	-7337	-7014	-6691	-6248	-6036	-5824	-5723	-5400	-5400	-5077	-4754	-4109	-4109	-3721	-3515	-3105	-2290
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	71440	0	0	0	168357	168357	168357	168357	168357	168357	144357	168357	144357	144357	63170	63170	51170	51170	51170	51170	51170	45170
Tài sản dài hạn khác###Other long term assets	55641	57633	56433	56433	14953	15184	16313	18776	18871	18362	20406	20363	16451	17518	5937	4183	2519	2519	1290	1290	2098	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3526795	3404652	3329609	3321274	1483790	1401149	1306633	1373911	1374375	1424857	1297259	1395576	1411796	1365030	1396290	1323442	1451190	1451190	1451622	1328099	1254329	880085
