CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	3013917	2799495	1933230	2034761	1931509	1772453	1955229	2165831	2152016	2793879	2294408	2427636	2443701	2419724	2694750	2337984	1859814	2591262	2608496	2322273	1976830	1999678	2356147	2378858	2269764	2317713	2253487	2570895	2604114	2190651	2624085	2891001	3348658	3347434	2545165	2344033	1820916	1937650	2125739
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	165698	137003	228557	228557	392029	109667	266092	514863	514864	815863	879113	917043	801571	801608	1005628	801894	572893	1066066	1065986	947293	660582	458937	681481	681481	666422	706895	749840	830543	830543	571387	228764	127054	987500	987500	669907	691426	527206	169870	147444
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	100800	13529	15462	15462	15441	15604	18696	16479	16479	18717	19022	24006	24006	24006	20751	24413	21972	20954	20954	26443	26443	27060	27058	27058	0	33570	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1018701	1090533	846839	903457	855723	839420	787053	842490	852408	904504	765838	868721	982768	968650	1069324	842699	656805	778835	800420	670413	558431	612200	661268	676359	726034	645738	558996	691904	698359	654085	769426	600679	692318	690332	690080	472036	545756	546489	429387
Hàng tồn kho###Inventory	1606430	1448699	794365	839688	639209	757208	670291	586335	562728	820398	436625	425389	441573	432561	401909	475031	413930	523966	518454	484414	538307	703937	783444	791059	683570	729879	745449	840985	867749	760703	1388530	1875814	1424191	1424674	979388	975523	617382	1086465	1371874
Tài sản ngắn hạn khác###Other Current Assets	122289	109731	48007	47598	29107	50554	213097	205666	205537	234397	193810	192478	193783	192898	197139	193947	194214	201440	202681	193710	193068	197544	202896	202902	193738	201631	199202	207463	207463	204476	237365	287454	244648	244927	205790	205048	130572	134826	177033
Tài sản dài hạn###Non-current Assets	18978	19365	19954	22496	21953	21989	22530	23309	23430	24268	24797	25102	26396	26830	27531	28091	29793	29887	29871	5756	5010	4830	4824	4824	39201	4708	4914	3945	5295	5480	5696	5871	7649	8931	9107	8177	7768	5303	12685
Các khoản phải thu dài hạn###Long term Account Receivable	3053	2932	3097	4042	2683	2827	2932	2951	2951	2640	2604	2602	2979	2979	2978	3691	3335	2924	2924	1668	1668	1669	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2519	3051	3078	3078	3272	3997	3769	3810	3810	4153	4297	3505	3910	3910	4233	4616	5052	4957	4978	2445	2722	2815	3090	3090	3651	2561	2611	1620	1620	1763	1750	1110	1248	1248	1924	2060	2791	3116	2270
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-10581	-11693	-11371	-11371	-11002	-10619	-8462	-8187	-8187	-9523	-9134	-9090	-8706	-8706	-8317	-7912	-7498	-7133	-7290	-5421	-5156	-4892	-4635	-4635	-4597	-4301	-4122	-3973	-3973	-3837	-3899	-3782	-3652	-3652	-3920	-3756	-4094	-3239	-2764
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
