CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	1184616	1170307	1190393	994276	950611	958607	1064592	1229873	1228549	1714770	846197	518257	485811	486183	445072	429140	379387	341887	342023	302814	422700	419556	484517	435055	405133	419153
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	36695	44529	105370	105370	283363	276164	453768	609411	609411	1262369	402800	124639	223000	222997	154799	107801	80617	68004	68004	14845	35812	45959	88745	97817	30088	105566
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	12000	20000	12000	12000	12000	0	0	252000	252000	0	0	6695	8172	8172	9500	9500	0	0	0	0	0	0	0	219000	255417	262237
Các khoản phải thu ngắn hạn###Short term Account Receivables	825522	723971	688224	493694	411390	381873	365611	245522	244007	274444	355276	359956	227394	227809	251867	286472	276467	257003	257148	264813	368029	348157	381032	94477	93277	38171
Hàng tồn kho###Inventory	258660	318460	314266	312879	159813	151837	56324	24722	24952	42208	34377	25012	26151	26111	26836	22657	19913	16181	16181	21590	16736	18484	9628	14287	15484	7834
Tài sản ngắn hạn khác###Other Current Assets	51740	63347	70533	70333	84045	148733	188890	98217	98178	135749	53744	1956	1094	1094	2069	2709	2391	699	690	1566	2123	6956	5113	9475	10868	5344
Tài sản dài hạn###Non-current Assets	5597639	5514374	5572827	5772734	5658302	5666601	4277427	3130686	3130891	1526855	1295825	1175940	1172798	1172777	1165710	1168634	1190689	1209798	1209494	1225779	1240409	1437772	1400671	1275286	1320065	1057515
Các khoản phải thu dài hạn###Long term Account Receivable	7404	7173	573	198573	774	785	785	785	785	1276	1276	18863	10963	10617	778	696	691	691	691	0	0	35	0	0	0	119
Tài sản cố định ###Fixed assets	5148174	5174858	5258944	5261743	5300145	5321280	2977278	2877672	2878569	1059495	1079872	1093934	1113991	1113991	1124586	1135278	1150283	1169336	1152744	1170034	1185185	1202742	1223677	1227938	1209069	908812
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1061171	-976898	-900205	-899928	-818915	-734653	-669623	-622886	-622894	-589716	-568836	-548280	-527486	-527486	-508133	-488334	-472975	-453535	-453843	-436246	-416839	-397544	-377638	-306153	-239574	-183248
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3226	-2557	-1910	-1910	-1627	-1313	-1075	-1012	-1012	-1123	-1058	-995	-930	-930	-911	-849	-786	-726	-726	-665	-606	-554	-498	-317	-272	-281
Lợi thế thương mại	5228	5678	6128	6128	6579	7029	7479	7929	7929	8384	8829	9169	9729	9729	10301	11128	11707	12278	12278	12863	13448	14026	14604	0	0	3577
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	2600	2600	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	891	891	891	891	691	72548	83072
Tài sản dài hạn khác###Other long term assets	60253	43135	47894	57069	47699	42698	33896	36466	30609	25954	26951	28411	29798	30123	29960	29492	31992	33976	34481	36668	37389	25569	40867	29722	34904	40013
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	6782255	6684681	6763219	6767010	6608913	6625208	5342020	4360559	4359440	3241625	2142022	1694197	1658609	1658961	1610781	1597774	1570076	1551684	1551517	1528593	1663109	1857328	1885188	1710342	1725198	1476668
Nợ phải trả ###Liabilities	4087276	4025302	4183591	4184197	4090937	4147680	2774998	1952624	1951954	939785	748381	326156	340592	340632	329491	364269	367158	401002	400766	414168	556685	690932	723193	639461	801935	558987
Nợ ngắn hạn###Short term Liabilities	1103679	726144	836408	835753	665586	1125014	646070	528243	527195	381415	251950	94674	103425	105559	69171	94914	113012	135096	134000	229775	146038	125353	205229	174756	293190	140725
Nợ dài hạn###Long term Liabilities	2983596	3299158	3347183	3348444	3425351	3022666	2128928	1424380	1424759	558371	496431	231482	237167	235074	260320	269355	254145	265905	266767	184394	410647	565579	517964	464705	508746	418262
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2694979	2659379	2579628	2582813	2517976	2477528	2567022	2407935	2407486	2301840	1393641	1368041	1318017	1318328	1281291	1233505	1202919	1150683	1150750	1114425	1106424	1166396	1161996	765414	695405	917680
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
