CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	27646	29610	26111	26063	29623	27283	27493	25888	25724	27779	28429	26096	25063	25560	25261	23772	22352	22282	22010	20623	17559	21111	20470	20506	17983	19016	16489	15046	15046	14728	15905	15695	15084	15092	14672	22721	20342	16954	16954	23355	19500	17008	14407	14407	12832	11487	12311	11663	11662	11304	14600	15263	12336	12342	11864	16960	19997	20400	20371	20286	10627	23606	10262	10262	10740
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9399	9456	5476	5476	11872	8631	5830	3680	3680	8205	4443	5640	2197	2697	1904	5810	2149	1294	1294	1386	1855	3844	2643	2643	2331	3948	406	2931	2931	4036	5252	5992	5354	5354	5806	5172	6135	7019	7019	9579	8364	8266	7398	7398	5654	4870	5044	5255	5255	4256	6506	6869	7622	7622	6507	11117	15876	16901	901	997	814	2378	3086	3086	888
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1303	1558	306	306	1181	1245	0	0	16000	14000	5500	5000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	16982	19151	17853	17805	16404	16843	20384	21400	21237	18278	22612	18916	21121	21108	21956	16457	19153	18729	18623	17786	13948	16137	15981	15981	14647	13554	12745	11096	10688	9611	9753	8793	9238	9245	8319	16827	13240	9539	9539	13341	10599	8073	6539	6539	6649	6241	6035	6181	6181	6302	6433	6450	4131	4137	3418	4253	3739	3091	3061	4930	4063	15849	6931	6931	6833
Hàng tồn kho###Inventory	1112	799	2539	2539	1176	1619	1049	567	567	1124	1185	1302	1470	1480	1233	1248	708	1867	1867	1272	1580	925	1633	1633	647	1330	1668	467	467	231	271	179	220	220	126	234	196	193	193	227	256	272	196	196	287	121	736	82	82	83	88	94	80	80	93	112	78	81	81	78	85	99	106	98	2638
Tài sản ngắn hạn khác###Other Current Assets	153	205	243	243	172	190	230	240	240	171	188	238	275	275	168	256	343	393	227	180	176	205	213	248	357	183	271	552	959	850	629	732	272	272	422	489	770	203	203	207	281	397	274	274	243	255	496	145	144	663	269	293	197	197	665	233	304	326	327	280	165	281	139	146	381
Tài sản dài hạn###Non-current Assets	18294	19460	20287	20287	20017	20776	21482	21978	21978	22648	22290	23050	23716	23216	23974	24751	25604	26445	26612	27297	28192	27413	28259	28223	29069	25649	26406	27163	27163	27599	27433	27544	28055	28055	28029	28079	28495	28744	28744	28038	28582	29276	29321	29321	30058	30555	30770	31065	31065	30488	27623	28003	28480	28480	28545	25749	26098	25448	25634	25805	25650	12755	12009	12003	6434
Các khoản phải thu dài hạn###Long term Account Receivable	1	501	501	501	501	501	501	501	501	501	501	501	501	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	17113	17817	18522	18522	19227	19932	20637	21341	21341	22046	21714	22461	23208	23208	23955	24702	25530	26336	26336	27143	27980	27194	28011	28011	28863	25438	26175	26920	26920	10173	10678	27449	27946	27946	27901	27945	28441	13423	28684	28038	28582	29276	14110	29321	29832	30286	30457	15943	30705	30021	27235	27523	27908	27908	28308	25493	25837	25437	25634	25805	25650	12755	12009	12003	6434
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-25831	-25128	-24425	-24425	-25623	-24920	-24217	-23514	-23514	-22811	-22106	-21361	-20616	-20616	-19871	-19125	-21099	-20295	-20295	-19490	-21141	-21286	-20472	-20472	-19621	-18895	-18160	-17417	-17417	-16741	-16239	-16227	-15677	-15677	-14893	-14338	-14111	-13550	-13550	-13012	-12473	-11933	-11399	-11399	-10962	-10514	-10065	-10804	-10804	-11623	-11204	-11937	-12701	0	0	0	0	-13022	0	0	0	0	0	-12096	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-138	-136	-134	-134	-132	-131	-129	-127	-127	-126	-124	-122	-120	-120	-119	-117	-115	-113	-113	-112	-110	-108	-107	-107	-105	-103	-101	-100	-100	-98	-96	-95	-93	-93	-88	-84	-107	-102	-102	-98	-93	-88	-84	-84	-79	-74	-70	-65	-65	-60	-56	-51	-47	0	0	0	0	-28	0	0	0	0	0	-28	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1180	1142	1264	1264	289	343	344	136	136	102	75	88	7	7	19	48	73	108	275	154	211	218	247	212	206	211	231	243	244	112	96	95	110	110	129	134	54	60	60	0	0	0	0	0	225	269	313	360	360	467	388	480	572	572	237	256	260	10	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	45939	49070	46399	46351	49640	48059	48975	47866	47703	50427	50719	49146	48778	48776	49235	48522	47956	48728	48622	47920	45750	48524	48729	48729	47053	44665	42895	42209	42209	42327	43338	43239	43139	43147	42702	50800	48837	45698	45698	51393	48082	46284	43729	43729	42890	42042	43081	42728	42727	41792	42223	43266	40816	40822	40409	42709	46095	45848	46004	46090	36277	36361	22270	22264	17174
Nợ phải trả ###Liabilities	4976	8507	4282	4273	7838	6875	6894	5719	5569	8753	9657	7562	7159	7157	8068	7773	6813	7402	6904	6598	4874	7015	7787	7291	6138	4199	2578	1808	1808	1645	2790	2678	3097	3099	2109	10412	8124	4429	4429	10621	8244	5012	2787	2787	2444	2177	2173	1871	1870	1534	2130	7176	2753	2729	2869	5595	7563	6696	6672	7094	17938	17510	4184	3698	4764
Nợ ngắn hạn###Short term Liabilities	4976	8507	4282	4273	7838	6875	6894	5719	5569	8753	9557	7462	7059	7057	7968	7673	6713	7302	6804	6498	4774	7015	7787	7291	6138	4199	2578	1808	1808	1645	2790	2678	3097	3099	2109	10412	8124	4429	4429	10580	8182	2668	2688	2688	2343	2069	2103	1790	1789	1489	2051	7074	2651	2627	2767	5493	7461	6594	6672	7094	17938	17510	4184	3698	4764
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	62	2344	99	99	100	108	69	81	81	44	79	102	102	102	102	102	102	102	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210199	8	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	40963	40564	42116	42078	41801	41184	42082	42147	42133	41674	41062	41583	41619	41619	41167	40750	41143	41326	41718	41322	40876	41509	40942	41438	40914	40466	40317	40401	40401	40682	40548	40562	40043	40048	40592	40388	40713	41269	41269	40772	39838	41273	40942	40942	40447	39865	40908	40857	40857	40258	40092	36090	38063	38093	37541	37114	38532	39151	39332	38997	18339	18851	18087	18566	12410
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	37	271	71	507	507	517	872	-2	0	71	0
Vốn chủ sở hữu ###Owners equity	40963	40564	42116	42078	41801	41184	42082	42147	42133	41674	41062	41583	41619	41619	41167	40750	41143	41326	41718	41322	40876	41509	40942	41438	40914	40466	40317	40401	40401	40682	40548	40562	40043	40048	40592	40388	40713	41269	41269	40772	39838	41273	40942	40942	40447	39865	40908	40857	40857	40258	40092	36090	38063	38063	37503	36843	38461	38645	38825	38479	17467	18853	18087	18496	12410
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43338	43239	43139	43147	42702	50800	48837	45698	45698	51393	48082	46284	43729	43729	42890	42042	43081	42728	42727	41792	42223	43266	40816	40822	40409	42709	46095	45848	46004	46090	36277	36361	22270	22270	17174



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	25614	21324	102760	27874	25731	26671	22436	122143	32782	27980	36940	24441	116235	35554	29673	29381	21662	99184	28405	23987	26179	20613	91116	29678	24211	23846	13381	64180	16664	13962	19480	14074	65223	17388	15076	20313	12454	62163	15748	13906	18836	13673	62729	14754	15575	20547	11852	50555	15030	11848	13154	10522	46145	12703	10345	13058	10038	35803	9154	8468	8520	9661	31608	9852	30895
Các khoản giảm trừ doanh thu###Deduction revenues	257	125	776	649	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	25357	21199	101985	27225	25605	26671	22436	122143	32782	27980	36940	24441	116235	35554	29673	29381	21662	99184	28405	23987	26179	20613	91116	29678	24211	23846	13381	64180	16664	13962	19480	14074	65223	17388	15076	20313	12454	62163	15748	13906	18836	13673	62729	14754	15575	20547	11852	50554	15029	11848	13154	10522	46145	12703	10345	13058	10038	35803	9154	8468	8520	9661	31608	9852	30895
Giá vốn hàng bán###Cost of goods sold	23420	18915	91881	25235	23134	23898	19730	110711	29655	25186	33869	21885	106190	32437	27164	26814	19765	90426	25799	22200	24116	18287	81106	26323	21519	21384	11847	58663	15775	12525	17464	12899	60007	16400	13624	18692	11291	56670	14816	12540	17441	11874	55467	13414	13629	18092	10332	44718	13288	10496	11915	9019	39937	10929	8976	11604	8427	30785	7699	7246	7610	8229	25509	8253	25714
Lợi nhuận gộp###Gross profit	1937	2284	10104	1990	2471	2773	2706	11432	3127	2794	3071	2556	10045	3117	2509	2568	1898	8758	2606	1787	2063	2326	10010	3355	2692	2461	1534	5517	890	1437	2016	1175	5216	988	1452	1622	1163	5493	932	1366	1395	1800	7262	1341	1946	2455	1520	5836	1742	1353	1239	1503	6208	1774	1369	1453	1611	5019	1456	1223	910	1431	6099	1598	5182
Doanh thu hoạt động tài chính###Financial activities Revenues	126	43	308	121	62	91	35	85	44	20	18	3	223	10	12	12	189	261	95	63	73	31	199	59	66	59	16	291	60	55	101	76	433	110	88	142	93	907	255	191	256	204	742	256	159	172	155	1399	105	104	935	255	1218	480	255	259	225	964	588	258	154	119	51	15	26
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	26	0	9	1	16	108	28	0	14	67	139	54	36	30	19	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	70	173	324	644	431	-56	268	0	0	0	0	0	0	11	11	0
Chi phí bán hàng###Selling Expenses	830	769	4013	989	882	1246	896	4552	1422	986	1281	863	4008	1268	1006	1083	691	3448	1141	763	833	710	3003	948	829	846	354	2205	572	523	674	436	2168	734	485	620	329	2088	636	466	580	406	2254	507	548	756	443	1757	591	422	423	320	1448	448	365	373	261	1281	409	312	313	246	768	278	296
Chi phí quản lý doanh nghiệp###Managing Expenses	727	1090	4054	833	884	933	1240	4124	1159	1046	939	1134	4118	1254	992	1032	847	3763	958	829	1072	928	4896	1866	1170	955	846	3455	718	782	963	992	3436	808	776	995	857	3428	862	736	951	879	3555	1057	683	1085	731	3646	1264	815	874	694	2547	929	531	563	525	2687	996	411	579	600	3323	1181	2982
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	506	469	2345	288	767	685	605	2815	589	773	868	547	2034	577	522	452	483	1670	547	222	201	699	2296	586	759	719	351	148	-340	186	479	-176	44	-445	278	148	70	884	-310	355	121	718	2194	33	874	787	500	1264	-9	149	704	420	2788	446	783	510	1050	2015	639	757	172	704	2048	143	1930
Thu nhập khác###Other incomes	0	0	270	244	15	0	11	474	89	381	4	0	338	1	7	329	0	741	134	358	238	10	161	133	4	24	0	1424	0	35	521	868	2213	700	0	763	750	3056	789	761	750	756	1325	657	5	1	662	2184	811	46	690	637	1167	296	39	778	54	2035	94	954	801	187	5131	2692	179
Chi phí khác###Other Expenses	0	0	97	94	3	0	0	469	94	381	2	0	21	8	7	5	0	207	159	23	24	0	255	37	188	29	0	72	12	48	12	0	210	203	6	0	0	639	-124	141	465	157	157	31	103	1	22	226	95	29	76	27	307	131	75	50	51	198	87	51	58	0	362	163	183
Lợi nhuận khác###Other profits	0	0	172	150	12	0	11	5	-5	0	2	0	316	-7	0	324	0	534	-25	335	214	10	-94	95	-184	-5	0	1352	-11	-14	509	868	2003	497	-6	763	750	2417	913	620	285	599	1169	627	-98	0	641	1958	717	17	614	610	860	165	-36	728	3	1838	7	902	743	186	4769	2529	-4
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	506	469	2518	438	779	685	616	2821	584	772	870	547	2351	570	522	776	482	2204	522	557	415	709	2202	682	575	714	351	1501	-351	172	988	692	2047	52	272	911	820	3301	603	975	406	1318	3363	660	2703	786	1141	3222	708	166	1319	1029	3648	610	747	1237	1053	3853	646	1660	915	891	6817	2672	1926
Chi phí thuế TNDN###Corporate Income Tax Expenses	107	100	571	161	162	143	129	609	125	160	181	109	480	118	104	160	96	451	127	111	83	142	498	158	126	162	77	337	-71	38	197	173	573	75	68	0	0	578	0	0	0	329	841	165	194	197	285	623	109	0	326	188	458	50	86	181	140	499	190	133	128	124	954	0	39
Chi phí thuế TNDN###Corporate Income Tax Expenses	107	100	571	161	162	143	129	609	125	160	181	109	480	118	104	160	96	451	127	111	83	142	498	158	126	162	77	337	-71	38	197	173	573	75	68	228	205	578	105	41	102	329	841	165	194	197	285	623	109	0	326	188	458	50	86	181	140	499	190	133	128	125	954	339	39
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	399	369	1947	277	617	542	487	2211	459	612	689	438	1871	452	418	615	386	1752	396	446	332	567	1704	524	448	552	273	1164	-281	134	791	519	1474	-23	204	683	615	2724	497	934	305	988	2522	495	582	590	856	2599	599	166	993	841	3190	560	660	1056	913	3354	456	1527	787	766	5863	2333	1887
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.27	0.45	-0.07	-0.07	0.25	-0.19	-0.25	-0.18	-0.18	-0.28	-0.03	0.45	1.01	1.01	1.53	0.67	0.33	-0.46	-0.46	-0.57	0.07	-0.33	-0.34	-0.34	-0.21	-0.47	0.34	0.08	0.08	0.10	0.17	-0.38	0.44	0.44	-0.11	0.49	0.49	0.62	0.62	0.51	0.16	0.17	0.12	0.12	0.72	1.04	1.46	1.51	1.51	1.50	1.04	0.78	0.67	0.67	0.59	0.59	0.58	0.85	0.85	0.91	1.25	1.58	-0.19	-0.19	0.00
