CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	727432	606019	570749	569707	651890	556330	551879	569971	569971	608991	642600	645398	679582	679582	775295	841504	848516	952845	915973	822161	776701	724038	705785	705785	723993	726598	823114	823114	874470	939554	1047745
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	22275	2772	5222	5222	41041	16074	6791	5791	5791	2338	7737	5034	7617	7617	13683	18323	11452	39868	39868	14068	17779	7264	6087	6087	29658	9748	6720	6720	8174	54431	40260
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	348	348	2221	2008	1803	2023	2023	1567	985	500	500	500	500	500	500	500	500	3035	6765	8185	13840	13840	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	183425	191715	166776	166822	91903	115940	118130	121961	121961	127653	144501	155205	164879	164879	178549	203133	173604	235972	201789	188221	193048	187925	187909	187909	172806	203361	371489	352073	377507	486278	430591
Hàng tồn kho###Inventory	521732	411532	398403	397314	516725	422308	425156	440197	440197	477433	489377	484659	506586	506586	582264	619136	661659	674324	671635	608363	552451	516879	494827	494827	515228	507190	444753	444753	470954	384801	555985
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	412	1301	2182	2182	8474	6658	3785	3121	3121	6301	6300	152	19567	17835	14044	20908
Tài sản dài hạn###Non-current Assets	10828	10994	11201	11201	11132	11366	11730	12138	12138	17500	18381	21136	22169	22169	24460	25163	26443	33232	81011	56204	33302	33063	32633	32633	32302	32661	31909	32692	31272	30323	36547
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	48105	22544	0	110	110	110	110	110	0	0	0	0	0
Tài sản cố định ###Fixed assets	9001	9214	9289	9413	8811	8932	9277	9650	9650	13402	14022	16580	17234	17234	19145	19803	20455	21769	21769	23306	24129	24689	23649	23649	24074	24460	26005	26005	26784	25910	29918
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-17904	-17691	-17483	-17508	-17269	-17000	-16655	-16282	-16282	-23626	-23006	-22940	-22286	-22286	-25088	-24429	-23777	-33830	-33830	-38234	-38236	-37369	-36518	-36518	-35710	-34941	-33358	-33358	-30546	-28824	-22433
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-142	-142	-142
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	550	550	550	550	550	550	550	550	550	550	550	550	550	200	200	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1826	1780	1912	1788	1771	1884	1903	1938	1938	3549	3810	4006	4386	4386	4765	4809	5438	8174	7533	7421	7470	6726	7336	7336	6243	6216	5903	6686	4488	4412	6611
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	738260	617013	581950	580907	663023	567696	563609	582109	582109	626491	660981	666533	701752	701752	799754	866667	874959	986077	996984	878366	810004	757100	738418	738418	756295	759260	855022	855805	905742	969877	1084292
Nợ phải trả ###Liabilities	542786	411843	376787	375745	468938	373745	364836	383499	383499	431409	466653	472723	452994	452994	558820	627826	629225	734637	745665	640447	573645	512403	494135	494135	518747	521322	616769	617552	658939	706919	813171
Nợ ngắn hạn###Short term Liabilities	403863	257145	242766	241724	368216	282571	260604	276671	276671	324452	371504	380069	349272	349272	426851	479108	442457	537739	535837	440461	414019	389336	383658	383658	399920	431345	543361	537083	626775	576791	698548
Nợ dài hạn###Long term Liabilities	138923	154698	134021	134021	100722	91174	104232	106828	106828	106957	95149	92654	103723	103723	131969	148718	186768	196898	209827	199986	159626	123066	110477	110477	118827	89977	73408	80469	32164	130127	114623
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	195474	205170	205163	205163	194085	193951	198773	198610	198610	195082	194329	193810	248757	248757	240934	238840	245734	251440	251320	237918	236359	244698	244283	244283	237548	237938	238253	238253	240013	262958	271121
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	195474	205170	205163	205163	194085	193951	198773	198610	198610	195082	194329	193810	248757	248757	240934	238840	245734	251440	251320	237918	236359	244698	244283	244283	237548	237938	238253	238253	240013	262958	271121
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6789	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



