CAN DOI KE TOAN	 2018	 2017	 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	233467	187014	221440	255538	264478	215455	215455	185045	214588	226136	198567	198567	255568	286193	312411	344918	280762	251630	309126
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	18241	8519	12905	19557	4354	16669	16669	21374	30064	7027	8144	8144	24021	21560	15612	44801	19179	15152	116265
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	10400
Các khoản phải thu ngắn hạn###Short term Account Receivables	19682	27964	38318	80167	50211	26731	26731	35903	59838	62061	36265	35274	105744	133133	141265	143788	126319	93782	49895
Hàng tồn kho###Inventory	190334	145638	165808	155263	202221	165519	165519	123561	124580	153691	148726	148726	123647	130096	152665	154690	131092	140609	131943
Tài sản ngắn hạn khác###Other Current Assets	5210	4893	4410	551	7692	6535	6535	4207	105	3358	5431	6422	2156	1404	2869	1191	4172	2087	624
Tài sản dài hạn###Non-current Assets	236379	251687	247606	236529	229965	230682	230682	242489	255546	250532	251488	251488	554788	545004	531347	500965	337524	178839	103339
Các khoản phải thu dài hạn###Long term Account Receivable	48459	48400	48500	299	299	299	299	299	12250	14970	15361	14970	137770	137770	137770	137770	0	0	218
Tài sản cố định ###Fixed assets	76972	87882	84191	85210	76484	77985	77985	79090	79192	71620	72286	72286	73967	75672	68453	307054	334972	69756	60693
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-106659	-90745	-81694	-77077	-72647	-71017	-71017	-69000	-66962	-65440	-63581	-63581	-65571	-64516	-64287	-63668	-59636	-51769	-42818
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-45	0	-1621
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1819	-1370	-979	-909	-880	-851	-851	-821	-792	-763	-734	-734	-705	-676	-676	-668	-496	-278	-61
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	98220	102229	106238	99766	100690	101614	101614	28395	28566	28737	25021	25021	52950	52294	52598	52902	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1274	1634	535	1309	759	994	994	683	1444	2332	2258	2649	2889	3253	3193	3240	2552	2544	1759
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	469846	438701	469046	492067	494443	446136	446136	427534	470133	476668	450055	450055	810356	831197	843758	845884	618286	430469	412465
Nợ phải trả ###Liabilities	314936	301391	335622	365925	362781	317786	317786	313087	369706	375741	351442	351442	707988	743139	731464	735753	509358	341116	327492
Nợ ngắn hạn###Short term Liabilities	133855	117463	160712	188929	184545	143699	143699	111797	167565	172689	146435	222971	124073	157217	143462	181137	174002	121576	102700
Nợ dài hạn###Long term Liabilities	181080	183928	174911	176996	178236	174087	174087	201290	202141	203052	205007	128471	583915	585922	588002	554616	335357	219540	224792
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	154910	137310	133424	126142	131662	128350	128350	114447	100427	100927	98613	98613	102368	88059	112295	110131	108928	89353	84973
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	30	0	0	0
Vốn chủ sở hữu ###Owners equity	154810	137210	133324	126042	131562	128250	128250	114347	100327	100827	98513	98513	102268	87959	112195	110101	108928	89353	84973
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2018	 2017	 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	650663	570464	530320	238680	95903	516996	49745	172443	206592	88215	695998	256212	190748	181595	87747	497390	463620	413868	340087
Các khoản giảm trừ doanh thu###Deduction revenues	4028	12358	1577	-3420	3630	20922	1591	7247	8790	3295	22306	1825	7685	9371	3425	20930	19040	19292	14978
