CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q3 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	123049	159490	128771	129244	115317	122438	155130	110237	110234	110984	120097	131984	117084	117084	110845	125140	127589	119270	119270	116138	126317	98047	96947	96937	95160	114655	110314	100690	100690	98174	99157	111707	97724	97724	96122	96605	89348	96253	89028	64000	53383	36751
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	16773	4489	6507	6507	3270	3403	8766	4290	4290	2106	4924	6121	3511	3511	1871	1855	2531	5170	5170	3198	6177	5001	2934	2934	1622	9685	11322	4091	4091	5641	2995	3418	865	865	4246	7591	1945	808	2613	701	4140	1047
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	16200	0	0	0	0	13100	0	0	3312	0	16000	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	21629	30806	12179	12182	20232	23276	36986	17788	17788	18573	23231	20205	10527	10527	12849	12569	11179	14075	14075	13490	14492	13909	11974	11951	16401	21260	21691	15822	15822	11334	16194	18372	13385	13385	15965	15491	14489	8288	29528	7096	12538	10612
Hàng tồn kho###Inventory	84600	107428	107991	107991	90861	95351	95864	87590	87590	86658	91570	89354	102616	102616	95806	110126	102285	99217	99217	98088	102470	76610	78360	78360	76258	82759	76478	80093	80093	80696	79197	89244	82459	82459	74686	72055	72327	84195	56763	55394	35712	24767
Tài sản ngắn hạn khác###Other Current Assets	48	567	2094	2564	954	407	414	569	567	335	372	304	430	430	318	590	1594	807	807	1362	3177	2528	3679	3692	879	950	823	685	685	503	772	673	1014	1014	1224	1468	587	2963	124	810	993	325
Tài sản dài hạn###Non-current Assets	78804	79913	81307	80836	81772	82465	84211	84405	84405	77302	79331	80720	82748	82748	84548	86624	88563	89843	89843	91826	94090	83657	84663	84663	55461	55082	56459	54420	54420	54872	54832	55167	56017	56017	57475	58283	59323	60010	94660	32791	24380	16546
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	57931	58915	60584	60584	61493	62160	63879	64047	64366	77302	79331	80720	82748	82748	84548	86624	88563	89843	89843	91826	82128	83657	84663	84663	45612	45034	46125	43819	43819	44278	44236	44664	44964	44964	46452	47169	48072	47872	22660	32791	18719	16546
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-44594	-42677	-41518	-41518	-39586	-37659	-35705	-33756	-34860	-34243	-32242	-30217	-28187	-28187	-26171	-24157	-21971	-19723	-19723	-17495	-15274	-13062	-26382	-10889	-33912	-32513	-31051	-29589	-29589	-28178	-27164	-25656	-24838	-24838	-23177	-22241	-20603	-19636	-2641	-15369	-13466	-11545
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-120	-120	-120	-120	-120	-120	-120	-120	-120	-558	-497	-436	-376	-376	-315	-254	-193	-133	-133	-72	-66	-60	-54	-54	-48	-42	-36	-30	-30	-24	-18	-12	-6	-6	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	20039	20039	20039	20039	20039	20039	20039	20039	20039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	0	0	0
Tài sản dài hạn khác###Other long term assets	834	959	683	213	240	266	293	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9850	10048	10335	10602	10602	10593	10595	10503	11053	11053	11023	11114	11251	11579	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	201853	239404	210078	210081	197089	204903	239341	194642	194640	188286	199428	212704	199832	199832	195393	211764	216152	209113	209113	207964	220407	181704	181609	181600	150621	169737	166773	155110	155110	153046	153988	166874	153740	153740	153597	154888	148671	156263	183688	96791	77763	53297
Nợ phải trả ###Liabilities	38197	79288	49456	49459	37975	48538	81606	35963	35961	36496	49674	61353	47646	47646	43750	63444	67659	63686	63686	58157	70217	35795	39133	39113	35281	48201	41548	34219	34219	35504	38723	53166	44999	44999	48471	51278	50413	63606	68294	57976	49163	35742
Nợ ngắn hạn###Short term Liabilities	37445	78580	48748	49041	37025	47588	80010	32480	31766	32069	45246	55589	41881	43218	37961	57655	59123	51651	51651	43664	55091	31766	36138	36118	32758	45678	38227	33829	33829	34968	38723	53166	44999	44999	48471	51278	48413	61606	54000	53127	44296	31327
Nợ dài hạn###Long term Liabilities	752	708	708	418	950	950	1596	3483	4195	4428	4428	5765	5765	4428	5789	5789	8536	12036	12036	14493	15126	4029	2996	2996	2523	2523	3321	390	390	536	0	0	0	0	0	0	2000	2000	14294	4848	4868	4416
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	163656	160116	160622	160622	159113	156365	157734	158679	158678	151789	149754	151351	152186	152186	151643	148321	148493	145426	145426	149807	150191	145909	142476	142486	115341	121536	125225	112599	120892	117542	115265	113708	100530	100530	96997	95503	90156	92657	115394	38816	28600	17555
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	163656	160116	160622	160622	159113	156365	157734	158679	158678	151789	149754	151351	152186	152186	151643	148321	148493	145426	145426	149807	150191	145909	142476	142486	115341	121536	125225	112599	120892	117542	115265	113708	100530	100530	96997	95503	90156	92657	115394	38816	28600	17555
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8293	8296	8249	8227	8247	8212	8212	8129	8107	8102	8067	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153988	166874	153740	153740	153597	154888	148671	156263	183688	96791	77763	53297



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q3 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	89225	105033	280447	29473	62104	94504	94367	253150	31808	39045	86372	95925	267109	43164	50520	106290	67135	258613	32622	42416	109570	74004	301225	47279	43957	130403	92449	251289	38430	44298	127927	40634	225373	27711	31597	98334	72020	215225	66415	163221	140685	114094
Các khoản giảm trừ doanh thu###Deduction revenues	738	650	1125	-523	360	679	610	677	301	0	-194	570	601	49	0	551	0	235	-505	0	740	0	651	-943	0	1557	37	2449	-1346	805	2987	2	1856	4951	0	1193	0	0	0	0	0	30
Doanh thu thuần###Net Sales	88487	104383	279322	29996	61744	93825	93757	252472	31506	39045	86566	95355	266508	43114	50520	105739	67135	258378	33128	42416	108830	74004	300574	48222	43957	128847	92412	248840	39776	43492	124940	40632	223518	22759	31597	97142	72020	215225	66415	163221	140685	114064
Giá vốn hàng bán###Cost of goods sold	78903	90672	244201	26299	52142	82849	82911	220304	27298	32856	74440	85709	232421	39535	42246	92285	58354	222660	29892	32757	94592	65419	259523	41829	38114	111276	81011	211074	33679	36800	109686	30907	183409	15271	26224	83397	58517	184389	61790	133345	123129	102328
Lợi nhuận gộp###Gross profit	9585	13711	35121	3696	9602	10977	10846	32168	4208	6189	12126	9646	34088	3579	8273	13454	8781	35718	3236	9659	14238	8585	41051	6393	5843	17571	11401	37766	6097	6692	15254	9725	40108	7488	5373	13745	13503	30836	4625	29875	17556	11736
Doanh thu hoạt động tài chính###Financial activities Revenues	256	51	179	2	86	90	1	91	12	3	73	3	49	3	1	41	4	17	5	2	4	6	34	6	2312	12	8	11	3	3	3	3	20	2	4	8	6	24	9	28	29	31
