CAN DOI KE TOAN	 2019	 2018	 2017	 2016
Tài sản ngắn hạn###Current Assets	119799	100389	102036	106798
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	23231	19870	23019	47101
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	34000	41580	31640	31600
Các khoản phải thu ngắn hạn###Short term Account Receivables	58852	35306	44940	25145
Hàng tồn kho###Inventory	3181	3234	1993	2515
Tài sản ngắn hạn khác###Other Current Assets	535	399	444	437
Tài sản dài hạn###Non-current Assets	39147	40211	43058	43522
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0
Tài sản cố định ###Fixed assets	38025	39868	42870	43346
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-56320	-54538	-51411	-46662
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0
Lợi thế thương mại	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1122	342	188	176
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	158947	140599	145094	150320
Nợ phải trả ###Liabilities	37404	38345	44204	53040
Nợ ngắn hạn###Short term Liabilities	19046	17217	19226	24139
Nợ dài hạn###Long term Liabilities	18358	21128	24978	28901
Dự phòng nghiệp vụ	0	0	0	0
No khac	0	0	0	0
Vốn chủ sở hữu ###Owners equity	121543	102254	100890	97280
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	30718	30718	30718	30718
Vốn chủ sở hữu ###Owners equity	90825	71537	70172	66563
Lợi ích của cổ đông thiểu số	30718	30718	30718	30718
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	150328	125448	133543	125467
Các khoản giảm trừ doanh thu###Deduction revenues	0	1	0	0
Doanh thu thuần###Net Sales	150328	125447	133543	125467
Giá vốn hàng bán###Cost of goods sold	105429	89069	93578	91059
Lợi nhuận gộp###Gross profit	44899	36379	39965	34408
Doanh thu hoạt động tài chính###Financial activities Revenues	2141	1900	2059	1622
Chi phí tài chính###Financial Expenses	1094	1213	1333	1456
Chi phí bán hàng###Selling Expenses	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	14850	10655	11531	9876
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	31096	26410	29161	24697
Thu nhập khác###Other incomes	50	412	618	4
Chi phí khác###Other Expenses	37	171	781	0
Lợi nhuận khác###Other profits	13	241	-162	3
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	31109	26651	28998	24701
Chi phí thuế TNDN###Corporate Income Tax Expenses	6511	5354	5874	4955
Chi phí thuế TNDN###Corporate Income Tax Expenses	6511	5354	5874	4955
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	24598	21297	23124	19745
---Cac Chi So Tai Chinh---				
EBITDA	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	23.91	24.09	0.00	0.00
