CAN DOI KE TOAN	 2019	Q2 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	90878	93933	93311	93311	99234	90988	87684	87687	85491	81585	77939	76986	76679	71368	65782	59836	61237	61237	63160	60560	58933	62499	62500	59675	61264	64449	68289	68289	65310	64695	72639	69324	60820
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13224	15422	10577	10577	10082	17033	8066	8066	11071	8874	7823	4177	4177	7896	9442	5886	8110	8110	10955	11754	5296	9723	9723	34394	38758	46334	50643	50643	53074	50358	57772	24708	27606
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	51140	57028	58491	58491	71372	55995	59291	59291	57764	54294	46009	54409	54409	47795	39849	35849	38963	38963	37409	33409	37324	39324	39324	10000	10000	4000	4000	0	0	0	0	25691	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	25583	20530	23794	23794	17721	17640	19784	19787	16557	18239	23987	18131	17471	15498	16363	18017	14028	14028	14709	15300	16133	13217	13218	15056	11849	13855	12903	12903	12108	14198	14550	18892	14768
Hàng tồn kho###Inventory	253	349	249	249	18	46	104	104	33	29	35	49	49	38	34	44	53	53	45	37	40	51	51	40	42	20	42	42	74	40	29	34	25
Tài sản ngắn hạn khác###Other Current Assets	680	604	201	201	41	275	438	438	65	148	84	220	573	141	94	41	84	84	42	59	139	184	184	184	615	240	701	701	55	100	288	0	0
Tài sản dài hạn###Non-current Assets	22543	15021	19112	19112	12592	13618	19121	19121	16330	18679	21482	25459	25004	17271	20373	22226	25354	25354	22848	23451	23482	24231	24231	22182	23209	16254	18557	18557	18881	23650	24367	15157	12932
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	20945	13746	17869	17869	12436	13319	18701	18701	16207	18440	21179	24982	25000	17185	19976	20838	23837	23837	19847	21660	20856	24231	22576	20620	14115	16254	18557	18557	18881	23650	24367	10920	11332
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-96061	-96269	-92146	-92146	-90909	-90031	-84686	-84686	-82528	-79532	-76811	-73026	-73009	-76010	-73203	-71058	-68094	-68094	-63797	-61887	-58303	-56833	-56833	-57695	-55043	-53219	-50988	-50988	-49167	-44142	-35214	-30568	-26618
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1241	-1241	-1241	-1241	-1241	-1236	-1200	-1200	-1181	-1163	-1145	-1126	-1126	-1163	-1126	-1090	-1053	-1053	-1021	-1021	-1021	-1021	-1021	-1013	-983	-950	-879	-879	-791	-529	-358	321	-321
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600
Tài sản dài hạn khác###Other long term assets	1400	441	1243	1243	156	299	421	421	123	239	303	477	4	86	392	384	512	512	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	113421	108953	112423	112423	111826	104607	106805	106808	101821	100264	99421	102445	101682	88639	86154	82062	86592	86592	86009	84011	82414	86730	86731	81857	84474	80704	86846	86846	84191	88345	97006	84481	73753
Nợ phải trả ###Liabilities	25164	25310	25206	25206	27670	21773	22069	21941	19045	18356	11546	15492	14569	14971	13851	11173	16648	16648	13234	12382	11662	16787	15957	10042	13829	10251	16903	16903	12183	19237	32031	27227	27413
Nợ ngắn hạn###Short term Liabilities	19721	20817	20680	20680	23488	17779	18616	18470	16419	15730	8921	12866	11978	14475	12916	10265	15872	15872	12788	12248	11518	16642	15826	10011	13798	10220	16872	16872	12153	19031	30834	25955	26481
Nợ dài hạn###Long term Liabilities	5443	4493	4526	4526	4183	3995	3453	3471	2625	2625	2625	2625	2591	497	936	907	776	776	446	134	144	144	131	31	31	31	31	31	31	206	1197	1273	932
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	88258	83643	87217	87217	84156	82833	84736	84867	82776	81908	87874	86954	87113	73668	72303	70890	69943	69943	72775	71629	70752	69943	70774	71815	70645	70453	69943	69943	72008	69108	64975	57254	46339
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	88258	83643	87217	87217	84156	82833	84736	84867	82776	81908	87874	86954	87113	73668	72303	70890	69943	69943	72775	71629	70752	69943	70774	71815	70645	70453	69943	69943	72008	69108	64975	57254	46339
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	Q2 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	148348	34416	132081	41802	28684	34948	26648	102372	489631	23335	26480	23745	98048	26563	23462	24478	22944	93113	21870	24123	19793	84533	26040	18534	21053	18906	86113	25562	15070	89198	100394	91972	102305
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	148348	34416	132081	41802	28684	34948	26648	102372	489631	23335	26480	23745	98048	26563	23462	24478	22944	93113	21870	24123	19793	84533	26040	18534	21053	18906	86113	25562	15070	89198	100394	91972	102305
Giá vốn hàng bán###Cost of goods sold	108525	26280	97762	28255	22546	26709	20251	77639	238971	18161	19625	18337	72928	18918	17975	17819	17650	69192	16197	18412	14232	62480	18063	14096	16563	13758	62008	17605	12080	60169	61055	57237	63515
Lợi nhuận gộp###Gross profit	39823	8135	34320	13547	6137	8239	6397	24733	250660	5174	6855	5409	25119	7645	5487	6659	5294	23921	5674	5711	5561	22053	7977	4438	4490	5148	24105	7957	2990	29029	39339	34735	38790
Doanh thu hoạt động tài chính###Financial activities Revenues	3936	701	4080	1779	1448	576	277	3305	25354	693	671	10	1763	1385	117	202	60	2381	14	350	16	2668	1041	448	489	690	3427	911	860	4916	5335	2633	1652
