CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	135572	68463	118157	118709	191766	175805	171392	176636	176636	296631	241053	224597	228888	228857	304432	219659	169786	149706	148903	200741	128124	122301	149954	149730	176628	102287	201589	228628	280020	190303	370679
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	71314	12788	52595	52595	26600	47418	54656	37260	37260	101040	93878	96749	144632	144632	166476	55931	28116	57891	57891	67771	38205	27813	51683	51683	30328	9094	7748	81146	60207	55440	109355
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	59224	49773	62080	62300	165007	125778	113786	137207	137207	193221	144440	125685	81974	81944	136099	161305	139047	89106	88940	129759	86937	91417	95733	95598	143341	89069	185337	135313	211022	113457	139714
Hàng tồn kho###Inventory	1018	1192	1190	1190	159	1893	1869	1750	1750	1732	1744	1886	1872	1872	1651	2272	2301	2318	1681	2727	2716	2782	2263	2263	2816	2836	2809	2788	2582	2287	2031
Tài sản ngắn hạn khác###Other Current Assets	4016	4711	2291	2623	0	716	1081	418	418	638	991	277	410	410	206	150	322	391	391	485	266	289	275	186	143	1287	695	4381	6209	19119	119578
Tài sản dài hạn###Non-current Assets	2082264	2132298	2159282	2159536	3438013	2224092	2258345	2300232	2291812	2295025	2337183	2368496	2412213	2407677	2421043	2464145	2509565	2554047	2554050	2599570	2644445	2705834	2727079	2727079	2763832	2805557	2846079	2889353	3067492	2739640	2210955
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	595976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2058281	2100640	2135177	2130548	14896	2176704	2219780	2271031	2264326	2276980	2322818	2328530	2374014	2369571	2414816	2457753	2503098	2547493	2547430	2592753	2637595	2682183	2705571	2705571	2750725	2795879	2840993	2886987	3065519	484720	553428
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1417863	-1366401	-1343159	-1343028	-23042	-1256983	-1214374	-1170352	-1174341	-1128948	-1082958	-1037131	-991669	-991566	-946220	-900865	-855537	-810234	-810231	-764889	-719470	-674793	-629618	-629618	-584488	-539359	-494231	-449088	-268738	-112413	-76563
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-890	-860	-829	-829	-257	-766	-734	-702	-700	-669	-637	-609	-587	-587	-569	-552	-534	-517	-517	-498	-481	-458	-433	-433	-408	-383	-357	-332	-252	-49	-27
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1199	1199	1199	1199	1199	1199	1199	823	989	1950
Tài sản dài hạn khác###Other long term assets	21940	22013	22062	22062	161	22264	22602	19335	19335	1250	979	977	995	995	4072	4235	4359	4471	4471	4447	4580	4832	4759	4759	1051	1071	1107	1167	1151	28	2320
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2217836	2200761	2277439	2278246	3629779	2399897	2429737	2476868	2468448	2591656	2578237	2593092	2641101	2636535	2725475	2683804	2679351	2703753	2702953	2800311	2772569	2828135	2877033	2876809	2940460	2907844	3047668	3117981	3347512	2929944	2581634
Nợ phải trả ###Liabilities	976425	955661	1032506	1032489	2366749	1187830	1140244	1212138	1207306	1254924	1328635	1374250	1436017	1430878	1491746	1552230	1564576	1596054	1595773	1659032	1694900	1752903	1774022	1773895	1900468	1921492	2001930	2075337	2325341	2029446	1838534
Nợ ngắn hạn###Short term Liabilities	414613	455877	558014	557998	1890676	657226	534347	538414	533582	460584	420004	397474	408956	407744	399250	371884	338879	371042	369180	344262	323508	313060	410197	408723	479045	435653	421090	458381	399112	513418	518613
Nợ dài hạn###Long term Liabilities	561812	499785	474492	474492	476073	530604	605897	673724	673724	794340	908631	976776	1027061	1023134	1092496	1180346	1225697	1225012	1226593	1314770	1371393	1439843	1363825	1365171	1421423	1485839	1580840	1616955	1926229	1516029	1319921
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1241411	1245100	1244933	1245756	1263031	1212067	1289494	1264730	1261142	1336733	1249602	1218842	1205084	1205656	1233730	1131574	1114775	1107699	1107180	1141279	1077669	1075232	1103011	1102915	1039992	986352	1045738	1042644	1022171	900498	743100
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1686	1915
Vốn chủ sở hữu ###Owners equity	1241411	1245100	1244933	1245756	1263031	1212067	1289494	1264730	1261142	1336733	1249602	1218842	1205084	1205656	1233730	1131574	1114775	1107699	1107180	1141279	1077669	1075232	1103011	1102915	1039992	986352	1045738	1042644	1022171	898811	741185
