CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q3 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	190459640	178254334	180523604	180523604	170460733	163570121	154507266	164510936	164510936	149491773	149877139	141154811	133324780	133324779	120608858	125943368	114746203	104309334	93574548	73024252	62512285	57571147
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2298266	1892955	2004563	2004563	2039463	1949797	1997844	2096395	2096395	1828908	2151586	1649501	1511629	1511629	1272228	1361279	1409281	1636010	1376202	1472407	818918	632025
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	29587321	25628056	33819405	33819405	29789877	25324495	24953126	40622818	40622818	28090617	28760306	24831821	28476822	28476822	23846864	28706107	26194363	21369349	18749664	15698605	20184381	13606141
Các khoản phải thu ngắn hạn###Short term Account Receivables	158574053	150733323	144699636	144699636	138631393	136295829	127556296	121791723	121791723	119572248	118965247	114673489	103336329	103336328	95489766	95875982	87142559	81303975	73448682	55853240	41508986	43332981
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn###Non-current Assets	52007109	53522950	48961158	48961158	46790423	46727350	48058239	51553220	51603220	49893739	41424849	49222496	56012491	56012480	53988412	43587970	48606046	45988001	45301306	33468605	37012319	28656415
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	940810	901646	903562	903561	859406	858226	1607734	1615456	1615456	1511330	1508844	1522636	1526617	1526618	1305254	1315165	1336057	1351960	767947	805214	527397	590246
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-685281	-665979	-647084	-647084	-631829	-618513	-620336	-602692	-602692	-596381	-587281	-568221	-552024	-552024	-540484	-521122	-500302	-478501	-461742	-392757	-323952	-245097
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-212396	-207292	-204457	-204457	-201944	-199401	-197011	-194214	-194214	-191358	-188121	-184631	-181066	-181065	-177076	-172118	-166651	-160972	-155661	-137592	-112632	-79435
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	44068	44083	44098	44098	44108	51892	51923	51955	51955	51985	52016	52048	45769	45769	58412	58444	89585	88381	73662	64838	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	40058314	40714612	36208715	36208715	38193050	36826805	39007767	42859844	42859844	41055519	33198117	39766001	46184253	46184253	43056868	32837392	37456357	34650986	33624649	21622322	24700560	13551363
Tài sản dài hạn khác###Other long term assets	10963917	11862609	11804783	11804784	7693859	8990427	7390815	7025965	7075965	7274905	6665872	7881811	8255852	8255840	9567878	9376969	9724047	9896674	10835048	10976231	11784362	14514806
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	242445051	231773724	229477262	229477262	217245156	210291471	202562505	216057406	216107406	199380170	191293246	190374307	189334271	189334259	174594270	169528338	163349249	150294272	138872460	106485935	99524603	86226641
Nợ phải trả ###Liabilities	219751209	210385915	209096146	209096146	197651382	191687896	184849346	199229266	199279266	183425608	174717115	174595050	174575165	174575168	163307432	158879493	153101799	140351629	129217316	96644256	90325761	77627093
