CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	400779	361803	368945	327166	353153	353321	345830	343011	351347	354989	376314	346223	337923	315574	319014	321466	330870	331911	436448	422154	316976	427584	431404	434786	412962	434151	435186	434901	436310	272285	266118	250734	248840	250007	218742	257867	325786	171070	213556
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	76073	39764	48066	31066	47231	27904	26392	18636	18636	17203	35099	37260	23943	23943	26428	23187	80832	76728	76728	75450	73025	59846	42403	42403	36859	59586	63484	60003	60003	27497	12931	6279	3507	3507	846	8143	21096	11604	24860
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	20000	0	17000	0	0	0	0	0	0	0	32500	35000	35000	45000	45000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	80270	58474	74419	32641	47914	48664	44723	53638	62529	73585	72277	71964	72096	72096	51419	53631	48018	50224	52544	46523	47401	49762	71771	75093	54903	53386	53445	58033	59796	101345	109508	98850	101581	102748	72089	87281	176516	85957	98238
Hàng tồn kho###Inventory	244195	243198	245307	245307	254686	276425	273841	270181	270181	264183	268938	204378	206724	184353	195544	199410	201401	204747	306930	300103	196494	317860	317221	317257	320016	319944	316827	315954	315954	143361	143555	144527	142838	142838	143896	158358	126719	70766	84378
Tài sản ngắn hạn khác###Other Current Assets	241	366	1153	1153	3322	328	874	555	0	18	0	121	161	182	624	238	620	213	247	77	56	115	9	33	1184	1234	1431	912	557	82	125	1079	913	913	1911	4085	1455	2743	6081
Tài sản dài hạn###Non-current Assets	133549	141434	136316	167574	132072	129375	122801	122739	113849	110737	108554	106359	105039	127410	122197	114715	114545	110273	8090	8201	112699	10311	10469	8660	8818	14640	22302	22503	22503	30761	55443	96366	98805	96265	121616	90539	72495	75200	79068
Các khoản phải thu dài hạn###Long term Account Receivable	30179	31261	31261	62519	21851	21851	8049	8890	0	0	0	0	0	0	0	0	0	0	0	0	0	1810	1810	0	0	5654	13116	13116	13116	21173	21173	44236	44236	41696	64625	41316	0	0	0
Tài sản cố định ###Fixed assets	6794	6847	6900	6900	6953	7007	7060	7113	7113	7166	7232	7312	7447	7447	7584	7721	7874	8031	8031	8187	8344	8501	8657	8657	8814	8981	9180	9378	9378	9577	34255	52059	54484	54484	56891	49224	48591	57200	60921
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5710	-5657	-5604	-6201	-6148	-6095	-6042	-5988	-5988	-5935	-5869	-5920	-5654	-5785	-5648	-5380	-5358	-5071	-5202	-5045	-4757	-4601	-4575	-4575	-4418	-4252	-4053	-3854	-3854	-3655	-21089	-48455	-46061	-46061	-43661	-37157	-28638	-21115	-12873
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-75	-279	-248	-260	-229	-182	-140	-96	-52
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	18000	18000
Tài sản dài hạn khác###Other long term assets	33	44	57	57	67	79	84	97	97	110	123	20	24	24	22	29	44	59	59	14	15	1	2	2	4	5	6	8	8	11	15	71	86	86	100	0	0	0	146
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	534328	503237	505261	494740	485225	482696	468631	465750	465196	465726	484868	452581	442962	442984	441211	436181	445416	442184	444538	430355	429676	437895	441874	443446	421780	448791	457488	457404	458813	303046	321561	347100	347645	346272	340358	348406	398281	246270	292624
