CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	534260	583842	552841	552841	517664	497010	493422	496985	496985	523637	524184	515439	530953	530953	513494	527755	443226	358615	358615	339845	342353	318488	291005	289719	277298	288220	268597	289389	289389	279529	282329	299492	276757	276757	313762	284796	283115	263301	263462	262983	263560	283944	251247	251247	247666	226431	202181	167845	167845	153550	150523	127476	132329	132329	116395	102653	108822	142543	142543	148454	145033	129772	115763	85202
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7674	7581	9193	9193	12483	31677	15463	13859	13859	14489	14546	13777	15474	15474	15871	35962	61108	2410	2410	2770	9932	3369	7200	7200	2125	5243	2526	19923	19923	877	1417	1277	2423	2423	9741	3673	9486	3001	3001	2047	8061	23353	2326	2326	2552	4746	9447	13848	13848	8204	833	1808	7088	7088	802	1508	10110	27	27	571	4139	2014	552	1629
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	202998	323571	269877	269877	257359	158909	166868	190387	190387	207740	211519	220314	276910	276910	270741	235434	174087	180715	180715	162292	161353	145933	126697	126697	130931	126772	124080	139634	138985	150961	139184	141100	128540	128540	149022	118214	110783	103030	103030	110201	101394	107453	95858	95858	98766	101188	122990	104295	104295	87999	84110	62368	59823	59823	53152	38565	13131	24123	24123	33010	26665	26816	18604	14079
Hàng tồn kho###Inventory	323589	252690	273772	273772	247823	306424	310962	292487	292487	301407	297445	279482	238569	238569	226881	251372	208031	175490	175490	174783	171067	169186	157108	155822	144242	156204	141990	129832	129832	126969	141118	156576	145276	145276	154459	162428	162395	156856	157016	150313	150887	148243	147247	147247	138399	113768	66916	49246	49246	56871	65094	62817	64935	64935	61955	62092	85074	117830	117830	114284	113648	100365	95980	66469
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	129	252	252	0	674	1866	0	0	0	4987	0	0	0	0	0	0	0	0	0	0	0	0	649	721	610	539	518	518	540	481	450	415	415	421	3219	4896	5815	5815	7949	6730	2827	455	455	475	486	482	484	484	486	488	507	564	564	589	581	577	627	3025
Tài sản dài hạn###Non-current Assets	45573	47104	52885	52885	53277	54192	55619	56472	56472	57373	58422	59618	60573	60573	59832	61134	62410	60911	55911	55879	60614	55499	55462	55462	56303	56013	56932	51627	51627	52448	53176	54459	55645	55645	54568	53347	54232	55362	55362	54098	55318	55787	56652	56652	53809	52603	45418	35641	35641	36435	37548	38634	39782	39782	39461	32946	32729	33834	33834	35291	35752	34667	35333	19615
Các khoản phải thu dài hạn###Long term Account Receivable	491	1322	1322	1322	1322	1322	1853	1881	1881	1881	1881	1881	1891	1891	1902	1902	1902	1662	1662	1662	1662	1662	989	989	989	989	989	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	22054	23064	23938	23938	24349	25232	26138	26940	26940	27774	28756	29758	30763	30763	27668	28675	29845	27993	27993	29284	29268	24521	25618	25618	26672	27997	28974	24477	24477	25317	26271	27838	28908	28908	28035	27079	28232	21202	29183	29806	30787	31227	24791	32082	34663	33485	26490	27120	27120	27810	28912	30036	31223	31223	30858	32002	31762	32863	32863	33893	34428	32677	33423	18143
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-58509	-54808	-54137	-54137	-53469	-52790	-52087	-49465	-49465	-48878	-52853	-52181	-50799	-50799	-49379	-48795	-50135	-49146	-49146	-48225	-47295	-47742	-49591	-49591	-48621	-47821	-46839	-45903	-45903	-44894	-43898	-42969	-42001	-42001	-41923	-40939	-41997	-40946	-40946	-40062	-38965	-37843	-36690	-36690	-37673	-36493	-35326	-34165	-34165	-32991	-31824	-30651	-29465	-29465	-28320	-27175	0	-25552	0	0	0	0	-20918	-17706
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	-2907	-2704	-2704	-2501	-2297	-2094	-3886	-3886	-3558	-3230	-2902	-3271	-3271	-3676	-3255	-2835	-2468	-2468	-2101	-1735	-1418	-1201	-1201	-984	-767	-551	-417	-417	-325	-233	-141	-49	-49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-733	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-55	-53	-50	-50	-48	-45	-42	-39	-39	-37	-34	-31	-28	-28	-26	-23	-20	-17	-17	-15	-12	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	20698	20698	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	20600	20600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	25600	23420	23420	23420	23420	23420	17920	17920	17920	7680	7680	7680	7680	7680	7680	7680	7680	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	2329	2020	2024	2024	2006	2038	2028	2052	2052	2118	2185	2379	2319	2319	2206	2500	2607	2289	2289	2433	2578	2501	2387	2387	2231	615	687	551	982	1112	1243	1021	1137	1137	933	668	400	579	579	872	1111	1140	1150	1150	1225	1198	1008	841	841	946	956	918	879	879	923	944	967	971	971	1398	1324	1990	1909	1472
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	579833	630946	605726	605726	570941	551202	549041	553457	553457	581010	582607	575056	591526	591526	573326	588889	505637	419526	414526	395724	402967	373986	346467	345182	333601	344233	325529	341016	341016	331976	335505	353950	332402	332402	368330	338143	337347	318663	318823	317080	318879	339731	307899	307899	301475	279034	247599	203486	203486	189985	188071	166110	172111	172111	155856	135599	141551	176377	176377	183745	180785	164440	151095	104818
Nợ phải trả ###Liabilities	531802	582993	557794	557794	523028	503322	501179	505627	505649	504224	505823	498279	514784	514784	496589	512439	429260	343196	338196	320367	327661	298733	270490	269953	258484	269167	250486	266011	266011	257071	260687	279215	257708	257708	293775	263669	261222	243090	243250	241847	243788	261073	229596	229596	225754	203677	166813	125682	125682	115776	117226	94837	103608	101762	85926	68811	74505	112327	112327	121032	124007	107638	98116	96863
Nợ ngắn hạn###Short term Liabilities	531802	582993	557794	557794	523028	503322	500949	504942	504964	503094	504218	496209	512131	512131	493180	508293	424393	338713	333713	315224	320088	295458	267215	266678	253310	263993	245312	264262	264262	254515	258131	276658	255151	255151	291949	263669	261222	243090	243090	241761	243698	260977	229497	229497	225715	203630	166763	125630	125630	115765	117198	94802	103557	101711	84511	67395	73089	110912	110912	118276	121252	104229	94698	88393
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	230	685	685	1130	1605	2070	2653	2653	3408	4146	4867	4483	4483	5143	7573	3275	3275	3275	5174	5174	5174	1749	1749	2557	2557	2557	2557	2557	1825	0	0	0	160	86	90	96	100	100	39	47	50	53	53	11	27	35	51	51	1416	1416	1416	1416	1416	2756	2756	3409	3418	8470
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	48031	47953	47932	47932	47913	47880	47862	47830	47808	76786	76783	76778	76742	76742	76737	76450	76377	76330	76330	75356	75305	75254	75978	75228	75117	75066	75043	75005	75005	74905	74817	74735	74694	74694	74555	74474	76125	75573	75573	75234	75091	78659	78302	78302	75721	75357	80786	77804	77804	74209	70845	71273	68503	70350	69930	66788	67046	64050	64050	62713	56777	56801	52980	7955
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1846	1918	1986	773	847	847	847	970	126	0	0
Vốn chủ sở hữu ###Owners equity	48031	47953	47932	47932	47913	47880	47862	47830	47808	76786	76783	76778	76742	76742	76737	76450	76377	76330	76330	75356	75305	75254	75978	75228	75117	75066	75043	75005	75005	74905	74817	74735	74694	74694	74555	74474	76125	75573	75573	75234	75091	78659	78302	78302	75721	75357	80786	77804	77804	74209	70845	71273	68503	68503	68012	64802	66273	63203	63203	61866	55807	56676	52980	7955
