CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	365464	359509	410667	410702	451968	404869	482952	487482	487266	451896	443219	360856	364398	364353	382497	453518	336029	321430	321486	322810	314520	362679	352733	395373	343526	339482	245085	228362	261596	121918
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	79026	76125	78635	78635	170366	111521	188579	155737	155737	183450	183547	132173	142884	142884	148741	134680	131090	106326	106326	94937	57834	85619	59513	45328	86347	53276	21697	2990	15676	1491
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	51000	61432	58432	58432	91300	98670	90600	67784	67784	41427	41472	42499	16988	16988	0	0	0	2037	2037	2037	29710	88653	36706	50871	24063	7000	0	0	3000	2000
Các khoản phải thu ngắn hạn###Short term Account Receivables	74590	73726	128177	128177	37552	42465	49241	118808	118808	55038	89363	69051	68032	67987	91493	123744	51377	61906	61906	62518	57472	12660	59321	53339	9705	26499	22792	13440	21816	18086
Hàng tồn kho###Inventory	158427	145505	143465	143465	148740	147271	148742	138134	137918	163156	126927	115774	134855	134855	138813	191847	152676	150316	150316	162700	168299	174914	194555	237449	214517	248311	193595	202223	209955	99925
Tài sản ngắn hạn khác###Other Current Assets	2422	2721	1959	1994	4010	4941	5790	7018	7018	8825	1911	1358	1640	1640	3449	3247	885	846	902	619	1205	833	2639	8386	8894	4396	7002	9709	11149	416
Tài sản dài hạn###Non-current Assets	442018	451713	402219	401798	380426	384918	232643	187590	187600	188733	208396	215695	196213	196217	215547	168673	184906	186810	186811	186283	190397	195574	200146	199795	255910	262491	294052	329920	341157	316138
Các khoản phải thu dài hạn###Long term Account Receivable	76935	76935	21825	21825	21825	21825	21825	21825	21825	21825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	20	23535	57223	45355	7540
Tài sản cố định ###Fixed assets	19768	21350	22966	22966	24860	26799	25864	27995	27995	27257	29146	29186	31170	31170	32780	34196	36322	37357	37357	39494	41748	43514	45801	44670	45149	43092	47375	54671	25280	27398
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-67893	-66237	-64578	-64578	-62684	-60603	-58370	-56238	-56238	-54176	-52151	-50129	-48145	-48145	-46127	-44127	-41039	-38882	-38882	-36664	-34410	-32137	-29851	-30981	-29753	-27106	-21605	-15725	-12420	-9304
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	16265	16596	17075	17075	17593	19272	18354	20593	20593	22294	24552	23354	17763	17763	19997	22237	23800	26024	26024	28248	30528	32872	35251	35085	30984	39154	45137	55107	65142	69048
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	279561	287463	291972	291586	268059	267889	114628	64988	64998	64920	64782	64586	67881	67882	67813	67714	80466	78185	78186	76087	75980	75942	76032	76055	136022	135782	134822	134822	134822	182142
Tài sản dài hạn khác###Other long term assets	42376	42427	43276	43241	43250	44530	45455	45667	45667	46288	47608	60736	38651	38651	29428	30120	29999	30925	30925	28183	28245	28888	28752	29674	28471	29253	27992	28097	31446	27016
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	807482	811222	812886	812500	832394	789787	715595	675072	674866	640630	651616	576551	560611	560570	598044	622191	520935	508241	508297	509093	504918	558253	552879	595168	599436	601973	539137	558282	602753	438056
Nợ phải trả ###Liabilities	245818	282839	295455	295455	300934	276114	208202	184488	145309	169035	196798	118811	83851	83817	135991	173746	123147	104081	78134	94139	103918	160568	143018	180062	228446	242447	162639	179717	233279	92987
Nợ ngắn hạn###Short term Liabilities	119068	151778	108551	108642	176681	151065	97857	118068	77467	127076	155559	76373	47981	51436	108776	146532	95933	76867	50920	64970	75769	131399	113849	111177	150740	154413	113042	150189	129969	77086
Nợ dài hạn###Long term Liabilities	126750	131062	186904	186812	124253	125049	110345	66420	67842	41959	41239	42438	35870	32381	27214	27214	27214	27214	27214	29169	28149	29169	29169	68884	77706	88034	49597	29528	103310	15901
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	561664	528382	517431	517045	531460	513673	507392	490584	529557	471595	454817	457740	476760	476753	462053	448445	397788	404159	430164	414953	401000	397685	409862	415107	370990	359526	376498	353922	369474	345069
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	561664	528382	517431	517045	531460	513673	507392	490584	529557	471595	454817	457740	476760	476753	462053	448445	397788	404159	430164	414953	401000	397685	409862	415107	370990	359526	376498	353922	369474	345069
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24643	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



