CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	502584	464078	611171	611217	525659	540477	529354	597258	597259	560695	499324	508661	563981	563981	502702	460096	473816	585340	582813	481140	506150	503759	520542	520544	467613	487668	473629	495091	495191	422021	467554	397661	425339	425053	339378	371198	336657	377675	379348	327077	293175	313768	340438	339599	282810	281113	269972	322919	322919	259994	254352	261086	284530	284530	192693	185627	198732	196426	168857	158903
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	30978	37208	57718	57718	50825	52496	55116	89934	99912	60846	53883	50830	77138	77138	60706	42539	43231	59754	59754	43195	46275	42531	54957	54957	41227	53467	50285	45283	45283	48581	51781	50357	40095	40095	44563	65727	54680	84425	84425	49408	35827	50436	51338	51338	38551	42672	35072	57835	57835	48864	42365	33066	43538	43538	32569	38648	57193	41683	39896	28053
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	18500	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	700	1000	1650	1650	1350	0	900	0	3786	2699	4158	4592	5872	5321	5500	5500	5500	5500	11337	12217	12217	10600	10025	5514	7942	7942	9000	9000	0	2000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	102414	98660	154249	154214	117020	119861	125364	154398	154349	113922	125852	118234	145286	145226	113274	121825	116752	138827	136326	97843	108320	106590	114607	114580	111568	116069	88511	112706	112806	98578	104861	89282	103703	103356	85267	86839	84777	75471	79310	76560	75764	86882	71523	70860	75692	80822	73726	78594	78594	76020	77920	66052	52504	52504	55853	57567	60046	43457	47181	36147
Hàng tồn kho###Inventory	348232	315981	384027	384027	343501	352465	334774	339549	339549	379466	316625	335546	340418	340418	325889	294381	312867	380804	380804	337448	348340	348522	345008	345008	308884	313942	317806	320561	320561	263124	296476	245435	266975	267038	199723	206055	186260	206633	203221	186428	166476	166214	200900	200724	157116	146269	142045	164057	164057	117688	115150	146690	175079	175079	87646	72629	73716	99929	80263	90227
Tài sản ngắn hạn khác###Other Current Assets	2461	2229	5177	5258	4314	5655	4100	3377	3448	6461	2965	4052	1138	1198	2833	1351	967	5955	5929	2655	3214	6116	5970	6000	5933	4190	17027	15841	15841	10738	12786	10937	13214	13214	8924	12577	7154	8446	8235	10089	9236	4915	11178	11178	5951	5850	7792	10216	10216	6822	8893	9764	5467	5467	7625	7783	7777	9357	1517	4476
Tài sản dài hạn###Non-current Assets	117363	119894	122248	122248	121020	119509	118336	113994	113970	111738	105819	108302	105834	105834	108537	107445	106223	106591	106917	108269	105891	104588	100244	100244	98261	96493	96387	98127	98094	99219	103322	103847	103439	103437	103788	104070	105836	108383	108495	103912	103300	101685	103324	103011	102695	99078	100764	94711	94711	87392	86142	81872	69314	69314	60565	67293	59027	56907	55804	53992
Các khoản phải thu dài hạn###Long term Account Receivable	2491	2491	2552	2552	2463	2418	2279	2247	2247	2424	2070	2070	2068	2068	2068	2068	2068	2068	0	0	2068	0	1603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	86
Tài sản cố định ###Fixed assets	97627	99687	101761	101761	100055	99222	101223	101576	101178	100202	95362	97004	95556	95556	97019	92530	93840	95630	96201	97863	94840	92740	90296	90296	88550	85840	87103	88800	88706	88819	93015	92338	94629	94650	94595	94506	96085	98230	98262	91378	90835	88816	90088	90088	89688	86468	87387	80933	85160	77242	75393	66381	62178	62178	57778	58695	53042	53715	52568	50098
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-100181	-98184	-96920	-96920	-94910	-92945	-91113	-89163	-89311	-87734	-86199	-84317	-82544	-82874	-81062	-80003	-78252	-76484	-78488	-76679	-75210	-73753	-72046	-72046	-70367	-68749	-67158	-65530	-65563	-64069	-63066	-61325	-59558	-59701	-58882	-58220	-59680	-58344	-58344	-56050	-54343	-52557	-50756	-50756	-49003	-47338	-46135	-44479	-44479	-43287	-41805	-26334	-26414	-26414	0	0	0	-22669	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1598	-1577	-1556	-1556	-1535	-1514	-1493	-1472	-1472	-1451	-1431	-1410	-1389	-1389	-1368	-1347	-1326	-1305	-1305	-1264	-1237	-1221	-1213	-1213	-1204	-1196	-1187	-1179	-1179	-1170	-1193	-1182	-1171	-1149	-1159	-1091	-1083	-1076	-1076	-1055	-1050	-1045	-1039	-1039	-1034	-992	-930	-867	-867	-807	-746	-685	-620	-620	0	0	0	-244	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	48	27	67	63	84	126	0	126	168	189	210	210	231	252	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	4876	5193	5193	5193	5177	5200	5179	5140	5140	4559	4559	4645	4645	4645	4573	4777	4745	5189	5189	6307	6307	6307	6307	6307	6217	8427	8313	8313	8313	8237	8237	8051	8051	8051	8126	8306	8308	8261	8261	11112	10825	11318	11749	11809	12016	11755	12892	8968	8968	9297	9828	14838	6383	6383	1741	7498	4698	1709	2916	1440
Tài sản dài hạn khác###Other long term assets	11275	11428	11357	11357	11658	11348	8523	4148	4522	3589	2761	3516	2587	2587	2811	2490	1738	1546	3369	3276	1146	2785	1302	2905	2758	694	910	1014	1014	1056	993	731	759	735	1062	1252	1417	1811	1905	1359	1556	1446	1361	988	845	686	485	373	373	621	670	653	753	753	1045	1101	1287	1483	244	2369
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	619947	583972	733419	733465	646679	659986	647690	711252	711229	672433	605143	616963	669815	669815	611239	567541	580039	691932	689730	589409	612041	608347	620785	620788	565874	584161	570016	593218	593285	521239	570875	501508	528777	528490	443166	475267	442493	486058	487843	430989	396476	415452	443762	442611	385505	380191	370736	417630	417630	347386	340495	342958	353844	353844	253258	252920	257759	253333	224661	212895
Nợ phải trả ###Liabilities	433378	401613	551427	550464	457499	473940	464843	531366	531361	484940	422286	436594	495832	495827	429941	390568	400286	519405	516051	410435	433337	434045	451845	451986	390461	409927	406930	436094	437672	354338	393023	331002	365284	364951	283537	315915	285898	327056	329817	275515	239524	269522	298028	297101	241570	238273	225835	283285	283285	217473	210526	223826	242024	237136	151345	162379	165206	167331	154661	142809
Nợ ngắn hạn###Short term Liabilities	432928	400363	549877	550014	457049	473490	464843	531366	531361	484940	422286	436189	495427	495422	429626	390253	399971	519090	514566	408899	431274	432283	450263	450405	388831	408359	405235	434361	435939	352484	391067	328970	363050	362717	281207	313378	283339	324428	325632	270737	234342	264320	292720	293286	237503	234257	225548	283089	283089	217301	210429	223754	242022	237134	151301	162336	165032	167202	154633	141587
Nợ dài hạn###Long term Liabilities	450	1250	1550	450	450	450	0	0	0	0	0	405	405	405	315	315	315	315	1485	1536	2064	1762	1581	1581	1630	1568	1695	1733	1733	1854	1956	2032	2234	2234	2330	2536	2560	2629	4186	4779	5182	5202	5309	3815	4068	4016	287	196	196	172	97	72	2	2	43	43	174	129	28	1222
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	186569	182359	181992	183001	189180	186046	182847	179886	179868	187493	182857	180370	173983	173987	181298	176973	179753	172527	173679	178974	178704	174302	168941	168802	175413	174234	163086	150905	155613	166901	177853	170506	154522	154614	150704	150491	148157	159001	149049	149711	151108	139808	145734	139910	138588	136724	139581	134345	129295	125108	125381	119132	111820	116708	101913	90542	92552	86002	70000	70086
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4887	1960	2079	2756	3468	0	0
Vốn chủ sở hữu ###Owners equity	186569	182359	181992	183001	189180	186046	182847	179886	179868	187493	182857	180370	173983	173987	181298	176973	179753	172527	173679	178974	178704	174302	168941	168802	175413	174234	163086	150905	155613	166901	177853	170506	154522	154614	150704	150491	148157	159001	149049	149711	151108	139808	145734	139910	138588	136724	139581	134345	129295	125108	125381	119132	111820	111820	99953	88463	89797	82534	70000	70086
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6354	6219	6219	6400	9199	8956	8971	8925	8925	8861	8437	8836	8976	5763	5844	6122	5978	5599	5346	5193	5320	5051	5051	4806	4588	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570875	501508	528777	0	443166	475267	442493	486058	487843	430989	396476	415452	443762	442611	385505	0	370736	417630	417630	347386	340495	342958	353844	0	253258	252920	257759	253333	224661	212895



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1034643	1112513	4728814	1275796	1155966	1151005	1142322	4656850	1261997	1085918	1145821	1163063	4286164	1177086	1051349	1048925	1008887	4027211	1087836	953890	986439	996488	4074238	1071129	1005501	1015677	979373	4377385	1073057	1108445	1103812	1068189	4281775	1127216	1051933	1063257	1040309	4405139	1034066	1083767	1099811	1188731	4249837	1128471	1077711	1014834	1018659	3587890	975102	874147	888305	850331	2890273	790915	733684	1355694	658657	2973059	2073253	1948694
Các khoản giảm trừ doanh thu###Deduction revenues	18	0	37	11	18	8	0	80	6	16	40	17	245	0	119	4	123	977	520	44	407	6	678	0	432	151	95	173	7	35	86	45	950	339	261	153	197	1013	496	145	169	203	907	114	207	74	25	444	81	223	67	74	79	4	59	0	0	53	556	475
