CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	278809	278927	319391	324933	259522	283353	254662	93154	93154	70976	78973	61259	78069	78885	67455	68645	144364	74164	128377	76545	79186	124047	120989	148455	128633	126925	134462	115254	115253	114526	121579	48279	38838	38838	39819	42804	41626	126618	140303
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6947	7868	57575	57575	15137	3379	2024	22484	22484	3029	12786	15099	15520	15520	16206	17388	15758	16763	16763	27037	26160	28479	50128	50128	117986	118342	120461	101507	101507	48303	56194	29697	20388	20388	21259	25165	7774	39264	52863
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	240412	248412	229000	229000	216000	264000	234000	33000	33000	33000	33000	23000	41000	41000	33000	33000	28000	45000	96000	43000	46000	87000	63000	63000	0	0	0	0	0	48500	48500	0	0	0	0	0	20000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	25557	16974	29451	35650	27796	15296	17856	33251	33251	31191	30735	18998	18887	19190	16409	16457	98514	11915	15128	5658	6558	7854	7406	34873	9893	7820	1923	1072	1072	1293	767	1014	978	978	268	322	340	80981	81035
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	85	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11993	11993	11993	15375	15375	15375	15375	15375	15375	15375	8842	3112	1464
Tài sản ngắn hạn khác###Other Current Assets	5894	5674	3365	2708	589	678	782	4334	4334	3755	2452	4162	2662	3175	1839	1800	2092	487	487	850	468	714	454	454	754	764	85	682	681	1055	743	2192	2096	2096	2916	1941	4670	3261	4942
Tài sản dài hạn###Non-current Assets	396973	395174	353080	353020	371781	338433	379177	352705	352705	347257	334239	336957	321891	321891	330167	328304	249710	320088	265559	315905	313926	263371	263116	235446	234764	237414	238338	238174	238174	237320	237112	243470	238680	238680	238910	237493	236315	227401	206946
Các khoản phải thu dài hạn###Long term Account Receivable	80942	80759	80759	80759	80759	80759	80759	80677	80677	80677	80677	80677	80677	80677	87224	84149	0	84149	80323	78035	77373	76800	74813	46429	45847	47532	54790	55308	55308	48677	49607	50551	46966	46966	47909	54513	80599	0	0
Tài sản cố định ###Fixed assets	410	444	477	477	510	543	576	578	578	571	599	628	656	656	0	0	0	0	0	1	9	18	26	26	34	43	51	140948	59	67	76	84	139512	139512	139322	200	443	931	98585
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3817	-3784	-3868	-3868	-3835	-3802	-3769	-3736	-3736	-3699	-3671	-3642	-3614	-3614	-3585	-3585	-3585	-3585	-3585	-3584	-3576	-3568	-3559	-3559	-3551	-3543	-3534	-3526	-3526	-3518	-3509	-3501	-3493	-3493	-3484	-3909	-3686	-3045	-2512
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-42	-41	-29	-15
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	25319	25319	25319	25434	58319	25319	68319	68319	68319	68319	68319	71369	71469	71469	72591	74031	79389	79389	28426	79921	79921	29366	29366	29366	29584	29584	29584	29584	29584	29584	29584	35719	35719	35719	36121	34977	34380	111162	107288
Tài sản dài hạn khác###Other long term assets	0	0	4	4	18	10	11	12	12	8	11	13	16	16	19	22	16	20	281	2065	2073	2931	3848	4561	4889	6601	12601	12334	12334	18451	17953	17425	16483	16483	15558	8952	31	556	1073
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	675782	674101	672472	677953	631303	621786	633838	445859	445859	418233	413213	398216	399960	400776	397622	396949	394075	394252	393936	392450	393111	387418	384105	383901	363397	364339	372800	353428	353427	351845	358691	291749	277518	277518	278729	280298	277941	354019	347250
Nợ phải trả ###Liabilities	402658	391718	384963	377010	362663	357055	374356	185957	185957	158345	153398	140210	142007	142922	140201	139674	139187	139552	139992	138672	138784	129991	125226	127604	108156	106825	107819	88189	88189	87544	93714	30222	15540	15540	15819	16738	17242	82747	109751
Nợ ngắn hạn###Short term Liabilities	42657	31622	26804	146497	21446	15754	32988	37291	37291	10048	5989	9718	12696	22147	21522	21463	21444	22278	22718	21895	22445	21882	17556	28911	26546	24399	23932	18972	18972	17562	22866	30222	15540	15540	15819	16738	17242	82747	109531
Nợ dài hạn###Long term Liabilities	360001	360096	358159	230513	341217	341301	341368	148666	148666	148297	147409	130493	129310	120776	118679	118211	117743	117274	117274	116776	116338	108109	107670	98693	81610	82426	83886	69217	69217	69982	70847	0	0	0	0	0	0	0	220
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	273125	282383	287508	300943	268640	264731	259482	259902	259902	259888	259814	258006	257953	257854	257420	257275	254888	254700	253944	253778	254328	257427	258879	256297	255241	257513	264981	265239	265238	264301	264978	261527	261978	261978	262910	263559	260699	271272	236868
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	273125	282383	287508	300943	268640	264731	259482	259902	259902	259888	259814	258006	257953	257854	257420	257275	254888	254700	253944	253778	254328	257427	258879	256297	255241	257513	264981	265239	265238	264301	264978	261527	261978	261978	262910	263559	260699	271272	236868
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	4246	8206	54488	85397	4232	3982	2538	7038	1760	1760	1760	1760	31251	25973	1760	1760	1760	6587	1760	1760	1760	1309	8482	1092	1092	1092	1091	6918	5188	865	865	0	0	0	0	6142	68757	72301	99403
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	4246	8206	54488	85397	4232	3982	2538	7038	1760	1760	1760	1760	31251	25973	1760	1760	1760	6587	1760	1760	1760	1309	8482	1092	1092	1092	1091	6918	5188	865	865	0	0	0	0	6142	68757	72301	99403
Giá vốn hàng bán###Cost of goods sold	2198	4133	25447	52180	2328	1982	1703	4840	1156	1228	1174	1282	27330	23483	1282	1282	1282	10478	1151	2266	3901	3181	10968	2139	5621	3631	1955	9180	4886	1664	2629	0	0	0	0	5942	67590	68041	94429
Lợi nhuận gộp###Gross profit	2048	4072	29041	33218	1904	2000	835	2198	604	531	585	477	3921	2490	477	477	477	-3891	609	-507	-2142	-1872	-2487	-1047	-4529	-2540	-864	-2262	302	-799	-1764	0	0	0	0	200	1167	4261	4974
Doanh thu hoạt động tài chính###Financial activities Revenues	4412	4112	16724	4410	4785	6940	590	7066	2581	266	3726	493	5929	630	393	3969	740	4746	1029	1163	334	1450	5357	1917	662	1285	1380	7488	1803	1235	3920	470	1452	266	259	3399	11317	17478	17631
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	0	-339	92	-432	0	1	1481	1135	0	359	0	977	495	0	445	0	270	218	0	0	0	-2702	139	0	-2702	0	-732	404	0	-3426	6792	3488	7045
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	878	1241	2086
