CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q1 2017	 2016	 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	281259	17758	16163	16207	36566	33181	41747	36204	39301	94956	87772	39924	45302	45302	38519	31558	56864	39726	53734	52374	25858	30783
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27533	1940	463	463	1177	4661	7403	1735	1735	15345	882	5274	11126	11126	8863	7087	23575	5771	9441	19346	1369	5329
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	250814	11681	11340	11340	29364	22400	24324	28736	28736	62755	80784	31362	32095	32095	27830	18911	27947	29606	36131	27795	20524	21296
Hàng tồn kho###Inventory	1872	3217	3274	3274	4595	4671	3176	3271	3271	2439	2403	1827	1074	1074	1450	1435	1435	1263	966	720	325	335
Tài sản ngắn hạn khác###Other Current Assets	1041	919	1086	1130	1431	1449	6844	2462	5558	14117	3704	1461	1007	1007	376	4125	3907	3085	7196	4513	3639	3824
Tài sản dài hạn###Non-current Assets	1059148	1310139	1321193	1321148	1330955	1347123	1340404	1346258	1341038	1263994	1078424	1083911	1091096	1091096	1092722	1119800	1124184	1050595	1087897	1121552	1233513	1266607
Các khoản phải thu dài hạn###Long term Account Receivable	318832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	620874	1286244	1295211	1295211	1304227	1313218	1316060	1324060	1324060	1056354	1063683	1071268	1078580	1077537	1084912	1097992	1105349	1028896	1075479	1117780	1229933	1259552
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-142679	-313144	-304206	-304206	-295220	-286004	-276852	-267747	-267747	-259441	-251924	-244276	-236994	-236930	-229554	-216044	-208687	-286790	-241335	-194579	-71820	-32476
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-330	-300	-270	-270	-240	-210	-180	-150	-150	-120	-90	-60	-30	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	102242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15010	15010	16947	6545	3772	3568	7045
Tài sản dài hạn khác###Other long term assets	16941	23895	25981	25937	26648	33835	16242	19743	14523	11019	6551	6808	7228	8271	7810	6657	3685	4612	5873	0	12	10
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1340407	1327896	1337356	1337356	1367521	1380303	1382151	1382462	1380339	1358950	1166196	1123835	1136398	1136398	1131241	1151358	1181048	1090321	1141631	1173926	1259371	1297390
Nợ phải trả ###Liabilities	907681	1001142	996187	995919	1019207	1050942	1055274	1058230	1057773	1041163	883697	896578	921486	921486	934732	966718	990607	1032588	1071018	1072204	1053957	1028265
Nợ ngắn hạn###Short term Liabilities	176266	256365	251410	208824	194344	245149	207830	204743	204286	187155	136404	107848	156052	157220	260289	263512	181124	216569	301870	285871	295197	302191
Nợ dài hạn###Long term Liabilities	731415	744777	744777	787095	824863	805792	847443	853487	853487	854008	747293	788730	765434	764267	674443	703206	809484	816019	769148	786332	758760	726074
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	432726	326754	341168	341437	348314	329362	326877	324233	322565	317787	282499	227257	214911	214911	196509	184639	190441	57733	70613	101722	205414	269125
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	432726	326754	341168	341437	348314	329362	326877	324233	322565	317787	282499	227257	214911	214911	196509	184639	190441	57733	70613	101722	205414	269125
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q1 2017	 2016	 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	38475	23170	196870	34871	72641	46776	42582	231885	45560	86052	53660	46614	191781	60091	68344	27180	195220	186429	168236	170064	123610	76989
