CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	1121320	1252080	1252080	1501643	1423652	1219451	1163747	1183630	1119522	834848	772623	755272	756645	805617	765500	727635	671462	670165	723917	527107	1099057	1011601
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	902253	849907	849907	802277	62604	668352	457264	665934	626215	120545	313167	410517	410517	470788	356734	315937	282052	281966	324904	124290	68811	67420
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	749472	0	208670	0	0	262031	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	185091	363331	363331	659287	574584	520530	478207	511051	492789	448248	454107	341422	342794	334439	408412	411282	386389	386491	398394	396180	13868	11377
Hàng tồn kho###Inventory	497	496	496	481	464	528	454	454	519	535	547	588	588	390	354	417	570	570	619	451	1007577	926877
Tài sản ngắn hạn khác###Other Current Assets	33479	38346	38346	39597	36528	30041	19151	6192	0	3489	4802	2746	2746	0	0	0	2450	1138	0	6187	8800	5926
Tài sản dài hạn###Non-current Assets	2087158	1983198	1983198	1836463	1819912	2058014	2128118	2175548	2108319	1683608	1831570	1738549	1738053	1634123	1491856	1435592	1515700	1536670	1328395	1107744	84620	37400
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	35748	36389	36389	36485	37242	37824	38475	38475	32478	33027	33434	34093	34093	34752	35091	34442	34980	34980	35624	36103	36934	37231
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-27894	-27086	-27086	-26305	-25509	-24689	-23895	-23895	-22938	-23333	-22680	-22040	-22040	-21399	-20779	-20161	-19586	-19586	-18948	-17836	-15486	-13164
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-594	-550	-550	-507	-495	-483	-466	-466	-448	-430	-411	-393	-393	-375	-356	-346	-340	-340	-334	-315	-295	-295
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	882105	895309	895309	965075	992046	1251766	1305413	1102135	1137517	1098795	974363	971176	970886	863527	617818	596576	697450	697450	504348	365796	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	58723	58723	58723	58723	58723	58723	58723	57765	57765	57765	57765	57765	57765	52561	52561	41762	41762	41762	47331	47331	47331	0
Tài sản dài hạn khác###Other long term assets	1297	3736	3736	4042	4203	8117	10920	10920	18783	10564	14020	13852	13852	12982	8336	13537	3890	3920	2872	1365	355	169
