CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q4 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	91051	89774	96696	78943	78525	71401	87239	87239	74950	72431	72775	83068	83068	92943	92265	75574	77060	77122	76902	78730	76381	66479	75042
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	20201	13049	18766	20369	19280	19273	32842	32842	29764	24181	21413	33184	33884	23907	36890	26469	25172	24686	15955	23699	22274	10459	5894
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	14500	9400	8600	10600	10600	9250	2000	2000	2000	2000	1868	1789	1089	89	146	146	57	0	0	1134	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	23917	33457	29516	19802	20968	24217	25062	25062	23634	24831	24841	17417	17450	46138	36728	25490	22410	22958	35757	17093	14706	18646	29142
Hàng tồn kho###Inventory	32323	33655	38918	27932	27401	18595	26955	26955	19530	21407	24350	27876	27876	14904	16430	21696	27817	27817	22678	33794	37180	34669	37492
Tài sản ngắn hạn khác###Other Current Assets	110	212	896	240	276	66	380	380	22	13	302	2803	2769	7906	2072	1772	1604	1604	2455	3010	2221	2706	2514
Tài sản dài hạn###Non-current Assets	5112	5708	6287	7282	7335	7855	8294	8294	8266	8356	7654	6460	6460	6302	6492	6732	6972	6972	6986	8103	8525	8189	7327
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	4612	5208	5787	6782	6782	7156	7409	7409	7229	5919	6091	5709	5331	5541	5751	5961	6172	6172	6185	7733	7130	7312	6945
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-13174	-12443	-11663	-10677	-10677	-9952	-9713	-9713	-9575	-9296	-9105	-8918	-8918	-8859	-8662	-8465	-8268	-8268	-8072	-8057	-7340	-6988	-6994
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-371	-362	-353	-344	-344	-312	-300	-300	-287	-274	-261	-248	-248	-235	-222	-209	-196	-196	-180	-152	-117	-82	-75
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	500	500	500	500	500	594	762	762	762	762	544	500	500	500	500	500	500	500	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	52	105	123	123	190	158	175	251	251	260	240	270	300	300	802	370	50	38	382
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	96163	95482	102983	86225	85860	79257	95533	95533	83216	80787	80429	89528	89528	99244	98757	82306	84031	84094	83888	86833	84906	74669	82369
Nợ phải trả ###Liabilities	37959	40122	48037	34521	34326	31255	49051	49051	38969	38109	35229	44857	44857	54986	57395	39359	43822	43881	45174	50417	52615	43425	55028
Nợ ngắn hạn###Short term Liabilities	37959	40122	48037	34521	34326	31255	49051	49051	38969	38109	35229	44857	44857	54986	57395	39359	42808	42868	45119	49863	49076	43184	54788
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	1014	55	555	3539	241	240
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	58204	55360	54946	51703	51534	48001	46482	46482	44247	42678	45200	44671	44671	44258	41362	42947	40210	40212	38715	36416	32291	31244	27341
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
