CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	1098039	1397377	1336912	1167031	980886	804572	757590	814581
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	51808	56686	217003	200262	184196	65807	30102	33774
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	516370	546383	298453	245792	112726	108255	123053	176008
Hàng tồn kho###Inventory	526016	789534	818310	703877	683114	620845	604426	604147
Tài sản ngắn hạn khác###Other Current Assets	3846	4775	3146	17100	849	9665	10	651
Tài sản dài hạn###Non-current Assets	129658	131550	104674	100013	85608	89943	97837	113586
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	70259	77462	48460	41742	19951	21740	22962	35856
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-77945	-70862	-62693	-53570	-48883	-42850	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	22987	29151	35314	41478	47641	53804	60530	67255
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	16439	8970	0	736	736	736	736	736
Tài sản dài hạn khác###Other long term assets	19720	15942	20899	16058	17280	13663	13610	9739
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1227698	1528928	1441586	1267044	1066493	894515	855427	928167
Nợ phải trả ###Liabilities	831903	1162680	1146202	991591	827590	684021	645591	712551
Nợ ngắn hạn###Short term Liabilities	779179	1097347	1012277	854424	764369	643508	597583	612934
Nợ dài hạn###Long term Liabilities	52724	65333	133925	137167	63221	40513	48009	99617
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	395795	366248	295384	275452	238903	210493	209836	215616
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	395795	366248	295384	275452	238903	210493	209836	215616
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1099540	1082803	1041300	1163356	779840	504032	520317	727438
Các khoản giảm trừ doanh thu###Deduction revenues	0	2	50	0	0	0	0	0
Doanh thu thuần###Net Sales	1099540	1082801	1041250	1163356	779840	504032	520317	727438
Giá vốn hàng bán###Cost of goods sold	1018338	1009621	974048	1053757	691284	459236	478825	655955
Lợi nhuận gộp###Gross profit	81203	73180	67201	109599	88556	44796	41492	71483
Doanh thu hoạt động tài chính###Financial activities Revenues	5575	8258	22299	7547	2943	171	708	677
Chi phí tài chính###Financial Expenses	1702	611	542	782	848	2213	2669	14812
Chi phí bán hàng###Selling Expenses	1178	919	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	67908	63420	57532	48232	40799	36813	20479	31599
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	15334	16459	31426	68132	49852	5941	19053	25749
Thu nhập khác###Other incomes	40769	65610	35649	15988	16765	21574	7109	6600
Chi phí khác###Other Expenses	26	2853	974	0	4865	581	2400	1205
Lợi nhuận khác###Other profits	40742	62757	34675	15987	11900	20994	4709	5395
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	56076	79216	66102	84120	61753	26935	23762	31144
Chi phí thuế TNDN###Corporate Income Tax Expenses	11557	14464	13686	16974	14517	5474	6511	7852
Chi phí thuế TNDN###Corporate Income Tax Expenses	10405	13718	13686	16974	14517	5474	6511	7852
Chi phí thuế TNDN###Corporate Income Tax Expenses	1151	746	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	44515	64754	52416	67145	47235	21460	17250	23292
---Cac Chi So Tai Chinh---								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	24.55	23.77	26.45	0.00	0.00	0.00	0.00	0.00
