CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	996953	365670	415406	391090	382385	405284	376548	307458	299788	428647	331543	325636	271670	236414	328647	336005	397991	142126	470120
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	438679	26730	47033	47397	31976	21119	30426	36576	36576	38694	22206	28331	32628	33100	18149	48107	31349	8884	4230
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67150	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	480680	266461	307972	282870	298988	318809	272101	212057	204082	303534	224293	244028	178223	144369	255298	242132	269639	94173	457363
Hàng tồn kho###Inventory	30463	41456	30052	30053	15078	30477	33958	13548	13860	38846	41517	26453	34269	34291	27368	19266	15459	21547	5993
Tài sản ngắn hạn khác###Other Current Assets	47132	31023	30349	30770	36343	34879	40063	45277	45269	47573	43528	26824	26551	24654	27832	26500	14394	17523	2534
Tài sản dài hạn###Non-current Assets	1084102	1084728	1067530	1097667	1041944	1012744	1015381	1011312	1011312	1020061	1009463	982731	1006507	1047101	968278	897293	579853	445911	114221
Các khoản phải thu dài hạn###Long term Account Receivable	35197	20170	18697	46718	12215	10234	13575	13505	13505	13555	13505	36167	61474	97280	27138	23080	103613	11597	55894
Tài sản cố định ###Fixed assets	568361	579307	591063	607654	274325	279490	284333	274094	408988	216438	191214	202780	207771	207770	211141	211792	30275	222215	17677
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-138901	-127232	-115717	-115392	-104834	-98127	-91431	-84751	-84751	-86514	-80404	-76156	-70654	-70654	-65258	-59966	-29268	-17782	-11917
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4636	-4636	-4636	-4722	-4636	-4636	-4636	-4636	-4636	-4636	-4477	-4318	-4159	-4159	-3848	-3538	-2071	-765	0
Lợi thế thương mại	3697	7124	7382	7382	7639	7897	8155	8412	8412	8670	8927	9185	9443	9655	10178	10178	286	0	0
Bất động sản đầu tư ###Real Estate Investment	94327	94327	94327	94327	94327	94327	94327	94327	94327	94327	94327	94327	94327	94327	94327	94327	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	137000	137000	137000	137000	99500	140271	49490	0
Tài sản dài hạn khác###Other long term assets	385871	390781	363301	348493	320838	324581	324294	321510	321510	328629	327519	338738	340292	342717	336654	322471	177455	161862	40234
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2081055	1450398	1482936	1488757	1424329	1418028	1391929	1318771	1311100	1448708	1341007	1308367	1278177	1283515	1296926	1233298	977844	588037	584341
Nợ phải trả ###Liabilities	1330889	870563	919714	919621	896169	906078	891663	843658	843039	867277	788069	793235	773252	776232	804820	758009	541617	378404	386973
Nợ ngắn hạn###Short term Liabilities	1157010	677028	724087	697587	696331	709146	657468	632722	632212	602724	549740	527682	522271	463621	630618	591582	386633	277239	339751
Nợ dài hạn###Long term Liabilities	173879	193535	195627	222033	199838	196932	234196	210936	210826	264553	238329	265552	250981	312611	174203	166427	154984	101165	47222
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	750166	579834	563222	569136	528160	511950	500266	475113	468062	581431	552937	515132	504925	507283	492105	475289	436227	209633	197368
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	750166	579834	563222	569136	528160	511950	500266	475113	468062	581431	552937	515132	504925	507283	492105	475289	436227	209633	197368
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q1 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	274850	377330	1400648	381107	357899	344527	327245	1258561	331470	371557	275778	279757	919620	270522	308634	186261	468923	387083	535015
Các khoản giảm trừ doanh thu###Deduction revenues	19506	9269	41405	17252	9366	9251	6338	47225	17162	9232	11708	9123	39896	16340	13092	699	21660	10032	3850
Doanh thu thuần###Net Sales	255344	368060	1359243	363856	348533	335276	320907	1211336	314307	362324	264070	270634	879724	254182	295542	185562	447263	377051	531166
Giá vốn hàng bán###Cost of goods sold	196616	296705	1111534	296407	286358	282454	251385	1006485	284464	291262	206075	224372	727111	212004	252116	151717	367366	335771	514803
Lợi nhuận gộp###Gross profit	58728	71355	247709	67449	62175	52822	69521	204851	29843	71063	57995	46262	152613	42178	43426	33845	79896	41280	16363
Doanh thu hoạt động tài chính###Financial activities Revenues	44	123	3615	11	19	2103	1308	22175	3338	71	16767	1954	18363	1311	1487	1431	32758	6896	56
Chi phí tài chính###Financial Expenses	13217	13433	45197	12982	11235	9286	11694	33655	8622	9077	6837	9119	25471	6444	7602	3754	18577	8099	13058
Chi phí bán hàng###Selling Expenses	31649	31116	106560	32586	25659	25273	20982	82415	18507	22876	19571	21460	73928	20031	15990	12354	44964	21558	9481
Chi phí quản lý doanh nghiệp###Managing Expenses	7751	9652	30642	7466	8020	8023	10455	31229	7234	7516	8754	7665	24467	7055	6242	3638	19842	7881	4564
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	6156	17278	68926	14426	17279	12342	27699	79727	-1182	31664	39599	9973	48623	9959	15078	17042	29272	10638	-10685
Thu nhập khác###Other incomes	14300	4119	16617	4113	3828	3794	4108	34897	15429	3520	11766	4227	12232	4061	3150	1928	7296	1620	11796
Chi phí khác###Other Expenses	464	440	2360	777	609	149	124	10787	1259	465	7969	1094	2591	1359	1331	116	3661	1288	258
Lợi nhuận khác###Other profits	13836	3678	14256	3336	3219	3645	3983	24109	14170	3055	3797	3133	9640	2703	1819	1813	3635	331	11538
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	19993	20957	83183	17761	20499	15986	31682	103836	12988	34719	43397	13106	58263	12662	16897	18855	32907	10969	853
Chi phí thuế TNDN###Corporate Income Tax Expenses	30025	4345	21073	3786	4288	3303	6529	16649	1358	6225	5355	3135	11744	4099	84	2725	10479	1604	196
Chi phí thuế TNDN###Corporate Income Tax Expenses	29812	4345	22423	3786	4288	4287	6529	21141	1886	5756	9899	3135	10900	4099	84	2725	6252	1488	196
Chi phí thuế TNDN###Corporate Income Tax Expenses	213	0	-1349	0	0	-984	0	-4492	-528	469	-4543	0	844	0	0	0	4226	117	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-6841	17865	64788	13718	17463	13790	26545	96390	9454	31305	38041	9632	44197	7559	16813	16412	22404	9184	654
---Cac Chi So Tai Chinh---																			
EBITDA	0.27	0.55	0.09	0.09	0.39	0.79	0.69	0.59	0.59	0.59	0.37	-0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.23	10.86	16.18	16.18	17.45	17.86	16.71	15.77	15.77	17.32	15.51	16.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00
