CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	142438	146204	183411	182888	162413	159787	203230	203077	327027	326500	285001	306635	306778	332396	329690	421736	215787	984002	206062	206595	238334	256476	290456
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	40766	41788	51867	51867	17787	48717	59227	60621	62708	43274	81702	62051	62051	49597	52271	42819	83330	83330	68297	107827	43519	69141	50867
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1394	1394	1394	1394	1394	1394	1394	0	0	1394	0	0	0	0	0	21681	0	0	20000	20000	20000	1512	7250
Các khoản phải thu ngắn hạn###Short term Account Receivables	69677	73454	108823	108299	62944	86303	123487	123487	229760	256116	179272	226484	226627	233577	240304	309258	100044	868259	88236	65768	162608	109961	220182
Hàng tồn kho###Inventory	29567	29225	21265	21265	75453	23069	19088	18935	34217	25637	23593	18101	18101	49092	37109	44362	31936	31936	29503	12751	11926	20506	10644
Tài sản ngắn hạn khác###Other Current Assets	1035	342	62	62	4835	305	34	34	342	80	435	0	0	130	6	3615	477	477	26	249	282	55356	1514
Tài sản dài hạn###Non-current Assets	152225	148198	148357	149059	141159	145815	146011	146030	144590	142563	159508	177436	169079	116296	115609	40176	171160	101579	90913	91140	91795	116616	118148
Các khoản phải thu dài hạn###Long term Account Receivable	61847	61849	61934	62602	60868	61235	61214	61214	61126	61022	98875	118692	49988	591	648	-71614	128333	648	680	680	680	0	0
Tài sản cố định ###Fixed assets	3255	3659	4063	4063	4467	5091	5482	5482	5873	6267	6660	7054	7054	7447	7842	8241	8640	8640	9038	9447	10274	11488	13093
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-13620	-13230	-12839	-12839	-12449	-11667	-11277	-11277	-10886	-10496	-10105	-9715	-9715	-9324	-8932	-8536	-8140	-8140	-7744	-7339	-6518	-4861	-3270
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-193	-180	-166	-166	-153	-148	-148	-148	-147	-145	-142	-139	-139	-136	-133	-130	-127	-127	-124	-121	-115	-102	-89
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11300	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	10117	10117	10117	10117	10117	17047	17047	17047	16346	16346	22346	22346	83053	82843	82843	81151	23047	81151	79229	79299	79710	104410	104296
Tài sản dài hạn khác###Other long term assets	37	46	55	55	65	95	117	117	139	148	173	179	179	209	183	171	213	213	219	248	223	718	759
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	294663	294402	331768	331947	303572	305603	349241	349107	471617	469063	444509	484071	475857	448693	445299	461912	386947	1085582	296975	297735	330129	373091	408604
Nợ phải trả ###Liabilities	75273	59089	96680	96872	77116	62331	106112	105958	235693	237965	208975	249056	238972	225493	224893	224987	150508	850780	127849	115470	165357	117496	60844
Nợ ngắn hạn###Short term Liabilities	74382	56917	94508	92837	72691	57906	102415	98536	192333	197793	201509	242750	232666	154797	148413	219656	149758	850030	123949	111570	161457	110796	50906
Nợ dài hạn###Long term Liabilities	890	2172	2172	4034	4425	4425	3697	7421	43360	40172	7466	6306	6306	70696	76481	5331	750	750	3900	3900	3900	6700	9937
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	219390	235313	235088	235075	226456	243271	243129	243150	235924	231098	235534	235015	236885	223199	220406	236925	236439	234801	169126	182264	164772	255595	347760
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-75981	-75885	-90773	0	0
Vốn chủ sở hữu ###Owners equity	219390	235313	235088	235075	226456	243271	243129	243150	235924	231098	235534	235015	236885	223199	220406	236925	236439	234801	245106	258150	255545	255595	347760
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-90773	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	16810	7472	188280	165506	8152	10372	4249	228605	131712	39621	40390	16883	264025	132133	31109	63352	37431	251759	108000	72211	32748	181818	143732
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	16810	7472	188280	165506	8152	10372	4249	228605	131712	39621	40390	16883	264025	132133	31109	63352	37431	251759	108000	72211	32748	181818	143732
Giá vốn hàng bán###Cost of goods sold	15585	6403	171188	152564	6657	8970	2998	208107	123468	32760	37292	14659	233960	115967	26174	56429	35404	224240	93093	64592	30148	156297	128571
Lợi nhuận gộp###Gross profit	1225	1069	17092	12943	1496	1403	1251	20498	8244	6861	3098	2224	30066	16166	4934	6923	2027	27519	14907	7619	2600	25521	15161
Doanh thu hoạt động tài chính###Financial activities Revenues	59	255	4832	303	3516	434	580	21818	426	723	20017	652	5574	2304	763	1148	1360	6817	4302	1167	703	5248	6793
Chi phí tài chính###Financial Expenses	0	17	1864	141	616	855	252	-169	521	16	154	5	1594	-121	59	1201	376	1051	181	339	104	989	520
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	2712	759	625	577	752	2806	901	651	555	706	2449	736	548	560	1837	176
Chi phí quản lý doanh nghiệp###Managing Expenses	1060	1011	4068	1177	804	723	1365	5190	993	879	1839	1414	5317	668	1486	1477	1682	5198	2001	864	874	3924	9425
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	225	297	15991	11928	3591	258	214	34583	6397	6064	20544	704	25922	17023	3501	4838	623	25638	16290	7034	1765	24020	11835
Thu nhập khác###Other incomes	9	0	7	0	7	0	0	131	3	1	124	4	238	238	0	0	0	256	65	118	54	269	5414
Chi phí khác###Other Expenses	143	0	1240	1114	79	24	23	1485	254	0	244	59	415	143	10	31	14	868	357	13	294	509	3788
Lợi nhuận khác###Other profits	-134	0	-1234	-1114	-73	-24	-23	-1353	-251	1	-120	-55	-177	95	-10	-31	-14	-612	-292	104	-240	-240	1625
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	91	297	14757	10814	3519	234	191	33230	6146	6065	20424	649	25744	17117	3492	4807	609	25026	15998	7138	1525	23780	13460
Chi phí thuế TNDN###Corporate Income Tax Expenses	34	73	3007	2195	717	59	49	6709	1277	1239	4097	131	4981	3456	698	985	123	4685	2822	1454	336	5002	3754
Chi phí thuế TNDN###Corporate Income Tax Expenses	34	73	3007	2195	717	59	49	6709	1277	1239	4097	131	4981	3456	698	985	123	4685	2822	1454	336	5002	3754
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	57	224	11750	8619	2802	174	142	26520	4869	4826	16327	519	20763	13661	2793	3822	486	20341	13177	5684	1189	18778	9706
---Cac Chi So Tai Chinh---																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
